year,Sector,Climate-related ODA to,Share
2022,Infrastructure,9960.95,17.0%
2022,Energy,9072.0,15.4%
2022,"Agriculture (incl. forestry, fishing, rural development)",6486.44,11.0%
2022,Other multisector,5263.39,9.0%
2022,Water and sanitation,4807.59,8.2%
2022,Environmental protection,4783.42,8.1%
2022,Health & populations,4684.37,8.0%
2022,Financial services & business support,3612.33,6.1%
2022,"Industry, construction & mining",2024.03,3.4%
2022,Government & civil society,1933.85,3.3%
2022,Emergency Response,1286.67,2.2%
2022,Other social services,1036.31,1.8%
2022,General budget support,897.84,1.5%
2022,Education,679.79,1.2%
2022,Unspecified,570.36,1.0%
2022,Food aid and commodity assistance,461.87,0.8%
2022,"Conflict, peace & security",378.12,0.6%
2022,,219.69,0.4%
2022,Disaster Prevention & Preparedness,201.78,0.3%
2022,Trade policy,160.17,0.3%
2022,Reconstruction Relief & Rehabilitation,127.0,0.2%
2022,Donor administration costs,81.19,0.1%
2022,Tourism,24.86,0.0%
2022,Refugees in donor countries,0.0,0.0%
2023,Infrastructure,15671.48,28.0%
2023,Energy,6251.64,11.2%
2023,Other multisector,5611.58,10.0%
2023,"Agriculture (incl. forestry, fishing, rural development)",5231.93,9.4%
2023,Health & populations,4821.65,8.6%
2023,Environmental protection,4636.38,8.3%
2023,Water and sanitation,3708.2,6.6%
2023,Government & civil society,2398.95,4.3%
2023,Financial services & business support,1557.75,2.8%
2023,Education,1182.94,2.1%
2023,Emergency Response,1027.6,1.8%
2023,Other social services,970.3,1.7%
2023,"Industry, construction & mining",907.9,1.6%
2023,"Conflict, peace & security",406.14,0.7%
2023,Food aid and commodity assistance,380.38,0.7%
2023,Trade policy,283.0,0.5%
2023,,212.39,0.4%
2023,Unspecified,212.17,0.4%
2023,Disaster Prevention & Preparedness,190.19,0.3%
2023,General budget support,137.88,0.2%
2023,Donor administration costs,63.83,0.1%
2023,Reconstruction Relief & Rehabilitation,48.48,0.1%
2023,Tourism,23.72,0.0%
