year,Sector,Climate-related ODA to,Share,Donor
2022,Other multisector,132.07,41.5%,Italy
2022,"Agriculture (incl. forestry, fishing, rural development)",57.02,17.9%,Italy
2022,Environmental protection,22.82,7.2%,Italy
2022,Water and sanitation,21.6,6.8%,Italy
2022,Disaster Prevention & Preparedness,20.03,6.3%,Italy
2022,Emergency Response,19.08,6.0%,Italy
2022,"Industry, construction & mining",10.26,3.2%,Italy
2022,Energy,7.76,2.4%,Italy
2022,Government & civil society,6.23,2.0%,Italy
2022,Education,4.85,1.5%,Italy
2022,Other social services,3.79,1.2%,Italy
2022,Financial services & business support,3.33,1.0%,Italy
2022,Reconstruction Relief & Rehabilitation,3.32,1.0%,Italy
2022,Health & populations,2.24,0.7%,Italy
2022,,1.48,0.5%,Italy
2022,Food aid and commodity assistance,0.97,0.3%,Italy
2022,"Conflict, peace & security",0.41,0.1%,Italy
2022,Trade policy,0.4,0.1%,Italy
2022,Tourism,0.24,0.1%,Italy
2022,Infrastructure,0.0,0.0%,Italy
2023,Water and sanitation,43.16,17.7%,Italy
2023,"Agriculture (incl. forestry, fishing, rural development)",40.53,16.6%,Italy
2023,Environmental protection,27.95,11.5%,Italy
2023,"Industry, construction & mining",27.6,11.3%,Italy
2023,Emergency Response,22.73,9.3%,Italy
2023,Energy,16.72,6.9%,Italy
2023,Other multisector,15.74,6.5%,Italy
2023,Education,8.29,3.4%,Italy
2023,Health & populations,8.23,3.4%,Italy
2023,Government & civil society,7.83,3.2%,Italy
2023,Other social services,5.91,2.4%,Italy
2023,Disaster Prevention & Preparedness,5.13,2.1%,Italy
2023,"Conflict, peace & security",4.35,1.8%,Italy
2023,,3.76,1.5%,Italy
2023,Financial services & business support,2.64,1.1%,Italy
2023,Reconstruction Relief & Rehabilitation,2.2,0.9%,Italy
2023,Tourism,0.44,0.2%,Italy
2023,Food aid and commodity assistance,0.41,0.2%,Italy
2023,Infrastructure,0.21,0.1%,Italy
