year,Sector,Climate-related ODA to,Share,Donor
2022,Energy,1.8,47.9%,Slovenia
2022,Water and sanitation,1.26,33.5%,Slovenia
2022,"Industry, construction & mining",0.24,6.4%,Slovenia
2022,Government & civil society,0.2,5.2%,Slovenia
2022,Environmental protection,0.07,1.9%,Slovenia
2022,Unspecified,0.06,1.5%,Slovenia
2022,"Agriculture (incl. forestry, fishing, rural development)",0.06,1.6%,Slovenia
2022,Emergency Response,0.04,1.1%,Slovenia
2022,Disaster Prevention & Preparedness,0.03,0.9%,Slovenia
2023,Water and sanitation,3.97,55.0%,Slovenia
2023,"Agriculture (incl. forestry, fishing, rural development)",1.4,19.4%,Slovenia
2023,Energy,0.73,10.1%,Slovenia
2023,Government & civil society,0.69,9.5%,Slovenia
2023,Environmental protection,0.38,5.2%,Slovenia
2023,Disaster Prevention & Preparedness,0.03,0.4%,Slovenia
2023,Unspecified,0.02,0.2%,Slovenia
2023,Other social services,0.01,0.1%,Slovenia
2023,"Industry, construction & mining",0.0,0.0%,Slovenia
