year,Sector,Climate-related ODA to,Share,Donor
2022,"Agriculture (incl. forestry, fishing, rural development)",238.66,23.7%,Switzerland
2022,Government & civil society,147.12,14.6%,Switzerland
2022,Water and sanitation,118.64,11.8%,Switzerland
2022,Other multisector,76.76,7.6%,Switzerland
2022,Health & populations,61.76,6.1%,Switzerland
2022,Disaster Prevention & Preparedness,57.25,5.7%,Switzerland
2022,Energy,55.85,5.6%,Switzerland
2022,"Industry, construction & mining",48.76,4.8%,Switzerland
2022,Environmental protection,41.03,4.1%,Switzerland
2022,Financial services & business support,38.16,3.8%,Switzerland
2022,Other social services,37.62,3.7%,Switzerland
2022,Emergency Response,30.15,3.0%,Switzerland
2022,Education,26.53,2.6%,Switzerland
2022,Trade policy,13.73,1.4%,Switzerland
2022,"Conflict, peace & security",9.98,1.0%,Switzerland
2022,Unspecified,3.56,0.4%,Switzerland
2022,Reconstruction Relief & Rehabilitation,0.23,0.0%,Switzerland
2022,,0.14,0.0%,Switzerland
2022,Infrastructure,0.0,0.0%,Switzerland
2022,Tourism,0.0,0.0%,Switzerland
2023,"Agriculture (incl. forestry, fishing, rural development)",92.33,17.0%,Switzerland
2023,Water and sanitation,84.55,15.5%,Switzerland
2023,Other multisector,61.0,11.2%,Switzerland
2023,"Industry, construction & mining",50.88,9.4%,Switzerland
2023,Unspecified,50.64,9.3%,Switzerland
2023,Energy,34.31,6.3%,Switzerland
2023,Government & civil society,31.5,5.8%,Switzerland
2023,Environmental protection,28.37,5.2%,Switzerland
2023,Financial services & business support,27.1,5.0%,Switzerland
2023,Disaster Prevention & Preparedness,22.73,4.2%,Switzerland
2023,"Conflict, peace & security",13.31,2.4%,Switzerland
2023,Trade policy,12.97,2.4%,Switzerland
2023,Infrastructure,10.48,1.9%,Switzerland
2023,Emergency Response,9.52,1.8%,Switzerland
2023,Other social services,8.65,1.6%,Switzerland
2023,Education,4.09,0.8%,Switzerland
2023,Health & populations,1.19,0.2%,Switzerland
2023,Reconstruction Relief & Rehabilitation,0.18,0.0%,Switzerland
2023,,0.09,0.0%,Switzerland
2023,Tourism,0.0,0.0%,Switzerland
