year,Sector,Climate-related ODA to,Share,Donor
2022,"Agriculture (incl. forestry, fishing, rural development)",67.63,23.8%,Spain
2022,Government & civil society,50.84,17.9%,Spain
2022,Emergency Response,28.79,10.1%,Spain
2022,Water and sanitation,28.62,10.1%,Spain
2022,Environmental protection,26.16,9.2%,Spain
2022,Financial services & business support,20.65,7.3%,Spain
2022,Education,14.36,5.1%,Spain
2022,Energy,11.93,4.2%,Spain
2022,Health & populations,7.84,2.8%,Spain
2022,Other multisector,6.69,2.4%,Spain
2022,"Industry, construction & mining",4.78,1.7%,Spain
2022,Other social services,4.75,1.7%,Spain
2022,"Conflict, peace & security",4.24,1.5%,Spain
2022,Disaster Prevention & Preparedness,1.99,0.7%,Spain
2022,,1.33,0.5%,Spain
2022,Tourism,0.99,0.3%,Spain
2022,Trade policy,0.92,0.3%,Spain
2022,Food aid and commodity assistance,0.73,0.3%,Spain
2022,Infrastructure,0.38,0.1%,Spain
2022,Reconstruction Relief & Rehabilitation,0.18,0.1%,Spain
2022,Unspecified,0.15,0.1%,Spain
2023,Environmental protection,31.62,22.0%,Spain
2023,"Agriculture (incl. forestry, fishing, rural development)",27.61,19.2%,Spain
2023,Energy,18.82,13.1%,Spain
2023,Water and sanitation,13.94,9.7%,Spain
2023,Government & civil society,10.45,7.3%,Spain
2023,Emergency Response,10.08,7.0%,Spain
2023,Other multisector,9.46,6.6%,Spain
2023,Infrastructure,4.0,2.8%,Spain
2023,Food aid and commodity assistance,3.33,2.3%,Spain
2023,Education,3.29,2.3%,Spain
2023,Disaster Prevention & Preparedness,2.91,2.0%,Spain
2023,Health & populations,1.82,1.3%,Spain
2023,Other social services,1.56,1.1%,Spain
2023,,1.51,1.0%,Spain
2023,"Industry, construction & mining",1.23,0.9%,Spain
2023,Financial services & business support,1.17,0.8%,Spain
2023,"Conflict, peace & security",0.25,0.2%,Spain
2023,Unspecified,0.21,0.1%,Spain
2023,Reconstruction Relief & Rehabilitation,0.2,0.1%,Spain
2023,Tourism,0.14,0.1%,Spain
2023,Trade policy,0.13,0.1%,Spain
