year,Sector,Climate-related ODA to,Share,Donor
2022,Energy,61.49,45.2%,Finland
2022,"Agriculture (incl. forestry, fishing, rural development)",24.24,17.8%,Finland
2022,Government & civil society,22.37,16.4%,Finland
2022,Other multisector,12.98,9.5%,Finland
2022,Water and sanitation,7.94,5.8%,Finland
2022,Financial services & business support,4.97,3.7%,Finland
2022,Environmental protection,0.81,0.6%,Finland
2022,Education,0.75,0.6%,Finland
2022,Health & populations,0.26,0.2%,Finland
2022,"Conflict, peace & security",0.13,0.1%,Finland
2022,"Industry, construction & mining",0.1,0.1%,Finland
2022,Infrastructure,0.07,0.1%,Finland
2023,"Agriculture (incl. forestry, fishing, rural development)",110.67,63.4%,Finland
2023,Financial services & business support,46.5,26.6%,Finland
2023,Government & civil society,4.86,2.8%,Finland
2023,Other social services,3.23,1.8%,Finland
2023,Water and sanitation,3.19,1.8%,Finland
2023,Education,2.06,1.2%,Finland
2023,Environmental protection,1.38,0.8%,Finland
2023,Trade policy,1.3,0.7%,Finland
2023,Energy,0.93,0.5%,Finland
2023,Infrastructure,0.28,0.2%,Finland
2023,Other multisector,0.14,0.1%,Finland
2023,Donor administration costs,0.07,0.0%,Finland
2023,Disaster Prevention & Preparedness,0.05,0.0%,Finland
