year,Sector,Climate-related ODA to,Share,Donor
2022,"Agriculture (incl. forestry, fishing, rural development)",71.91,30.9%,Belgium
2022,Other social services,30.36,13.1%,Belgium
2022,Unspecified,24.63,10.6%,Belgium
2022,Environmental protection,22.32,9.6%,Belgium
2022,Health & populations,20.54,8.8%,Belgium
2022,Government & civil society,16.4,7.1%,Belgium
2022,Other multisector,12.76,5.5%,Belgium
2022,"Industry, construction & mining",12.45,5.4%,Belgium
2022,Education,9.67,4.2%,Belgium
2022,Water and sanitation,4.67,2.0%,Belgium
2022,Reconstruction Relief & Rehabilitation,2.34,1.0%,Belgium
2022,Financial services & business support,2.22,1.0%,Belgium
2022,Energy,1.39,0.6%,Belgium
2022,Disaster Prevention & Preparedness,0.7,0.3%,Belgium
2023,"Agriculture (incl. forestry, fishing, rural development)",83.53,26.2%,Belgium
2023,Other multisector,36.75,11.5%,Belgium
2023,Other social services,34.46,10.8%,Belgium
2023,Environmental protection,24.7,7.8%,Belgium
2023,Unspecified,24.58,7.7%,Belgium
2023,Water and sanitation,23.51,7.4%,Belgium
2023,Health & populations,22.53,7.1%,Belgium
2023,Emergency Response,19.73,6.2%,Belgium
2023,Government & civil society,16.21,5.1%,Belgium
2023,Energy,11.36,3.6%,Belgium
2023,Education,10.48,3.3%,Belgium
2023,Financial services & business support,7.98,2.5%,Belgium
2023,"Industry, construction & mining",1.21,0.4%,Belgium
2023,Disaster Prevention & Preparedness,0.67,0.2%,Belgium
2023,"Conflict, peace & security",0.45,0.1%,Belgium
2023,Reconstruction Relief & Rehabilitation,0.13,0.0%,Belgium
