year,Sector,Climate-related ODA to,Share,Donor
2022,Energy,770.59,65.8%,Canada
2022,"Agriculture (incl. forestry, fishing, rural development)",204.49,17.5%,Canada
2022,Environmental protection,88.72,7.6%,Canada
2022,"Industry, construction & mining",28.48,2.4%,Canada
2022,Other multisector,23.38,2.0%,Canada
2022,Government & civil society,20.43,1.7%,Canada
2022,Financial services & business support,10.68,0.9%,Canada
2022,Education,10.53,0.9%,Canada
2022,Water and sanitation,5.02,0.4%,Canada
2022,"Conflict, peace & security",3.38,0.3%,Canada
2022,Unspecified,2.45,0.2%,Canada
2022,Health & populations,1.45,0.1%,Canada
2022,Reconstruction Relief & Rehabilitation,0.6,0.1%,Canada
2022,Other social services,0.38,0.0%,Canada
2022,Emergency Response,0.3,0.0%,Canada
2022,Tourism,0.06,0.0%,Canada
2022,Infrastructure,0.0,0.0%,Canada
2023,Environmental protection,228.73,29.0%,Canada
2023,"Agriculture (incl. forestry, fishing, rural development)",204.09,25.9%,Canada
2023,Other multisector,78.87,10.0%,Canada
2023,"Conflict, peace & security",54.1,6.9%,Canada
2023,Government & civil society,42.94,5.4%,Canada
2023,Energy,40.87,5.2%,Canada
2023,Health & populations,36.72,4.7%,Canada
2023,Education,28.53,3.6%,Canada
2023,Financial services & business support,21.95,2.8%,Canada
2023,Water and sanitation,15.72,2.0%,Canada
2023,"Industry, construction & mining",11.45,1.5%,Canada
2023,Disaster Prevention & Preparedness,8.36,1.1%,Canada
2023,Trade policy,5.14,0.7%,Canada
2023,Unspecified,4.94,0.6%,Canada
2023,Other social services,1.99,0.3%,Canada
2023,Infrastructure,1.97,0.2%,Canada
2023,Donor administration costs,1.69,0.2%,Canada
2023,,1.32,0.2%,Canada
2023,Tourism,0.01,0.0%,Canada
