year,Sector,Climate-related ODA to,Share,Donor
2022,Environmental protection,1.78,38.8%,Portugal
2022,Energy,0.86,18.6%,Portugal
2022,"Agriculture (incl. forestry, fishing, rural development)",0.72,15.6%,Portugal
2022,Other multisector,0.63,13.7%,Portugal
2022,Reconstruction Relief & Rehabilitation,0.19,4.2%,Portugal
2022,Education,0.14,3.1%,Portugal
2022,Water and sanitation,0.11,2.3%,Portugal
2022,Tourism,0.07,1.6%,Portugal
2022,Financial services & business support,0.04,0.9%,Portugal
2022,Other social services,0.03,0.7%,Portugal
2022,Infrastructure,0.03,0.6%,Portugal
2023,Infrastructure,3.24,26.4%,Portugal
2023,Environmental protection,2.1,17.1%,Portugal
2023,Water and sanitation,1.68,13.7%,Portugal
2023,"Agriculture (incl. forestry, fishing, rural development)",1.4,11.4%,Portugal
2023,Education,1.33,10.8%,Portugal
2023,Other multisector,0.63,5.1%,Portugal
2023,Government & civil society,0.47,3.8%,Portugal
2023,Reconstruction Relief & Rehabilitation,0.29,2.3%,Portugal
2023,Health & populations,0.26,2.1%,Portugal
2023,Emergency Response,0.24,1.9%,Portugal
2023,Disaster Prevention & Preparedness,0.23,1.9%,Portugal
2023,Other social services,0.16,1.3%,Portugal
2023,Energy,0.16,1.3%,Portugal
2023,Tourism,0.1,0.8%,Portugal
2023,Financial services & business support,0.0,0.0%,Portugal
