sector_code,sector_name,sector_renamed,
310,"Agriculture (incl. forestry, fishing, rural development)","Agriculture (incl. forestry, fishing, rural development)",
311,Agriculture,"Agriculture (incl. forestry, fishing, rural development)",
312,Forestry,"Agriculture (incl. forestry, fishing, rural development)",
313,Fishing,"Agriculture (incl. forestry, fishing, rural development)",
31110,Agricultural policy and administrative management,"Agriculture (incl. forestry, fishing, rural development)",
31120,Agricultural development,"Agriculture (incl. forestry, fishing, rural development)",
31130,Agricultural land resources,"Agriculture (incl. forestry, fishing, rural development)",
31140,Agricultural water resources,"Agriculture (incl. forestry, fishing, rural development)",
31150,Agricultural inputs,"Agriculture (incl. forestry, fishing, rural development)",
31161,Food crop production,"Agriculture (incl. forestry, fishing, rural development)",
31162,Industrial crops/export crops,"Agriculture (incl. forestry, fishing, rural development)",
31163,Livestock,"Agriculture (incl. forestry, fishing, rural development)",
31164,Agrarian reform,"Agriculture (incl. forestry, fishing, rural development)",
31165,Agricultural alternative development,"Agriculture (incl. forestry, fishing, rural development)",
31166,Agricultural extension,"Agriculture (incl. forestry, fishing, rural development)",
31181,Agricultural education/training,"Agriculture (incl. forestry, fishing, rural development)",
31182,Agricultural research,"Agriculture (incl. forestry, fishing, rural development)",
31191,Agricultural services,"Agriculture (incl. forestry, fishing, rural development)",
31192,Plant and post-harvest protection and pest control,"Agriculture (incl. forestry, fishing, rural development)",
31193,Agricultural financial services,"Agriculture (incl. forestry, fishing, rural development)",
31194,Agricultural co-operatives,"Agriculture (incl. forestry, fishing, rural development)",
31195,Livestock/veterinary services,"Agriculture (incl. forestry, fishing, rural development)",
31210,Forestry policy and administrative management,"Agriculture (incl. forestry, fishing, rural development)",
31220,Forestry development,"Agriculture (incl. forestry, fishing, rural development)",
31261,Fuelwood/charcoal,"Agriculture (incl. forestry, fishing, rural development)",
31281,Forestry education/training,"Agriculture (incl. forestry, fishing, rural development)",
31282,Forestry research,"Agriculture (incl. forestry, fishing, rural development)",
31291,Forestry services,"Agriculture (incl. forestry, fishing, rural development)",
31310,Fishing policy and administrative management,"Agriculture (incl. forestry, fishing, rural development)",
31320,Fishery development,"Agriculture (incl. forestry, fishing, rural development)",
31381,Fishery education/training,"Agriculture (incl. forestry, fishing, rural development)",
31382,Fishery research,"Agriculture (incl. forestry, fishing, rural development)",
31391,Fishery services,"Agriculture (incl. forestry, fishing, rural development)",
43040,Rural development,"Agriculture (incl. forestry, fishing, rural development)",
43041,Rural land policy and management,"Agriculture (incl. forestry, fishing, rural development)",
43042,Rural development,"Agriculture (incl. forestry, fishing, rural development)",
152,"Conflict, peace and security","Conflict, peace & security",
15210,Security system management and reform,"Conflict, peace & security",
