donor,year,deflator
Australia,1960,8.79
Austria,1960,6.93
Belgium,1960,9.81
Canada,1960,12.33
Czechia,1960,
Denmark,1960,5.84
Estonia,1960,
Finland,1960,9.63
France,1960,11.41
Germany,1960,12.53
Greece,1960,11.33
Hungary,1960,11.86
Iceland,1960,8.12
Ireland,1960,7.69
Italy,1960,8.28
Japan,1960,9.11
Korea,1960,
Lithuania,1960,
Luxembourg,1960,7.12
Netherlands,1960,6.96
New Zealand,1960,8.97
Norway,1960,5.83
Poland,1960,11.86
Portugal,1960,8.24
Slovak Republic,1960,
Slovenia,1960,11.86
Spain,1960,6.15
Sweden,1960,12.72
Switzerland,1960,4.79
United Kingdom,1960,9.45
United States,1960,13.13
TOTAL DAC ,1960,11.86
EU Institutions,1960,9.26
Australia,1961,8.85
Austria,1961,7.27
Belgium,1961,9.92
Canada,1961,11.89
Czechia,1961,
Denmark,1961,6.08
Estonia,1961,
Finland,1961,10.14
France,1961,11.76
Germany,1961,13.61
Greece,1961,11.45
Hungary,1961,12.12
Iceland,1961,8.34
Ireland,1961,7.87
Italy,1961,8.51
Japan,1961,9.81
Korea,1961,
Lithuania,1961,
Luxembourg,1961,6.86
Netherlands,1961,7.4
New Zealand,1961,8.74
Norway,1961,5.97
Poland,1961,12.12
Portugal,1961,8.4
Slovak Republic,1961,
Slovenia,1961,12.12
Spain,1961,6.26
Sweden,1961,13.1
Switzerland,1961,4.98
United Kingdom,1961,9.78
United States,1961,13.27
TOTAL DAC ,1961,12.12
EU Institutions,1961,9.58
Australia,1962,8.95
Austria,1962,7.58
Belgium,1962,10.1
Canada,1962,11.42
Czechia,1962,
Denmark,1962,9.38
Estonia,1962,
Finland,1962,10.55
France,1962,12.39
Germany,1962,14.22
Greece,1962,11.99
Hungary,1962,12.53
Iceland,1962,8.62
Ireland,1962,8.27
Italy,1962,9.01
Japan,1962,10.26
Korea,1962,
Lithuania,1962,
Luxembourg,1962,7.14
Netherlands,1962,7.72
New Zealand,1962,9.25
Norway,1962,6.26
Poland,1962,12.53
Portugal,1962,8.4
Slovak Republic,1962,
Slovenia,1962,12.53
Spain,1962,6.6
Sweden,1962,13.66
Switzerland,1962,5.26
United Kingdom,1962,10.16
United States,1962,13.44
TOTAL DAC ,1962,12.53
EU Institutions,1962,10.0
Australia,1963,9.22
Austria,1963,7.85
Belgium,1963,10.39
Canada,1963,11.56
Czechia,1963,
Denmark,1963,8.15
Estonia,1963,
Finland,1963,11.02
France,1963,13.05
Germany,1963,14.7
Greece,1963,12.12
Hungary,1963,12.83
Iceland,1963,9.34
Ireland,1963,8.46
Italy,1963,9.76
Japan,1963,10.77
Korea,1963,
Lithuania,1963,
Luxembourg,1963,7.35
