donor,year,ODA_GNI_realistic,ODA_realistic
Australia,2023,0.19,3278.24
Australia,2024,0.2,3467.38
Australia,2025,0.19,3367.16
Australia,2026,0.19,3361.25
Australia,2027,0.18,3355.36
Australia,2028,0.18,3353.07
Australia,2029,0.18,3353.07
Austria,2023,0.38,1770.86
Austria,2024,0.26,1212.04
Austria,2025,0.26,1231.23
Austria,2026,0.26,1247.97
Austria,2027,0.26,1260.48
Austria,2028,0.26,1271.61
Austria,2029,0.26,1283.26
Belgium,2023,0.44,2642.8
Belgium,2024,0.41,2498.3
Belgium,2025,0.41,2528.13
Belgium,2026,0.41,2559.48
Belgium,2027,0.41,2590.83
Belgium,2028,0.41,2625.6
Belgium,2029,0.41,2658.5
Canada,2023,0.38,8266.29
Canada,2024,0.27,5895.65
Canada,2025,0.27,6031.72
Canada,2026,0.27,6143.85
Canada,2027,0.27,6247.25
Canada,2028,0.27,6351.89
Canada,2029,0.27,6457.33
Czechia,2023,0.24,690.39
Czechia,2024,0.13,372.78
Czechia,2025,0.13,380.28
Czechia,2026,0.13,388.27
Czechia,2027,0.13,396.81
Czechia,2028,0.13,405.74
Czechia,2029,0.13,415.08
Denmark,2023,0.74,3047.65
Denmark,2024,0.67,2810.77
Denmark,2025,0.67,2852.48
Denmark,2026,0.67,2894.13
Denmark,2027,0.67,2934.64
Denmark,2028,0.67,2975.73
Denmark,2029,0.67,3017.39
Estonia,2023,0.28,97.71
Estonia,2024,0.16,56.42
Estonia,2025,0.16,57.65
Estonia,2026,0.16,58.81
Estonia,2027,0.16,59.94
Estonia,2028,0.16,61.15
Estonia,2029,0.16,62.4
EU Institutions,2023,0,24787.95
EU Institutions,2024,0,25587.98
EU Institutions,2025,0,26600.62
EU Institutions,2026,0,26600.62
EU Institutions,2027,0,26600.62
EU Institutions,2028,0,26600.62
EU Institutions,2029,0,26600.62
Finland,2023,0,1461.36
Finland,2024,0.36,1008.09
Finland,2025,0.36,1026.78
Finland,2026,0.36,1046.69
Finland,2027,0.36,1064.36
Finland,2028,0.36,1081.24
