CRS_channel_name,DT_channel_name
Public Sector Institutions,Public Sector
Donor Government,Public Sector
Central Government,Public Sector
Local Government,Public Sector
Public corporations,Public Sector
Other public entities in donor country,Public Sector
Recipient Government,Public Sector
Central Government,Public Sector
Local Government,Public Sector
Public corporations,Public Sector
Other public entities in recipient country,Public Sector
Third Country Government (Delegated co-operation),Public Sector
Non-Governmental Organisation (NGO) and Civil Society,NGOs & Civil Society
International NGO,NGOs & Civil Society
African Medical and Research Foundation ,NGOs & Civil Society
Agency for Cooperation and Research in Development ,NGOs & Civil Society
Association of Geoscientists for International Development ,NGOs & Civil Society
Conservation International,NGOs & Civil Society
Consumer Unity and Trust Society International ,NGOs & Civil Society
Doctors Without Borders,NGOs & Civil Society
Environmental Development Action in the Third World ,NGOs & Civil Society
Environmental Liaison Centre International ,NGOs & Civil Society
Family Health International 360,NGOs & Civil Society
Global Campaign for Education ,NGOs & Civil Society
Health Action International ,NGOs & Civil Society
"Inter Press Service, International Association ",NGOs & Civil Society
International Alert,NGOs & Civil Society
International Centre for Transitional Justice,NGOs & Civil Society
International Committee of the Red Cross ,NGOs & Civil Society
International Council for the Control of Iodine Deficiency Disorders,NGOs & Civil Society
International Federation of Red Cross and Red Crescent Societies ,NGOs & Civil Society
International HIV/AIDS Alliance ,NGOs & Civil Society
International Network for Alternative Financial Institutions ,NGOs & Civil Society
International Peacebuilding Alliance,NGOs & Civil Society
International Planned Parenthood Federation ,NGOs & Civil Society
International Rehabilitation Council for Torture Victims,NGOs & Civil Society
International Relief and Development,NGOs & Civil Society
International Rescue Committee,NGOs & Civil Society
International Union Against Tuberculosis and Lung Disease ,NGOs & Civil Society
"IPAS-Protecting Women's Health, Advancing Women's Reproductive Rights",NGOs & Civil Society
Life and Peace Institute,NGOs & Civil Society
OXFAM International,NGOs & Civil Society
Pact World,NGOs & Civil Society
PANOS Institute ,NGOs & Civil Society
Population Services International ,NGOs & Civil Society
Save the Children,NGOs & Civil Society
Society for International Development,NGOs & Civil Society
The Nature Conservancy,NGOs & Civil Society
World University Service ,NGOs & Civil Society
World Vision,NGOs & Civil Society
"Clinton Health Access Initiative, Inc. ",NGOs & Civil Society
Donor country-based NGO,NGOs & Civil Society
AgriCord,NGOs & Civil Society
Association for the Prevention of Torture,NGOs & Civil Society
Development Gateway Foundation ,NGOs & Civil Society
European Centre for Development Policy Management ,NGOs & Civil Society
Eurostep ,NGOs & Civil Society
Foundation for International Training ,NGOs & Civil Society
Geneva Call,NGOs & Civil Society
Human Rights Information and Documentation Systems ,NGOs & Civil Society
International Catholic Rural Association ,NGOs & Civil Society
International Crisis Group,NGOs & Civil Society
International Federation of Settlements and Neighbourhood Centres ,NGOs & Civil Society
International Seismological Centre ,NGOs & Civil Society
International Service for Human Rights ,NGOs & Civil Society
International Women's Tribune Centre,NGOs & Civil Society
ITF Enhancing Human Security ,NGOs & Civil Society
OXFAM - provider country office,NGOs & Civil Society
Save the Children - donor country office,NGOs & Civil Society
Transparency International ,NGOs & Civil Society
Women's World Banking,NGOs & Civil Society
World Organisation Against Torture ,NGOs & Civil Society
Developing country-based NGO ,NGOs & Civil Society
Africa Solidarity Fund,NGOs & Civil Society
Association of African Universities,NGOs & Civil Society
Forum for African Women Educationalists ,NGOs & Civil Society
Institut Sup�rieur Panafricaine d�Economie Coop�rative,NGOs & Civil Society
International University Exchange Fund - IUEF Stip. in Africa and Latin America,NGOs & Civil Society
Latin American Council for Social Sciences ,NGOs & Civil Society
National Red Cross and Red Crescent Societies,NGOs & Civil Society
Pan African Institute for Development,NGOs & Civil Society
Regional AIDS Training Network,NGOs & Civil Society
Public-Private Partnerships (PPP) and Networks,Public-Private Partnerships (PPP)
Public-Private Partnership (PPP),Public-Private Partnerships (PPP)
Cities Alliance,Public-Private Partnerships (PPP)
Coalition for Epidemic Preparedness Innovations,Public-Private Partnerships (PPP)
European Fund for Southeast Europe,Public-Private Partnerships (PPP)
Global Alliance for ICT and Development,Public-Private Partnerships (PPP)
Global Alliance for Improved Nutrition ,Public-Private Partnerships (PPP)
Global Climate Partnership Fund,Public-Private Partnerships (PPP)
Global Crop Diversity Trust ,Public-Private Partnerships (PPP)
Global Energy Efficiency and Renewable Energy Fund,Public-Private Partnerships (PPP)
Global Energy Efficiency and Renewable Energy Fund II,Public-Private Partnerships (PPP)
Global e-Schools and Communities Initiative ,Public-Private Partnerships (PPP)
Global Water Partnership ,Public-Private Partnerships (PPP)
International AIDS Vaccine Initiative ,Public-Private Partnerships (PPP)
International Partnership on Microbicides ,Public-Private Partnerships (PPP)
International Union for the Conservation of Nature,Public-Private Partnerships (PPP)
Microfinance Enhancement Facility,Public-Private Partnerships (PPP)
"Regional Micro, Small and Medium Enterprise Investment Fund for Sub-Saharan Africa",Public-Private Partnerships (PPP)
Renewable Energy and Energy Efficiency Partnership,Public-Private Partnerships (PPP)
"SANAD Fund for Micro, Small and Medium Enterprises",Public-Private Partnerships (PPP)
Small Arms Survey,Public-Private Partnerships (PPP)
African Finance Corporation,Public-Private Partnerships (PPP)
Currency Exchange Fund N.V.,Public-Private Partnerships (PPP)
Networks,Public-Private Partnerships (PPP)
Commonwealth Agency for Public Administration and Management ,Public-Private Partnerships (PPP)
Commonwealth Partnership for Technical Management ,Public-Private Partnerships (PPP)
European Parliamentarians for Africa,Public-Private Partnerships (PPP)
Extractive Industries Transparency Initiative International Secretariat,Public-Private Partnerships (PPP)
Global Development Network,Public-Private Partnerships (PPP)
Global Knowledge Partnership,Public-Private Partnerships (PPP)
International Centre for Trade and Sustainable Development ,Public-Private Partnerships (PPP)
International Land Coalition,Public-Private Partnerships (PPP)
Parliamentary Network on the World Bank,Public-Private Partnerships (PPP)
Multilateral Organisations,Multilateral Organisations
"United Nations (UN) agency, fund or commission",Multilateral Organisations
"United Nations agency, fund or commission (UN)",Multilateral Organisations
UN entities (core contributions reportable in full),Multilateral Organisations
Convention to Combat Desertification ,Multilateral Organisations
Economic Commission for Africa ,Multilateral Organisations
Economic Commission for Latin America and the Caribbean,Multilateral Organisations
Economic and Social Commission for Western Asia,Multilateral Organisations
Economic and Social Commission for Asia and the Pacific ,Multilateral Organisations
International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Multilateral Organisations
International Fund for Agricultural Development ,Multilateral Organisations
International Labour Organisation - Regular Budget Supplementary Account,Multilateral Organisations
International Maritime Organization - Technical Co-operation Fund,Multilateral Organisations
International Organisation for Migration ,Multilateral Organisations
Pan-American Health Organisation ,Multilateral Organisations
Joint United Nations Programme on HIV/AIDS ,Multilateral Organisations
Technology Bank�for�Least�Developed Countries,Multilateral Organisations
United Nations Capital Development Fund ,Multilateral Organisations
United Nations Conference on Trade and Development ,Multilateral Organisations
United Nations Development Coordination Office,Multilateral Organisations
United Nations Development Programme ,Multilateral Organisations
United Nations Environment Programme ,Multilateral Organisations
United Nations Population Fund ,Multilateral Organisations
United Nations Human Settlement Programme ,Multilateral Organisations
United Nations Office of the United Nations High Commissioner for Refugees ,Multilateral Organisations
United Nations Children's Fund,Multilateral Organisations
United Nations Industrial Development Organisation ,Multilateral Organisations
International drug purchase facility,Multilateral Organisations
United Nations Institute for Training and Research ,Multilateral Organisations
United Nations Office of Co-ordination of Humanitarian Affairs ,Multilateral Organisations
United Nations Office on Drugs and Crime ,Multilateral Organisations
United Nations Entity for Gender Equality and the Empowerment of Women,Multilateral Organisations
United Nations Research Institute for Social Development ,Multilateral Organisations
United Nations System Staff College ,Multilateral Organisations
United Nations University (including Endowment Fund) ,Multilateral Organisations
United Nations Volunteers ,Multilateral Organisations
United Nations Relief and Works Agency for Palestine Refugees in the Near East,Multilateral Organisations
World Food Programme ,Multilateral Organisations
World Health Organisation - core voluntary contributions account,Multilateral Organisations
World Trade Organisation - Advisory Centre on WTO Law,Multilateral Organisations
World Trade Organisation - Doha Development Agenda Global Trust Fund ,Multilateral Organisations
World Trade Organisation - International Trade Centre ,Multilateral Organisations
Other UN (Core Contributions Reportable in Part),Multilateral Organisations
United Nations,Multilateral Organisations
Food and Agricultural Organisation,Multilateral Organisations
International Agency for Research on Cancer,Multilateral Organisations
International Atomic Energy Agency - assessed contributions,Multilateral Organisations
International Labour Organisation - Assessed Contributions,Multilateral Organisations
International Telecommunications Union,Multilateral Organisations
Universal Postal Union ,Multilateral Organisations
