"Year","Multi_short","ODA","Share","full name","country"
"2018","UN agency, fund or commission",85.455182,"4%","United Nations (UN) agency, fund or commission","Spain"
"2019","UN agency, fund or commission",106.737626,"5%","United Nations (UN) agency, fund or commission","Spain"
"2020","UN agency, fund or commission",127.236023,"6%","United Nations (UN) agency, fund or commission","Spain"
"2021","UN agency, fund or commission",133.772924,"6%","United Nations (UN) agency, fund or commission","Spain"
"2022","UN agency, fund or commission",120.310085,"5%","United Nations (UN) agency, fund or commission","Spain"
"2022","CERF",2.870043,"0%","Central Emergency Response Fund","Spain"
"2018","FAO",10.629622,"1%","Food and Agricultural Organisation","Spain"
"2019","FAO",11.229123,"1%","Food and Agricultural Organisation","Spain"
"2020","FAO",9.573575,"0%","Food and Agricultural Organisation","Spain"
"2021","FAO",9.11196,"0%","Food and Agricultural Organisation","Spain"
"2022","FAO",8.957294,"0%","Food and Agricultural Organisation","Spain"
"2018","UNDP",0.621178,"0%","United Nations Development Programme","Spain"
"2019","UNDP",1.040936,"0%","United Nations Development Programme","Spain"
"2018","UN Women",0.670872,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Spain"
"2019","UN Women",0.857241,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Spain"
"2020","UN Women",0.550461,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Spain"
"2021","UN Women",0.591296,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Spain"
"2022","UN Women",1.148017,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Spain"
"2018","UNEP",0.062118,"0%","United Nations Environment Programme","Spain"
"2019","UNEP",0,"0%","United Nations Environment Programme","Spain"
"2021","UNEP",1.407823,"0%","United Nations Environment Programme","Spain"
"2018","UNFCCC",0.484279,"0%","United Nations Framework Convention on Climate Change","Spain"
"2019","UNFCCC",0.414883,"0%","United Nations Framework Convention on Climate Change","Spain"
"2020","UNFCCC",0.397757,"0%","United Nations Framework Convention on Climate Change","Spain"
"2021","UNFCCC",1.028931,"0%","United Nations Framework Convention on Climate Change","Spain"
"2022","UNFCCC",0.426184,"0%","United Nations Framework Convention on Climate Change","Spain"
"2018","UNFPA",0.621178,"0%","United Nations Population Fund","Spain"
"2019","UNFPA",0.612315,"0%","United Nations Population Fund","Spain"
"2020","UNFPA",0.604902,"0%","United Nations Population Fund","Spain"
"2022","UNFPA",0.114802,"0%","United Nations Population Fund","Spain"
"2022","WFP",0.237804,"0%","World Food Programme","Spain"
"2018","WHO - assessed contributions",7.66752,"0%","World Health Organisation - assessed contributions","Spain"
"2019","WHO - assessed contributions",10.221234,"0%","World Health Organisation - assessed contributions","Spain"
"2020","WHO - assessed contributions",9.512032,"0%","World Health Organisation - assessed contributions","Spain"
"2021","WHO - assessed contributions",8.098693,"0%","World Health Organisation - assessed contributions","Spain"
"2022","WHO - assessed contributions",8.068749,"0%","World Health Organisation - assessed contributions","Spain"
"2018","WHO - core voluntary contributions",2.060876,"0%","World Health Organisation - core voluntary contributions account","Spain"
"2019","WHO - core voluntary contributions",2.031262,"0%","World Health Organisation - core voluntary contributions account","Spain"
"2021","WHO - core voluntary contributions",4.730369,"0%","World Health Organisation - core voluntary contributions account","Spain"
"2022","WHO - core voluntary contributions",3.013545,"0%","World Health Organisation - core voluntary contributions account","Spain"
"2018","EUI",1348.016216,"68%","European Union Institutions","Spain"
"2019","EUI",1384.00719,"66%","European Union Institutions","Spain"
"2020","EUI",1445.826087,"68%","European Union Institutions","Spain"
"2021","EUI",1491.277129,"68%","European Union Institutions","Spain"
"2022","EUI",1672.477351,"74%","European Union Institutions","Spain"
"2018","EC - Development Share of Budget",934.345643,"47%","European Commission - Development Share of Budget","Spain"
"2019","EC - Development Share of Budget",958.15167,"46%","European Commission - Development Share of Budget","Spain"
"2020","EC - Development Share of Budget",1023.241766,"48%","European Commission - Development Share of Budget","Spain"
"2021","EC - Development Share of Budget",1155.468235,"53%","European Commission - Development Share of Budget","Spain"
"2022","EC - Development Share of Budget",1445.055129,"64%","European Commission - Development Share of Budget","Spain"
"2018","EC - EDF",413.642136,"21%","European Commission - European Development Fund","Spain"
"2019","EC - EDF",425.85552,"20%","European Commission - European Development Fund","Spain"
"2020","EC - EDF",420.769616,"20%","European Commission - European Development Fund","Spain"
"2021","EC - EDF",335.808894,"15%","European Commission - European Development Fund","Spain"
"2022","EC - EDF",227.422222,"10%","European Commission - European Development Fund","Spain"
"2019","IMF",1.22463,"0%","International Monetary Fund (IMF)","Spain"
"2020","IMF",4.929388,"0%","International Monetary Fund (IMF)","Spain"
"2021","IMF",45.799249,"2%","International Monetary Fund (IMF)","Spain"
"2022","IMF",37.310567,"2%","International Monetary Fund (IMF)","Spain"
"2018","WB",298.538969,"13%","World Bank Group (WB)","Spain"
"2019","WB",264.373222,"13%","World Bank Group (WB)","Spain"
"2020","WB",317.569307,"15%","World Bank Group (WB)","Spain"
"2021","WB",312.683147,"15%","World Bank Group (WB)","Spain"
"2022","WB",240.611556,"11%","World Bank Group (WB)","Spain"
"2019","IBRD",45.445039,"2%","International Bank for Reconstruction and Development","Spain"
"2020","IBRD",31.248165,"2%","International Bank for Reconstruction and Development","Spain"
"2021","IBRD",25.015811,"1%","International Bank for Reconstruction and Development","Spain"
"2022","IBRD",21.748682,"1%","International Bank for Reconstruction and Development","Spain"
"2018","IDA",281.108726,"13%","International Development Association","Spain"
"2019","IDA",215.254292,"10%","International Development Association","Spain"
"2020","IDA",252.083706,"13%","International Development Association","Spain"
"2021","IDA",135.998108,"7%","International Development Association","Spain"
"2022","IDA",177.713072,"8%","International Development Association","Spain"
"2018","MDRI",17.392972,"1%","International Development Association - Multilateral Debt Relief Initiative","Spain"
"2020","MDRI",27.220576,"1%","International Development Association - Multilateral Debt Relief Initiative","Spain"
"2021","MDRI",108.550142,"5%","International Development Association - Multilateral Debt Relief Initiative","Spain"
"2018","	
Regional Development Banks",161.749906,"8%","Regional Development Banks","Spain"
"2019","	
Regional Development Banks",142.284036,"7%","Regional Development Banks","Spain"
"2020","	
Regional Development Banks",143.236866,"7%","Regional Development Banks","Spain"
"2021","	
Regional Development Banks",109.773529,"5%","Regional Development Banks","Spain"
"2022","	
Regional Development Banks",62.582959,"3%","Regional Development Banks","Spain"
"2019","AfDB",8.572412,"0%","African Development Bank","Spain"
"2020","AfDB",36.498756,"2%","African Development Bank","Spain"
"2021","AfDB",12.747968,"1%","African Development Bank","Spain"
"2022","AfDB",9.758147,"0%","African Development Bank","Spain"
"2018","African Development Fund",36.587358,"2%","African Development Fund","Spain"
"2019","African Development Fund",16.471278,"1%","African Development Fund","Spain"
"2020","African Development Fund",25.133359,"1%","African Development Fund","Spain"
"2021","African Development Fund",66.753423,"3%","African Development Fund","Spain"
"2022","African Development Fund",43.936276,"2%","African Development Fund","Spain"
"2019","ADB",1.836945,"0%","Asian Development Bank","Spain"
"2022","ADB",5.740086,"0%","Asian Development Bank","Spain"
"2018","ADF",7.756905,"0%","Asian Development Fund","Spain"
"2020","ADF",14.517641,"1%","Asian Development Fund","Spain"
"2018","AIIB",65.222555,"3%","Asian Infrastructure Investment Bank","Spain"
"2019","AIIB",66.225133,"3%","Asian Infrastructure Investment Bank","Spain"
"2019","EBRD",2.449261,"0%","European Bank for Reconstruction and Development","Spain"
"2018","IDB, IIC and MIF",13.74692,"1%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","Spain"
"2019","IDB, IIC and MIF",11.887555,"1%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","Spain"
"2020","IDB, IIC and MIF",28.901178,"1%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","Spain"
"2018","Other multilateral institutions",87.638692,"4%","Other multilateral institutions","Spain"
"2019","Other multilateral institutions",186.913757,"9%","Other multilateral institutions","Spain"
"2020","Other multilateral institutions",87.968694,"4%","Other multilateral institutions","Spain"
"2021","Other multilateral institutions",94.494539,"4%","Other multilateral institutions","Spain"
"2022","Other multilateral institutions",125.356364,"6%","Other multilateral institutions","Spain"
"2021","Gavi",0.591296,"0%","Global Alliance for Vaccines and Immunization","Spain"
"2022","Gavi",0.68881,"0%","Global Alliance for Vaccines and Immunization","Spain"
"2018","GEF Fund",19.256504,"1%","Global Environment Facility Trust Fund","Spain"
"2019","GEF Fund",5.510836,"0%","Global Environment Facility Trust Fund","Spain"
"2022","GEF Fund",13.443282,"1%","Global Environment Facility Trust Fund","Spain"
"2020","Global Fund",12.098034,"1%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Spain"
"2021","Global Fund",35.477767,"2%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Spain"
"2022","Global Fund",55.219631,"3%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Spain"
"2018","GCF",31.058878,"1%","Green Climate Fund","Spain"
"2019","GCF",145.091392,"6%","Green Climate Fund","Spain"
"2020","GCF",45.394597,"2%","Green Climate Fund","Spain"
"2021","GCF",28.382214,"1%","Green Climate Fund","Spain"
"2022","GCF",27.552414,"1%","Green Climate Fund","Spain"
"2018","IPCC",0.124236,"0%","Intergovernmental Panel on Climate Change","Spain"
"2019","IPCC",0.122463,"0%","Intergovernmental Panel on Climate Change","Spain"
"2020","IPCC",0.241961,"0%","Intergovernmental Panel on Climate Change","Spain"
"2021","IPCC",0.236518,"0%","Intergovernmental Panel on Climate Change","Spain"
"2018","IFFIm",11.771315,"1%","International Finance Facility for Immunisation","Spain"
"2019","IFFIm",11.603372,"1%","International Finance Facility for Immunisation","Spain"
"2020","IFFIm",11.462887,"1%","International Finance Facility for Immunisation","Spain"
"2021","IFFIm",11.317112,"1%","International Finance Facility for Immunisation","Spain"
"2022","IFFIm",5.740086,"0%","International Finance Facility for Immunisation","Spain"
