"Year","Multi_short","ODA","Share","full name","country"
"2018","UN agency, fund or commission",444.104376,"7%","United Nations (UN) agency, fund or commission","France"
"2019","UN agency, fund or commission",561.760973,"10%","United Nations (UN) agency, fund or commission","France"
"2020","UN agency, fund or commission",508.941728,"9%","United Nations (UN) agency, fund or commission","France"
"2021","UN agency, fund or commission",568.930134,"9%","United Nations (UN) agency, fund or commission","France"
"2022","UN agency, fund or commission",814.879044,"10%","United Nations (UN) agency, fund or commission","France"
"2018","FAO",17.018527,"0%","Food and Agricultural Organisation","France"
"2019","FAO",23.202384,"0%","Food and Agricultural Organisation","France"
"2020","FAO",19.126737,"0%","Food and Agricultural Organisation","France"
"2021","FAO",18.311615,"0%","Food and Agricultural Organisation","France"
"2022","FAO",19.643234,"0%","Food and Agricultural Organisation","France"
"2018","IFAD",139.221345,"2%","International Fund for Agricultural Development","France"
"2019","IFAD",199.928374,"4%","International Fund for Agricultural Development","France"
"2020","IFAD",14.350657,"0%","International Fund for Agricultural Development","France"
"2021","IFAD",13.795134,"0%","International Fund for Agricultural Development","France"
"2022","IFAD",32.974045,"0%","International Fund for Agricultural Development","France"
"2018","UNDP",11.085823,"0%","United Nations Development Programme","France"
"2019","UNDP",17.000633,"0%","United Nations Development Programme","France"
"2020","UNDP",10.694126,"0%","United Nations Development Programme","France"
"2021","UNDP",14.486755,"0%","United Nations Development Programme","France"
"2022","UNDP",18.053011,"0%","United Nations Development Programme","France"
"2018","UN Women",1.497004,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","France"
"2019","UN Women",2.709657,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","France"
"2020","UN Women",2.893995,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","France"
"2021","UN Women",6.62843,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","France"
"2022","UN Women",6.476604,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","France"
"2018","UNEP",14.886015,"0%","United Nations Environment Programme","France"
"2019","UNEP",13.671807,"0%","United Nations Environment Programme","France"
"2020","UNEP",13.553559,"0%","United Nations Environment Programme","France"
"2021","UNEP",7.53648,"0%","United Nations Environment Programme","France"
"2022","UNEP",8.320743,"0%","United Nations Environment Programme","France"
"2018","UNFCCC",2.304182,"0%","United Nations Framework Convention on Climate Change","France"
"2019","UNFCCC",1.025047,"0%","United Nations Framework Convention on Climate Change","France"
"2020","UNFCCC",0.860886,"0%","United Nations Framework Convention on Climate Change","France"
"2021","UNFCCC",1.928293,"0%","United Nations Framework Convention on Climate Change","France"
"2022","UNFCCC",0.052214,"0%","United Nations Framework Convention on Climate Change","France"
"2018","UNOCHA",1.247503,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","France"
"2019","UNOCHA",3.694987,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","France"
"2020","UNOCHA",5.033034,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","France"
"2021","UNOCHA",30.747398,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","France"
"2022","UNOCHA",44.486933,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","France"
"2018","UNFPA",1.309878,"0%","United Nations Population Fund","France"
"2019","UNFPA",1.97066,"0%","United Nations Population Fund","France"
"2020","UNFPA",1.318176,"0%","United Nations Population Fund","France"
"2021","UNFPA",22.522469,"0%","United Nations Population Fund","France"
"2022","UNFPA",26.628607,"0%","United Nations Population Fund","France"
"2018","WFP",0.12475,"0%","World Food Programme","France"
"2019","WFP",1.354829,"0%","World Food Programme","France"
"2020","WFP",1.557844,"0%","World Food Programme","France"
"2021","WFP",15.964995,"0%","World Food Programme","France"
"2022","WFP",87.205943,"1%","World Food Programme","France"
"2020","WHO - assessed contributions",17.504696,"0%","World Health Organisation - assessed contributions","France"
"2022","WHO - assessed contributions",16.364602,"0%","World Health Organisation - assessed contributions","France"
"2018","WHO - core voluntary contributions",27.216681,"0%","World Health Organisation - core voluntary contributions account","France"
"2019","WHO - core voluntary contributions",27.343658,"0%","World Health Organisation - core voluntary contributions account","France"
"2020","WHO - core voluntary contributions",41.076749,"1%","World Health Organisation - core voluntary contributions account","France"
"2021","WHO - core voluntary contributions",31.280042,"1%","World Health Organisation - core voluntary contributions account","France"
"2022","WHO - core voluntary contributions",65.286017,"1%","World Health Organisation - core voluntary contributions account","France"
"2018","EUI",2805.60254,"48%","European Union Institutions","France"
"2019","EUI",2825.093655,"43%","European Union Institutions","France"
"2020","EUI",2996.791596,"38%","European Union Institutions","France"
"2021","EUI",3083.237707,"50%","European Union Institutions","France"
"2022","EUI",3436.662957,"64%","European Union Institutions","France"
"2018","EC - Development Share of Budget",1812.078973,"31%","European Commission - Development Share of Budget","France"
"2019","EC - Development Share of Budget",1787.530915,"27%","European Commission - Development Share of Budget","France"
"2020","EC - Development Share of Budget",1987.298727,"25%","European Commission - Development Share of Budget","France"
"2021","EC - Development Share of Budget",2303.277067,"37%","European Commission - Development Share of Budget","France"
"2022","EC - Development Share of Budget",2872.422686,"54%","European Commission - Development Share of Budget","France"
"2018","EC - EDF",993.523567,"17%","European Commission - European Development Fund","France"
"2019","EC - EDF",1037.56274,"16%","European Commission - European Development Fund","France"
"2020","EC - EDF",1009.492869,"13%","European Commission - European Development Fund","France"
"2021","EC - EDF",779.96064,"13%","European Commission - European Development Fund","France"
"2022","EC - EDF",564.240271,"11%","European Commission - European Development Fund","France"
"2020","IMF",835.393154,"14%","International Monetary Fund (IMF)","France"
"2021","IMF",552.86088,"8%","International Monetary Fund (IMF)","France"
"2022","IMF",416.717957,"5%","International Monetary Fund (IMF)","France"
"2018","WB",1503.802597,"24%","World Bank Group (WB)","France"
"2019","WB",556.053718,"10%","World Bank Group (WB)","France"
"2020","WB",553.229489,"10%","World Bank Group (WB)","France"
"2021","WB",730.039825,"11%","World Bank Group (WB)","France"
"2022","WB",756.946996,"10%","World Bank Group (WB)","France"
"2018","IBRD",12.47503,"0%","International Bank for Reconstruction and Development","France"
"2019","IBRD",67.169943,"1%","International Bank for Reconstruction and Development","France"
"2020","IBRD",62.68841,"1%","International Bank for Reconstruction and Development","France"
"2021","IBRD",54.980428,"1%","International Bank for Reconstruction and Development","France"
"2022","IBRD",63.185473,"1%","International Bank for Reconstruction and Development","France"
"2018","IDA",1430.312191,"23%","International Development Association","France"
"2019","IDA",426.820304,"8%","International Development Association","France"
"2020","IDA",415.261268,"7%","International Development Association","France"
"2021","IDA",536.8524,"8%","International Development Association","France"
"2022","IDA",514.26921,"7%","International Development Association","France"
"2018","MDRI",61.015376,"1%","International Development Association - Multilateral Debt Relief Initiative","France"
"2019","MDRI",62.063471,"1%","International Development Association - Multilateral Debt Relief Initiative","France"
"2020","MDRI",75.219894,"1%","International Development Association - Multilateral Debt Relief Initiative","France"
"2021","MDRI",86.435667,"1%","International Development Association - Multilateral Debt Relief Initiative","France"
"2022","MDRI",126.358744,"2%","International Development Association - Multilateral Debt Relief Initiative","France"
"2018","	
Regional Development Banks",346.025546,"6%","Regional Development Banks","France"
"2019","	
Regional Development Banks",324.438116,"6%","Regional Development Banks","France"
"2020","	
Regional Development Banks",210.500388,"4%","Regional Development Banks","France"
"2021","	
Regional Development Banks",246.999947,"4%","Regional Development Banks","France"
"2022","	
Regional Development Banks",294.166268,"4%","Regional Development Banks","France"
"2018","AfDB",17.764444,"0%","African Development Bank","France"
"2019","AfDB",28.032637,"1%","African Development Bank","France"
"2020","AfDB",16.304112,"0%","African Development Bank","France"
"2021","AfDB",61.40905,"1%","African Development Bank","France"
"2022","AfDB",32.486684,"0%","African Development Bank","France"
"2018","African Development Fund",185.592282,"3%","African Development Fund","France"
"2019","African Development Fund",151.700168,"3%","African Development Fund","France"
"2020","African Development Fund",178.490033,"3%","African Development Fund","France"
"2021","African Development Fund",172.648749,"3%","African Development Fund","France"
"2022","African Development Fund",190.87501,"2%","African Development Fund","France"
"2018","ADF",14.346286,"0%","Asian Development Fund","France"
"2019","ADF",14.164118,"0%","Asian Development Fund","France"
"2020","ADF",13.780927,"0%","Asian Development Fund","France"
"2021","ADF",11.928709,"0%","Asian Development Fund","France"
"2022","ADF",11.951803,"0%","Asian Development Fund","France"
"2018","AIIB",125.474484,"2%","Asian Infrastructure Investment Bank","France"
"2019","AIIB",127.585203,"2%","Asian Infrastructure Investment Bank","France"
"2018","IDB, IIC and MIF",2.239268,"0%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","France"
"2019","IDB, IIC and MIF",2.354939,"0%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","France"
"2020","IDB, IIC and MIF",1.340721,"0%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","France"
"2021","IDB, IIC and MIF",0.436527,"0%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","France"
"2022","IDB, IIC and MIF",0.513836,"0%","Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","France"
"2018","Other multilateral institutions",1060.961704,"18%","Other multilateral institutions","France"
"2019","Other multilateral institutions",1096.194547,"17%","Other multilateral institutions","France"
"2020","Other multilateral institutions",708.267382,"9%","Other multilateral institutions","France"
"2021","Other multilateral institutions",1378.074004,"22%","Other multilateral institutions","France"
"2022","Other multilateral institutions",2111.739792,"39%","Other multilateral institutions","France"
"2020","CGIAR Fund",4.793366,"0%","CGIAR Fund","France"
"2021","CGIAR Fund",4.730369,"0%","CGIAR Fund","France"
"2022","CGIAR Fund",6.008625,"0%","CGIAR Fund","France"
"2019","Gavi",0,"0%","Global Alliance for Vaccines and Immunization","France"
"2020","Gavi",17.975122,"0%","Global Alliance for Vaccines and Immunization","France"
"2021","Gavi",271.657115,"5%","Global Alliance for Vaccines and Immunization","France"
"2022","Gavi",63.880924,"1%","Global Alliance for Vaccines and Immunization","France"
"2018","GEF-Least Developed Countries Fund",9.356273,"0%","Global Environment Facility - Least Developed Countries Fund","France"
"2019","GEF-Least Developed Countries Fund",15.395781,"0%","Global Environment Facility - Least Developed Countries Fund","France"
"2021","GEF-Least Developed Countries Fund",0,"0%","Global Environment Facility - Least Developed Countries Fund","France"
"2022","GEF-Least Developed Countries Fund",11.555047,"0%","Global Environment Facility - Least Developed Countries Fund","France"
"2018","GEF Fund",61.424557,"1%","Global Environment Facility Trust Fund","France"
"2019","GEF Fund",69.733033,"1%","Global Environment Facility Trust Fund","France"
"2020","GEF Fund",65.670692,"1%","Global Environment Facility Trust Fund","France"
"2021","GEF Fund",62.943219,"1%","Global Environment Facility Trust Fund","France"
"2022","GEF Fund",59.990021,"1%","Global Environment Facility Trust Fund","France"
"2018","Global Fund",448.851611,"7%","Global Fund to Fight AIDS, Tuberculosis and Malaria","France"
"2019","Global Fund",480.348353,"6%","Global Fund to Fight AIDS, Tuberculosis and Malaria","France"
"2020","Global Fund",319.202396,"5%","Global Fund to Fight AIDS, Tuberculosis and Malaria","France"
"2021","Global Fund",359.22422,"7%","Global Fund to Fight AIDS, Tuberculosis and Malaria","France"
"2022","Global Fund",622.993513,"11%","Global Fund to Fight AIDS, Tuberculosis and Malaria","France"
"2018","GCF",199.600494,"3%","Green Climate Fund","France"
"2019","GCF",189.269568,"2%","Green Climate Fund","France"
"2020","GCF",49.443569,"1%","Green Climate Fund","France"
"2021","GCF",460.808893,"9%","Green Climate Fund","France"
"2022","GCF",1113.224828,"19%","Green Climate Fund","France"
"2019","IPCC",1.231662,"0%","Intergovernmental Panel on Climate Change","France"
"2020","IPCC",0.802889,"0%","Intergovernmental Panel on Climate Change","France"
"2021","IPCC",0.985099,"0%","Intergovernmental Panel on Climate Change","France"
"2022","IPCC",0.685596,"0%","Intergovernmental Panel on Climate Change","France"
"2018","IFFIm",89.381101,"2%","International Finance Facility for Immunisation","France"
"2019","IFFIm",93.81579,"1%","International Finance Facility for Immunisation","France"
"2020","IFFIm",97.073328,"1%","International Finance Facility for Immunisation","France"
"2021","IFFIm",103.062914,"2%","International Finance Facility for Immunisation","France"
"2022","IFFIm",106.445097,"2%","International Finance Facility for Immunisation","France"
