"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","GCF","1","0.5%","green climate fund","Korea"
"2019","GCF","1.6","0.7%","green climate fund","Korea"
"2020","GCF","5.7","3.3%","green climate fund","Korea"
"2021","GCF","13.3","5.6%","green climate fund","Korea"
"2022","GCF","17","6%","green climate fund","Korea"
"2018","IDA","20.2","10%","international development association","Korea"
"2019","IDA","19.5","8.7%","international development association","Korea"
"2020","IDA","17.8","10.3%","international development association","Korea"
"2021","IDA","18.5","7.8%","international development association","Korea"
"2022","IDA","16.1","5.7%","international development association","Korea"
"2018","IFC","NA","NA%","international finance corporation","Korea"
"2019","IFC","0","0%","international finance corporation","Korea"
"2020","IFC","NA","NA%","international finance corporation","Korea"
"2021","IFC","0","0%","international finance corporation","Korea"
"2022","IFC","9.5","3.4%","international finance corporation","Korea"
"2018","IBRD","4.5","2.3%","international bank for reconstruction and development","Korea"
"2019","IBRD","4.5","2%","international bank for reconstruction and development","Korea"
"2020","IBRD","3.8","2.2%","international bank for reconstruction and development","Korea"
"2021","IBRD","7.9","3.4%","international bank for reconstruction and development","Korea"
"2022","IBRD","6.3","2.2%","international bank for reconstruction and development","Korea"
"2018","FAO","5.4","2.7%","food and agricultural organisation","Korea"
"2019","FAO","3.6","1.6%","food and agricultural organisation","Korea"
"2020","FAO","6.6","3.8%","food and agricultural organisation","Korea"
"2021","FAO","7.2","3%","food and agricultural organisation","Korea"
"2022","FAO","5.7","2%","food and agricultural organisation","Korea"
"2018","African Development Fund","3.6","1.8%","african development fund","Korea"
"2019","African Development Fund","4.2","1.9%","african development fund","Korea"
"2020","African Development Fund","4.2","2.4%","african development fund","Korea"
"2021","African Development Fund","3.9","1.6%","african development fund","Korea"
"2022","African Development Fund","3.6","1.3%","african development fund","Korea"
"2018","AfDB","0.5","0.2%","african development bank","Korea"
"2019","AfDB","0.8","0.4%","african development bank","Korea"
"2020","AfDB","0","0%","african development bank","Korea"
"2021","AfDB","0.4","0.2%","african development bank","Korea"
"2022","AfDB","1.6","0.6%","african development bank","Korea"
"2018","ADB","0.7","0.4%","asian development bank","Korea"
"2019","ADB","0.8","0.4%","asian development bank","Korea"
"2020","ADB","0.4","0.2%","asian development bank","Korea"
"2021","ADB","1.4","0.6%","asian development bank","Korea"
"2022","ADB","0.9","0.3%","asian development bank","Korea"
"2018","Central American Bank","NA","NA%","central american bank for economic integration","Korea"
"2019","Central American Bank","NA","NA%","central american bank for economic integration","Korea"
