year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,School feeding,1.24,33.4%,Iceland
2023,Education facilities and training,1.1,29.6%,Iceland
2023,Primary education,0.67,18.1%,Iceland
2023,Upper Secondary Education (modified and includes data from 11322),0.23,6.2%,Iceland
2023,Education policy and administrative management,0.21,5.7%,Iceland
2023,Advanced technical and managerial training,0.08,2.0%,Iceland
2023,Early childhood education,0.07,1.9%,Iceland
2023,Vocational training,0.05,1.4%,Iceland
2023,Basic life skills for youth,0.02,0.5%,Iceland
2023,Teacher training,0.02,0.5%,Iceland
2023,Educational research,0.02,0.5%,Iceland
2023,Basic life skills for adults,0.01,0.2%,Iceland
2022,Education facilities and training,3.96,72.2%,Iceland
2022,Primary education,0.97,17.7%,Iceland
2022,Education policy and administrative management,0.16,3.0%,Iceland
2022,Upper Secondary Education (modified and includes data from 11322),0.14,2.5%,Iceland
2022,Vocational training,0.08,1.4%,Iceland
2022,Early childhood education,0.08,1.5%,Iceland
2022,Teacher training,0.05,1.0%,Iceland
2022,Advanced technical and managerial training,0.03,0.6%,Iceland
2022,Educational research,0.01,0.1%,Iceland
2021,Education facilities and training,4.98,72.3%,Iceland
2021,Primary education,1.01,14.7%,Iceland
2021,Education policy and administrative management,0.29,4.2%,Iceland
2021,Upper Secondary Education (modified and includes data from 11322),0.25,3.6%,Iceland
2021,Lower secondary education,0.16,2.4%,Iceland
2021,Vocational training,0.1,1.4%,Iceland
2021,Teacher training,0.05,0.8%,Iceland
2021,Educational research,0.01,0.2%,Iceland
2021,Basic life skills for youth,0.01,0.1%,Iceland
2021,Advanced technical and managerial training,0.01,0.1%,Iceland
2021,Higher education,0.0,0.1%,Iceland
2020,Education facilities and training,3.84,60.4%,Iceland
2020,Primary education,1.87,29.4%,Iceland
2020,Education policy and administrative management,0.48,7.5%,Iceland
2020,Vocational training,0.1,1.5%,Iceland
2020,Basic life skills for youth,0.04,0.7%,Iceland
2020,Advanced technical and managerial training,0.01,0.2%,Iceland
2020,Higher education,0.01,0.2%,Iceland
2019,Education facilities and training,3.76,66.4%,Iceland
2019,Primary education,1.66,29.3%,Iceland
2019,Vocational training,0.16,2.8%,Iceland
2019,Upper Secondary Education (modified and includes data from 11322),0.03,0.6%,Iceland
2019,Education policy and administrative management,0.03,0.5%,Iceland
2019,Educational research,0.01,0.1%,Iceland
2019,Teacher training,0.01,0.1%,Iceland
2019,Basic life skills for adults,0.0,0.0%,Iceland
