year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Higher education,42.85,66.4%,Netherlands
2023,Primary education,12.67,19.6%,Netherlands
2023,Vocational training,4.59,7.1%,Netherlands
2023,Basic life skills for adults,1.75,2.7%,Netherlands
2023,Education policy and administrative management,1.56,2.4%,Netherlands
2023,Advanced technical and managerial training,1.08,1.7%,Netherlands
2023,Basic life skills for youth,0.05,0.1%,Netherlands
2023,Education facilities and training,0.01,0.0%,Netherlands
2022,Primary education,38.59,43.6%,Netherlands
2022,Higher education,37.96,42.9%,Netherlands
2022,Vocational training,5.55,6.3%,Netherlands
2022,Basic life skills for adults,4.53,5.1%,Netherlands
2022,Education policy and administrative management,1.73,1.9%,Netherlands
2022,Education facilities and training,0.13,0.2%,Netherlands
2022,Upper Secondary Education (modified and includes data from 11322),0.0,0.0%,Netherlands
2021,Higher education,74.14,76.9%,Netherlands
2021,Primary education,12.25,12.7%,Netherlands
2021,Vocational training,5.54,5.7%,Netherlands
2021,Basic life skills for adults,3.03,3.1%,Netherlands
2021,Upper Secondary Education (modified and includes data from 11322),0.95,1.0%,Netherlands
2021,Education policy and administrative management,0.23,0.2%,Netherlands
2021,Education facilities and training,0.23,0.2%,Netherlands
2020,Primary education,51.35,46.1%,Netherlands
2020,Higher education,43.9,39.4%,Netherlands
2020,Vocational training,8.71,7.8%,Netherlands
2020,Basic life skills for adults,3.13,2.8%,Netherlands
2020,Education policy and administrative management,2.02,1.8%,Netherlands
2020,Upper Secondary Education (modified and includes data from 11322),1.98,1.8%,Netherlands
2020,Education facilities and training,0.28,0.3%,Netherlands
2019,Higher education,81.5,71.8%,Netherlands
2019,Primary education,15.4,13.6%,Netherlands
2019,Vocational training,6.67,5.9%,Netherlands
2019,Education policy and administrative management,4.45,3.9%,Netherlands
2019,Basic life skills for adults,3.78,3.3%,Netherlands
2019,Upper Secondary Education (modified and includes data from 11322),1.64,1.4%,Netherlands
2019,Education facilities and training,0.06,0.1%,Netherlands
2019,Educational research,0.04,0.0%,Netherlands
