year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Education facilities and training,10.44,63.0%,Lithuania
2023,Higher education,5.98,36.1%,Lithuania
2023,Vocational training,0.11,0.6%,Lithuania
2023,Teacher training,0.04,0.2%,Lithuania
2022,Higher education,6.61,93.4%,Lithuania
2022,Education facilities and training,0.18,2.5%,Lithuania
2022,Advanced technical and managerial training,0.16,2.2%,Lithuania
2022,Teacher training,0.07,1.0%,Lithuania
2022,Education policy and administrative management,0.06,0.9%,Lithuania
2021,Higher education,4.06,63.4%,Lithuania
2021,Education policy and administrative management,1.93,30.2%,Lithuania
2021,Vocational training,0.27,4.2%,Lithuania
2021,Basic life skills for youth,0.07,1.1%,Lithuania
2021,Teacher training,0.05,0.9%,Lithuania
2021,Primary education,0.01,0.2%,Lithuania
2021,Education facilities and training,0.0,0.1%,Lithuania
2020,Higher education,2.95,64.4%,Lithuania
2020,Education facilities and training,1.4,30.5%,Lithuania
2020,Basic life skills for youth,0.1,2.2%,Lithuania
2020,Teacher training,0.1,2.2%,Lithuania
2020,Education policy and administrative management,0.02,0.4%,Lithuania
2020,Vocational training,0.01,0.2%,Lithuania
2019,Higher education,2.64,56.4%,Lithuania
2019,Education policy and administrative management,1.02,21.8%,Lithuania
2019,Teacher training,0.34,7.2%,Lithuania
2019,Upper Secondary Education (modified and includes data from 11322),0.22,4.7%,Lithuania
2019,Education facilities and training,0.21,4.4%,Lithuania
2019,Basic life skills for youth,0.15,3.3%,Lithuania
2019,Vocational training,0.05,1.1%,Lithuania
2019,Basic life skills for adults,0.03,0.6%,Lithuania
2019,Educational research,0.02,0.3%,Lithuania
2019,Early childhood education,0.01,0.2%,Lithuania
