year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Higher education,37.86,67.6%,New Zealand
2023,Education policy and administrative management,6.73,12.0%,New Zealand
2023,Early childhood education,4.32,7.7%,New Zealand
2023,Upper Secondary Education (modified and includes data from 11322),2.17,3.9%,New Zealand
2023,Vocational training,1.28,2.3%,New Zealand
2023,Advanced technical and managerial training,1.09,1.9%,New Zealand
2023,Basic life skills for adults,0.89,1.6%,New Zealand
2023,Teacher training,0.77,1.4%,New Zealand
2023,Education facilities and training,0.72,1.3%,New Zealand
2023,Basic life skills for youth,0.11,0.2%,New Zealand
2023,Educational research,0.06,0.1%,New Zealand
2023,Primary education,0.01,0.0%,New Zealand
2022,Higher education,19.08,52.8%,New Zealand
2022,Education policy and administrative management,7.89,21.8%,New Zealand
2022,Early childhood education,3.5,9.7%,New Zealand
2022,Upper Secondary Education (modified and includes data from 11322),1.84,5.1%,New Zealand
2022,Education facilities and training,1.13,3.1%,New Zealand
2022,Teacher training,0.7,1.9%,New Zealand
2022,Basic life skills for youth,0.66,1.8%,New Zealand
2022,Basic life skills for adults,0.48,1.3%,New Zealand
2022,Vocational training,0.47,1.3%,New Zealand
2022,School feeding,0.16,0.4%,New Zealand
2022,Advanced technical and managerial training,0.13,0.4%,New Zealand
2022,Primary education,0.07,0.2%,New Zealand
2022,Educational research,0.01,0.0%,New Zealand
2021,Higher education,37.23,62.8%,New Zealand
2021,Education policy and administrative management,7.4,12.5%,New Zealand
2021,Education facilities and training,4.22,7.1%,New Zealand
2021,Early childhood education,4.08,6.9%,New Zealand
2021,Upper Secondary Education (modified and includes data from 11322),2.3,3.9%,New Zealand
2021,Vocational training,1.57,2.6%,New Zealand
2021,Educational research,1.19,2.0%,New Zealand
2021,Basic life skills for youth,0.54,0.9%,New Zealand
2021,Primary education,0.5,0.8%,New Zealand
2021,Basic life skills for adults,0.25,0.4%,New Zealand
2021,Teacher training,0.0,0.0%,New Zealand
2020,Higher education,53.84,74.9%,New Zealand
2020,Primary education,5.63,7.8%,New Zealand
2020,Education policy and administrative management,3.93,5.5%,New Zealand
2020,Early childhood education,3.22,4.5%,New Zealand
2020,Vocational training,2.25,3.1%,New Zealand
2020,Educational research,1.06,1.5%,New Zealand
2020,Upper Secondary Education (modified and includes data from 11322),0.8,1.1%,New Zealand
2020,Basic life skills for adults,0.65,0.9%,New Zealand
2020,Basic life skills for youth,0.45,0.6%,New Zealand
2020,Education facilities and training,0.01,0.0%,New Zealand
2019,Higher education,55.43,73.2%,New Zealand
2019,Primary education,6.43,8.5%,New Zealand
2019,Early childhood education,5.29,7.0%,New Zealand
2019,Vocational training,3.44,4.5%,New Zealand
2019,Education policy and administrative management,2.65,3.5%,New Zealand
2019,Educational research,1.3,1.7%,New Zealand
2019,Basic life skills for adults,0.76,1.0%,New Zealand
2019,Upper Secondary Education (modified and includes data from 11322),0.28,0.4%,New Zealand
2019,Basic life skills for youth,0.1,0.1%,New Zealand
