year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Education policy and administrative management,584.34,38.9%,EU Institutions
2023,Higher education,303.05,20.2%,EU Institutions
2023,Vocational training,202.75,13.5%,EU Institutions
2023,Education facilities and training,165.78,11.0%,EU Institutions
2023,Primary education,101.06,6.7%,EU Institutions
2023,Upper Secondary Education (modified and includes data from 11322),47.65,3.2%,EU Institutions
2023,Teacher training,22.3,1.5%,EU Institutions
2023,Basic life skills for adults,14.55,1.0%,EU Institutions
2023,School feeding,14.09,0.9%,EU Institutions
2023,Early childhood education,13.0,0.9%,EU Institutions
2023,Basic life skills for youth,12.77,0.9%,EU Institutions
2023,Advanced technical and managerial training,10.85,0.7%,EU Institutions
2023,Lower secondary education,6.69,0.4%,EU Institutions
2023,Educational research,1.97,0.1%,EU Institutions
2023,Primary education equivalent for adults,0.06,0.0%,EU Institutions
2022,Education policy and administrative management,484.61,33.7%,EU Institutions
2022,Education facilities and training,245.21,17.1%,EU Institutions
2022,Higher education,214.66,14.9%,EU Institutions
2022,Vocational training,138.6,9.6%,EU Institutions
2022,Primary education,122.48,8.5%,EU Institutions
2022,Lower secondary education,70.54,4.9%,EU Institutions
2022,Upper Secondary Education (modified and includes data from 11322),68.87,4.8%,EU Institutions
2022,Early childhood education,34.84,2.4%,EU Institutions
2022,School feeding,19.72,1.4%,EU Institutions
2022,Basic life skills for adults,13.83,1.0%,EU Institutions
2022,Basic life skills for youth,10.58,0.7%,EU Institutions
2022,Teacher training,6.85,0.5%,EU Institutions
2022,Advanced technical and managerial training,3.43,0.2%,EU Institutions
2022,Educational research,2.06,0.1%,EU Institutions
2021,Education policy and administrative management,364.77,34.3%,EU Institutions
2021,Vocational training,182.11,17.1%,EU Institutions
2021,Higher education,140.33,13.2%,EU Institutions
2021,Education facilities and training,133.5,12.6%,EU Institutions
2021,Primary education,91.6,8.6%,EU Institutions
2021,Upper Secondary Education (modified and includes data from 11322),56.01,5.3%,EU Institutions
2021,Basic life skills for adults,51.55,4.8%,EU Institutions
2021,Advanced technical and managerial training,11.49,1.1%,EU Institutions
2021,Teacher training,10.11,1.0%,EU Institutions
2021,School feeding,9.95,0.9%,EU Institutions
2021,Early childhood education,4.85,0.5%,EU Institutions
2021,Basic life skills for youth,4.7,0.4%,EU Institutions
2021,Educational research,2.53,0.2%,EU Institutions
2021,Primary education equivalent for adults,0.08,0.0%,EU Institutions
2021,Lower secondary education,0.0,0.0%,EU Institutions
2020,Education policy and administrative management,676.34,43.4%,EU Institutions
2020,Primary education,219.81,14.1%,EU Institutions
2020,Higher education,198.19,12.7%,EU Institutions
2020,Vocational training,195.13,12.5%,EU Institutions
2020,Education facilities and training,108.03,6.9%,EU Institutions
2020,Upper Secondary Education (modified and includes data from 11322),60.49,3.9%,EU Institutions
2020,Basic life skills for adults,39.76,2.5%,EU Institutions
2020,Teacher training,34.62,2.2%,EU Institutions
2020,Early childhood education,16.15,1.0%,EU Institutions
2020,Educational research,5.25,0.3%,EU Institutions
2020,School feeding,2.74,0.2%,EU Institutions
2020,Advanced technical and managerial training,2.56,0.2%,EU Institutions
2020,Basic life skills for youth,0.09,0.0%,EU Institutions
2019,Education policy and administrative management,455.66,41.2%,EU Institutions
2019,Higher education,198.51,17.9%,EU Institutions
2019,Vocational training,152.3,13.8%,EU Institutions
2019,Education facilities and training,82.45,7.5%,EU Institutions
2019,Primary education,76.77,6.9%,EU Institutions
2019,Basic life skills for adults,59.15,5.3%,EU Institutions
2019,Upper Secondary Education (modified and includes data from 11322),33.96,3.1%,EU Institutions
2019,Teacher training,26.93,2.4%,EU Institutions
2019,Advanced technical and managerial training,8.59,0.8%,EU Institutions
2019,Early childhood education,8.33,0.8%,EU Institutions
2019,Educational research,3.57,0.3%,EU Institutions
