year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Education policy and administrative management,28.04,28.2%,Sweden
2023,Higher education,22.02,22.1%,Sweden
2023,Primary education,19.51,19.6%,Sweden
2023,Vocational training,8.24,8.3%,Sweden
2023,Education facilities and training,7.29,7.3%,Sweden
2023,Basic life skills for youth,5.11,5.1%,Sweden
2023,Upper Secondary Education (modified and includes data from 11322),3.2,3.2%,Sweden
2023,Teacher training,1.99,2.0%,Sweden
2023,Advanced technical and managerial training,1.92,1.9%,Sweden
2023,Early childhood education,0.75,0.8%,Sweden
2023,Lower secondary education,0.63,0.6%,Sweden
2023,Educational research,0.52,0.5%,Sweden
2023,Basic life skills for adults,0.23,0.2%,Sweden
2022,Primary education,31.45,31.7%,Sweden
2022,Higher education,27.19,27.4%,Sweden
2022,Education policy and administrative management,22.75,23.0%,Sweden
2022,Vocational training,7.23,7.3%,Sweden
2022,Upper Secondary Education (modified and includes data from 11322),3.22,3.2%,Sweden
2022,Teacher training,1.72,1.7%,Sweden
2022,Early childhood education,1.61,1.6%,Sweden
2022,Educational research,1.04,1.0%,Sweden
2022,Lower secondary education,0.7,0.7%,Sweden
2022,Basic life skills for adults,0.69,0.7%,Sweden
2022,Advanced technical and managerial training,0.69,0.7%,Sweden
2022,Education facilities and training,0.49,0.5%,Sweden
2022,Basic life skills for youth,0.31,0.3%,Sweden
2021,Primary education,57.67,50.5%,Sweden
2021,Higher education,29.0,25.4%,Sweden
2021,Education policy and administrative management,17.8,15.6%,Sweden
2021,Vocational training,5.62,4.9%,Sweden
2021,Basic life skills for youth,1.76,1.5%,Sweden
2021,Upper Secondary Education (modified and includes data from 11322),1.08,0.9%,Sweden
2021,Lower secondary education,0.46,0.4%,Sweden
2021,Basic life skills for adults,0.28,0.2%,Sweden
2021,Educational research,0.26,0.2%,Sweden
2021,Early childhood education,0.14,0.1%,Sweden
2021,Education facilities and training,0.02,0.0%,Sweden
2020,Primary education,66.96,46.6%,Sweden
2020,Education policy and administrative management,36.22,25.2%,Sweden
2020,Higher education,28.94,20.1%,Sweden
2020,Vocational training,4.48,3.1%,Sweden
2020,Basic life skills for youth,3.92,2.7%,Sweden
2020,Upper Secondary Education (modified and includes data from 11322),1.73,1.2%,Sweden
2020,Basic life skills for adults,0.51,0.4%,Sweden
2020,Advanced technical and managerial training,0.44,0.3%,Sweden
2020,Educational research,0.24,0.2%,Sweden
2020,Education facilities and training,0.24,0.2%,Sweden
2019,Primary education,65.95,45.2%,Sweden
2019,Education policy and administrative management,35.33,24.2%,Sweden
2019,Higher education,30.29,20.7%,Sweden
2019,Vocational training,6.68,4.6%,Sweden
2019,Basic life skills for adults,4.26,2.9%,Sweden
2019,Upper Secondary Education (modified and includes data from 11322),1.24,0.9%,Sweden
2019,Basic life skills for youth,1.1,0.8%,Sweden
2019,Advanced technical and managerial training,0.99,0.7%,Sweden
2019,Educational research,0.21,0.1%,Sweden
