Donor,ODA to Education as % of Total ODA,Year,Ranking
Hungary,38.93%,2022,1st
Portugal,14.49%,2022,2nd
Slovenia,13.13%,2022,3rd
Austria,12.34%,2022,4th
Luxembourg,8.99%,2022,5th
Germany,8.98%,2022,6th
France,8.95%,2022,7th
Italy,8.48%,2022,8th
Korea,8.24%,2022,9th
Belgium,7.47%,2022,10th
Australia,7.46%,2022,11th
Slovak Republic,7.41%,2022,12th
New Zealand,7.3%,2022,13th
Iceland,6.65%,2022,14th
Lithuania,5.73%,2022,15th
Poland,5.69%,2022,16th
Finland,5.61%,2022,17th
Greece,5.4%,2022,18th
Norway,5.21%,2022,19th
Spain,4.62%,2022,20th
Switzerland,4.48%,2022,21st
Denmark,4.25%,2022,22nd
Canada,3.8%,2022,23rd
Sweden,3.69%,2022,24th
Latvia,3.58%,2022,25th
United Kingdom,3.42%,2022,26th
Netherlands,3.14%,2022,27th
Japan,3.12%,2022,28th
Ireland,3.11%,2022,29th
Czechia,2.9%,2022,30th
Estonia,2.69%,2022,31st
United States,2.27%,2022,32nd
Hungary,39.3%,2023,1st
Slovenia,16.72%,2023,2nd
Austria,16.42%,2023,3rd
Portugal,15.66%,2023,4th
France,11.78%,2023,5th
Luxembourg,11.17%,2023,6th
Lithuania,11.13%,2023,7th
Estonia,8.33%,2023,8th
Germany,8.32%,2023,9th
Poland,8.3%,2023,10th
Korea,7.89%,2023,11th
New Zealand,7.79%,2023,12th
Slovak Republic,7.64%,2023,13th
Belgium,7.53%,2023,14th
Italy,7.34%,2023,15th
Australia,6.3%,2023,16th
Greece,6.07%,2023,17th
Spain,6.01%,2023,18th
Finland,5.78%,2023,19th
Iceland,5.0%,2023,20th
Canada,4.79%,2023,21st
Switzerland,4.38%,2023,22nd
Latvia,4.32%,2023,23rd
Norway,4.28%,2023,24th
Denmark,4.16%,2023,25th
Czechia,3.91%,2023,26th
Sweden,3.86%,2023,27th
United Kingdom,3.72%,2023,28th
Ireland,3.35%,2023,29th
Japan,3.1%,2023,30th
Netherlands,2.84%,2023,31st
United States,2.8%,2023,32nd
