year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Vocational training,29.35,51.4%,Luxembourg
2023,Education policy and administrative management,16.13,28.3%,Luxembourg
2023,Education facilities and training,2.49,4.4%,Luxembourg
2023,Basic life skills for adults,2.25,4.0%,Luxembourg
2023,Basic life skills for youth,1.82,3.2%,Luxembourg
2023,Primary education,1.33,2.3%,Luxembourg
2023,Higher education,1.15,2.0%,Luxembourg
2023,School feeding,1.08,1.9%,Luxembourg
2023,Upper Secondary Education (modified and includes data from 11322),0.54,0.9%,Luxembourg
2023,Teacher training,0.51,0.9%,Luxembourg
2023,Early childhood education,0.27,0.5%,Luxembourg
2023,Advanced technical and managerial training,0.11,0.2%,Luxembourg
2023,Educational research,0.01,0.0%,Luxembourg
2022,Vocational training,18.59,42.0%,Luxembourg
2022,Education policy and administrative management,14.21,32.1%,Luxembourg
2022,Education facilities and training,2.72,6.2%,Luxembourg
2022,Basic life skills for adults,2.27,5.1%,Luxembourg
2022,Higher education,1.75,4.0%,Luxembourg
2022,Primary education,1.54,3.5%,Luxembourg
2022,School feeding,1.18,2.7%,Luxembourg
2022,Teacher training,0.57,1.3%,Luxembourg
2022,Upper Secondary Education (modified and includes data from 11322),0.52,1.2%,Luxembourg
2022,Basic life skills for youth,0.51,1.1%,Luxembourg
2022,Early childhood education,0.34,0.8%,Luxembourg
2022,Advanced technical and managerial training,0.03,0.1%,Luxembourg
2022,Educational research,0.01,0.0%,Luxembourg
2021,Vocational training,24.84,47.0%,Luxembourg
2021,Education policy and administrative management,14.39,27.2%,Luxembourg
2021,Primary education,4.16,7.9%,Luxembourg
2021,Basic life skills for adults,3.23,6.1%,Luxembourg
2021,Education facilities and training,2.85,5.4%,Luxembourg
2021,Higher education,1.49,2.8%,Luxembourg
2021,Teacher training,1.09,2.1%,Luxembourg
2021,Early childhood education,0.24,0.5%,Luxembourg
2021,Upper Secondary Education (modified and includes data from 11322),0.21,0.4%,Luxembourg
2021,Educational research,0.16,0.3%,Luxembourg
2021,Basic life skills for youth,0.11,0.2%,Luxembourg
2021,Advanced technical and managerial training,0.09,0.2%,Luxembourg
2021,School feeding,0.01,0.0%,Luxembourg
2020,Vocational training,22.98,51.5%,Luxembourg
2020,Education policy and administrative management,7.85,17.6%,Luxembourg
2020,Basic life skills for adults,5.58,12.5%,Luxembourg
2020,Education facilities and training,2.74,6.1%,Luxembourg
2020,Primary education,2.62,5.9%,Luxembourg
2020,Higher education,1.04,2.3%,Luxembourg
2020,Teacher training,0.69,1.6%,Luxembourg
2020,Upper Secondary Education (modified and includes data from 11322),0.42,0.9%,Luxembourg
2020,Early childhood education,0.3,0.7%,Luxembourg
2020,Educational research,0.16,0.4%,Luxembourg
2020,Advanced technical and managerial training,0.16,0.4%,Luxembourg
2020,School feeding,0.05,0.1%,Luxembourg
2019,Vocational training,34.91,57.2%,Luxembourg
2019,Education policy and administrative management,8.89,14.6%,Luxembourg
2019,Primary education,5.96,9.8%,Luxembourg
2019,Basic life skills for adults,5.28,8.6%,Luxembourg
2019,Education facilities and training,3.41,5.6%,Luxembourg
2019,Higher education,1.1,1.8%,Luxembourg
2019,Teacher training,0.68,1.1%,Luxembourg
2019,Early childhood education,0.36,0.6%,Luxembourg
2019,Advanced technical and managerial training,0.26,0.4%,Luxembourg
2019,Educational research,0.15,0.2%,Luxembourg
2019,Upper Secondary Education (modified and includes data from 11322),0.03,0.0%,Luxembourg
