year,Sub-Sector,Bilateral ODA for,Share
2023,Higher education,5286.12,45.0%
2023,Education policy and administrative management,1644.95,14.0%
2023,Primary education,1631.39,13.9%
2023,Vocational training,990.45,8.4%
2023,Education facilities and training,709.22,6.0%
2023,Upper Secondary Education (modified and includes data from 11322),363.61,3.1%
2023,School feeding,328.05,2.8%
2023,Basic life skills for adults,177.35,1.5%
2023,Teacher training,171.85,1.5%
2023,Advanced technical and managerial training,169.16,1.4%
2023,Early childhood education,94.76,0.8%
2023,Basic life skills for youth,82.65,0.7%
2023,Educational research,45.11,0.4%
2023,Lower secondary education,35.72,0.3%
2023,Primary education equivalent for adults,5.69,0.0%
2022,Higher education,4975.38,42.3%
2022,Primary education,1665.32,14.2%
2022,Education policy and administrative management,1585.3,13.5%
2022,Vocational training,1118.15,9.5%
2022,Education facilities and training,848.36,7.2%
2022,Upper Secondary Education (modified and includes data from 11322),408.71,3.5%
2022,School feeding,279.34,2.4%
2022,Advanced technical and managerial training,224.22,1.9%
2022,Basic life skills for adults,205.1,1.7%
2022,Teacher training,153.35,1.3%
2022,Lower secondary education,97.63,0.8%
2022,Early childhood education,80.79,0.7%
2022,Basic life skills for youth,54.91,0.5%
2022,Educational research,52.7,0.4%
2022,Primary education equivalent for adults,4.11,0.0%
2021,Higher education,4660.95,41.2%
2021,Primary education,2029.6,18.0%
2021,Education policy and administrative management,1217.78,10.8%
2021,Vocational training,955.29,8.4%
2021,Education facilities and training,918.11,8.1%
2021,Upper Secondary Education (modified and includes data from 11322),448.78,4.0%
2021,School feeding,303.74,2.7%
2021,Basic life skills for adults,234.87,2.1%
2021,Advanced technical and managerial training,155.37,1.4%
2021,Teacher training,135.17,1.2%
2021,Early childhood education,97.09,0.9%
2021,Educational research,66.18,0.6%
2021,Lower secondary education,42.92,0.4%
2021,Basic life skills for youth,36.26,0.3%
2021,Primary education equivalent for adults,4.57,0.0%
2020,Higher education,4705.51,38.7%
2020,Primary education,2495.77,20.5%
2020,Education policy and administrative management,1497.13,12.3%
2020,Vocational training,1053.63,8.7%
2020,Education facilities and training,887.25,7.3%
2020,Upper Secondary Education (modified and includes data from 11322),522.87,4.3%
2020,School feeding,260.65,2.1%
2020,Teacher training,203.65,1.7%
2020,Basic life skills for adults,197.7,1.6%
2020,Advanced technical and managerial training,161.61,1.3%
2020,Educational research,67.39,0.6%
2020,Early childhood education,64.96,0.5%
2020,Basic life skills for youth,25.75,0.2%
2020,Lower secondary education,10.25,0.1%
2020,Primary education equivalent for adults,1.28,0.0%
2019,Higher education,4664.84,39.1%
2019,Primary education,2654.49,22.2%
2019,Education policy and administrative management,1278.07,10.7%
2019,Vocational training,1121.02,9.4%
2019,Education facilities and training,816.28,6.8%
2019,Upper Secondary Education (modified and includes data from 11322),493.78,4.1%
2019,Basic life skills for adults,234.22,2.0%
2019,Teacher training,202.36,1.7%
2019,Advanced technical and managerial training,151.25,1.3%
2019,School feeding,149.74,1.3%
2019,Educational research,66.97,0.6%
2019,Early childhood education,65.1,0.5%
2019,Lower secondary education,17.05,0.1%
2019,Basic life skills for youth,8.66,0.1%
2019,Primary education equivalent for adults,6.98,0.1%
