year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Higher education,140.59,97.8%,Poland
2023,Education facilities and training,1.05,0.7%,Poland
2023,Vocational training,0.96,0.7%,Poland
2023,Primary education,0.2,0.1%,Poland
2023,Education policy and administrative management,0.19,0.1%,Poland
2023,Teacher training,0.18,0.1%,Poland
2023,Early childhood education,0.17,0.1%,Poland
2023,Basic life skills for youth,0.1,0.1%,Poland
2023,Basic life skills for adults,0.09,0.1%,Poland
2023,Advanced technical and managerial training,0.05,0.0%,Poland
2023,Upper Secondary Education (modified and includes data from 11322),0.04,0.0%,Poland
2023,Primary education equivalent for adults,0.04,0.0%,Poland
2023,Lower secondary education,0.02,0.0%,Poland
2023,Educational research,0.01,0.0%,Poland
2023,School feeding,0.0,0.0%,Poland
2022,Higher education,153.62,98.0%,Poland
2022,Education facilities and training,1.01,0.6%,Poland
2022,Primary education,0.62,0.4%,Poland
2022,Vocational training,0.53,0.3%,Poland
2022,Education policy and administrative management,0.21,0.1%,Poland
2022,Basic life skills for youth,0.18,0.1%,Poland
2022,Early childhood education,0.16,0.1%,Poland
2022,Teacher training,0.14,0.1%,Poland
2022,School feeding,0.11,0.1%,Poland
2022,Basic life skills for adults,0.07,0.0%,Poland
2022,Upper Secondary Education (modified and includes data from 11322),0.06,0.0%,Poland
2022,Lower secondary education,0.01,0.0%,Poland
2021,Higher education,151.82,97.7%,Poland
2021,Basic life skills for youth,1.3,0.8%,Poland
2021,Education facilities and training,1.17,0.8%,Poland
2021,Vocational training,0.45,0.3%,Poland
2021,Primary education,0.19,0.1%,Poland
2021,Upper Secondary Education (modified and includes data from 11322),0.11,0.1%,Poland
2021,Basic life skills for adults,0.09,0.1%,Poland
2021,Teacher training,0.09,0.1%,Poland
2021,Early childhood education,0.07,0.0%,Poland
2021,Education policy and administrative management,0.07,0.0%,Poland
2021,School feeding,0.02,0.0%,Poland
2020,Higher education,149.3,97.7%,Poland
2020,Vocational training,1.51,1.0%,Poland
2020,Education facilities and training,1.08,0.7%,Poland
2020,Basic life skills for youth,0.54,0.4%,Poland
2020,Education policy and administrative management,0.24,0.2%,Poland
2020,Upper Secondary Education (modified and includes data from 11322),0.05,0.0%,Poland
2020,Basic life skills for adults,0.04,0.0%,Poland
2020,Teacher training,0.03,0.0%,Poland
2020,Early childhood education,0.01,0.0%,Poland
2019,Higher education,160.76,97.8%,Poland
2019,Education facilities and training,1.52,0.9%,Poland
2019,Basic life skills for adults,1.43,0.9%,Poland
2019,Education policy and administrative management,0.33,0.2%,Poland
2019,Teacher training,0.18,0.1%,Poland
2019,Vocational training,0.15,0.1%,Poland
2019,Early childhood education,0.03,0.0%,Poland
2019,School feeding,0.02,0.0%,Poland
2019,Upper Secondary Education (modified and includes data from 11322),0.02,0.0%,Poland
2019,Basic life skills for youth,0.01,0.0%,Poland
2019,Primary education,0.01,0.0%,Poland
