year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Higher education,2264.63,69.3%,Germany
2023,Vocational training,362.11,11.1%,Germany
2023,Education facilities and training,203.8,6.2%,Germany
2023,Primary education,157.32,4.8%,Germany
2023,Education policy and administrative management,112.6,3.4%,Germany
2023,Advanced technical and managerial training,44.88,1.4%,Germany
2023,Upper Secondary Education (modified and includes data from 11322),31.5,1.0%,Germany
2023,Basic life skills for adults,27.2,0.8%,Germany
2023,Early childhood education,18.81,0.6%,Germany
2023,Teacher training,18.07,0.6%,Germany
2023,Basic life skills for youth,16.38,0.5%,Germany
2023,Lower secondary education,5.02,0.2%,Germany
2023,School feeding,4.76,0.1%,Germany
2023,Educational research,0.94,0.0%,Germany
2023,Primary education equivalent for adults,0.0,0.0%,Germany
2022,Higher education,2150.54,61.2%,Germany
2022,Vocational training,583.33,16.6%,Germany
2022,Education facilities and training,265.43,7.6%,Germany
2022,Primary education,216.13,6.2%,Germany
2022,Education policy and administrative management,132.77,3.8%,Germany
2022,Advanced technical and managerial training,82.37,2.3%,Germany
2022,Upper Secondary Education (modified and includes data from 11322),23.85,0.7%,Germany
2022,Teacher training,23.4,0.7%,Germany
2022,Basic life skills for adults,15.29,0.4%,Germany
2022,Basic life skills for youth,10.84,0.3%,Germany
2022,Early childhood education,4.21,0.1%,Germany
2022,Lower secondary education,4.18,0.1%,Germany
2022,School feeding,1.57,0.0%,Germany
2022,Educational research,0.41,0.0%,Germany
2022,Primary education equivalent for adults,0.0,0.0%,Germany
2021,Higher education,2134.43,61.5%,Germany
2021,Vocational training,404.57,11.7%,Germany
2021,Education facilities and training,360.26,10.4%,Germany
2021,Primary education,227.87,6.6%,Germany
2021,Education policy and administrative management,204.99,5.9%,Germany
2021,Upper Secondary Education (modified and includes data from 11322),39.1,1.1%,Germany
2021,Advanced technical and managerial training,33.45,1.0%,Germany
2021,Basic life skills for adults,22.5,0.6%,Germany
2021,Lower secondary education,18.57,0.5%,Germany
2021,Teacher training,15.59,0.4%,Germany
2021,School feeding,4.85,0.1%,Germany
2021,Early childhood education,4.74,0.1%,Germany
2021,Basic life skills for youth,0.51,0.0%,Germany
2021,Educational research,0.17,0.0%,Germany
2020,Higher education,2084.24,60.4%,Germany
2020,Vocational training,409.34,11.9%,Germany
2020,Primary education,380.49,11.0%,Germany
2020,Education facilities and training,307.99,8.9%,Germany
2020,Education policy and administrative management,179.78,5.2%,Germany
2020,Advanced technical and managerial training,48.41,1.4%,Germany
2020,Basic life skills for adults,19.04,0.6%,Germany
2020,Teacher training,9.88,0.3%,Germany
2020,Upper Secondary Education (modified and includes data from 11322),8.56,0.2%,Germany
2020,Early childhood education,3.23,0.1%,Germany
2020,Basic life skills for youth,0.29,0.0%,Germany
2020,Educational research,0.27,0.0%,Germany
2020,Lower secondary education,0.19,0.0%,Germany
2020,School feeding,0.13,0.0%,Germany
2019,Higher education,1921.07,61.0%,Germany
2019,Vocational training,490.41,15.6%,Germany
2019,Education facilities and training,297.81,9.5%,Germany
2019,Primary education,261.05,8.3%,Germany
2019,Education policy and administrative management,102.85,3.3%,Germany
2019,Basic life skills for adults,22.61,0.7%,Germany
2019,Advanced technical and managerial training,21.34,0.7%,Germany
2019,Upper Secondary Education (modified and includes data from 11322),14.51,0.5%,Germany
2019,Teacher training,14.07,0.4%,Germany
2019,Early childhood education,2.09,0.1%,Germany
2019,Educational research,0.21,0.0%,Germany
2019,School feeding,0.08,0.0%,Germany
