year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Higher education,56.98,49.2%,Belgium
2023,Vocational training,21.26,18.4%,Belgium
2023,Primary education,15.07,13.0%,Belgium
2023,Teacher training,5.46,4.7%,Belgium
2023,Upper Secondary Education (modified and includes data from 11322),5.0,4.3%,Belgium
2023,Education facilities and training,4.7,4.1%,Belgium
2023,Basic life skills for youth,1.66,1.4%,Belgium
2023,Early childhood education,1.39,1.2%,Belgium
2023,Advanced technical and managerial training,1.2,1.0%,Belgium
2023,Education policy and administrative management,1.19,1.0%,Belgium
2023,Lower secondary education,1.17,1.0%,Belgium
2023,Basic life skills for adults,0.75,0.6%,Belgium
2022,Higher education,60.62,49.7%,Belgium
2022,Vocational training,24.3,19.9%,Belgium
2022,Primary education,14.05,11.5%,Belgium
2022,Upper Secondary Education (modified and includes data from 11322),9.52,7.8%,Belgium
2022,Teacher training,6.2,5.1%,Belgium
2022,Education facilities and training,3.59,2.9%,Belgium
2022,Basic life skills for youth,1.48,1.2%,Belgium
2022,Early childhood education,1.28,1.1%,Belgium
2022,Education policy and administrative management,0.7,0.6%,Belgium
2022,Advanced technical and managerial training,0.12,0.1%,Belgium
2022,Basic life skills for adults,0.06,0.0%,Belgium
2021,Higher education,57.1,47.6%,Belgium
2021,Vocational training,25.18,21.0%,Belgium
2021,Primary education,13.77,11.5%,Belgium
2021,Upper Secondary Education (modified and includes data from 11322),9.69,8.1%,Belgium
2021,Education facilities and training,4.75,4.0%,Belgium
2021,Teacher training,4.66,3.9%,Belgium
2021,Early childhood education,2.93,2.4%,Belgium
2021,Basic life skills for adults,1.53,1.3%,Belgium
2021,Education policy and administrative management,0.21,0.2%,Belgium
2020,Higher education,60.05,51.0%,Belgium
2020,Vocational training,21.91,18.6%,Belgium
2020,Primary education,12.95,11.0%,Belgium
2020,Upper Secondary Education (modified and includes data from 11322),9.21,7.8%,Belgium
2020,Teacher training,7.73,6.6%,Belgium
2020,Early childhood education,2.84,2.4%,Belgium
2020,Education facilities and training,2.13,1.8%,Belgium
2020,Basic life skills for adults,0.79,0.7%,Belgium
2020,Education policy and administrative management,0.22,0.2%,Belgium
2019,Higher education,58.36,45.6%,Belgium
2019,Vocational training,24.25,18.9%,Belgium
2019,Teacher training,14.0,10.9%,Belgium
2019,Primary education,12.58,9.8%,Belgium
2019,Upper Secondary Education (modified and includes data from 11322),10.47,8.2%,Belgium
2019,Education facilities and training,3.86,3.0%,Belgium
2019,Early childhood education,2.49,1.9%,Belgium
2019,Basic life skills for adults,1.39,1.1%,Belgium
2019,Education policy and administrative management,0.72,0.6%,Belgium
