year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Vocational training,53.33,30.5%,Switzerland
2023,Education policy and administrative management,34.79,19.9%,Switzerland
2023,Primary education,30.36,17.3%,Switzerland
2023,Higher education,12.1,6.9%,Switzerland
2023,Education facilities and training,9.32,5.3%,Switzerland
2023,Basic life skills for youth,7.72,4.4%,Switzerland
2023,Teacher training,7.5,4.3%,Switzerland
2023,Upper Secondary Education (modified and includes data from 11322),7.24,4.1%,Switzerland
2023,Basic life skills for adults,6.85,3.9%,Switzerland
2023,Advanced technical and managerial training,3.18,1.8%,Switzerland
2023,Educational research,1.03,0.6%,Switzerland
2023,School feeding,0.82,0.5%,Switzerland
2023,Early childhood education,0.65,0.4%,Switzerland
2023,Lower secondary education,0.15,0.1%,Switzerland
2023,Primary education equivalent for adults,0.03,0.0%,Switzerland
2022,Vocational training,58.51,33.1%,Switzerland
2022,Primary education,31.38,17.7%,Switzerland
2022,Education policy and administrative management,30.11,17.0%,Switzerland
2022,Education facilities and training,12.73,7.2%,Switzerland
2022,Higher education,12.52,7.1%,Switzerland
2022,Upper Secondary Education (modified and includes data from 11322),7.14,4.0%,Switzerland
2022,Basic life skills for adults,6.62,3.7%,Switzerland
2022,Basic life skills for youth,6.51,3.7%,Switzerland
2022,Teacher training,6.13,3.5%,Switzerland
2022,Advanced technical and managerial training,2.84,1.6%,Switzerland
2022,Educational research,0.9,0.5%,Switzerland
2022,School feeding,0.82,0.5%,Switzerland
2022,Early childhood education,0.62,0.3%,Switzerland
2022,Lower secondary education,0.08,0.0%,Switzerland
2022,Primary education equivalent for adults,0.02,0.0%,Switzerland
2021,Vocational training,53.08,30.2%,Switzerland
2021,Primary education,34.69,19.7%,Switzerland
2021,Education policy and administrative management,34.07,19.4%,Switzerland
2021,Education facilities and training,14.17,8.1%,Switzerland
2021,Higher education,11.66,6.6%,Switzerland
2021,Basic life skills for adults,8.98,5.1%,Switzerland
2021,Upper Secondary Education (modified and includes data from 11322),5.59,3.2%,Switzerland
2021,Teacher training,4.66,2.7%,Switzerland
2021,Basic life skills for youth,3.65,2.1%,Switzerland
2021,Advanced technical and managerial training,2.08,1.2%,Switzerland
2021,Early childhood education,1.1,0.6%,Switzerland
2021,School feeding,0.93,0.5%,Switzerland
2021,Educational research,0.82,0.5%,Switzerland
2021,Lower secondary education,0.15,0.1%,Switzerland
2021,Primary education equivalent for adults,0.02,0.0%,Switzerland
2020,Vocational training,48.13,29.1%,Switzerland
2020,Education policy and administrative management,33.93,20.5%,Switzerland
2020,Primary education,32.33,19.5%,Switzerland
2020,Higher education,14.76,8.9%,Switzerland
2020,Education facilities and training,13.58,8.2%,Switzerland
2020,Basic life skills for adults,7.46,4.5%,Switzerland
2020,Upper Secondary Education (modified and includes data from 11322),6.84,4.1%,Switzerland
2020,Teacher training,3.93,2.4%,Switzerland
2020,Advanced technical and managerial training,2.96,1.8%,Switzerland
2020,Early childhood education,0.56,0.3%,Switzerland
2020,Basic life skills for youth,0.53,0.3%,Switzerland
2020,School feeding,0.14,0.1%,Switzerland
2020,Lower secondary education,0.14,0.1%,Switzerland
2020,Primary education equivalent for adults,0.05,0.0%,Switzerland
2020,Educational research,0.02,0.0%,Switzerland
2019,Vocational training,47.51,30.1%,Switzerland
2019,Education policy and administrative management,33.08,20.9%,Switzerland
2019,Primary education,30.41,19.3%,Switzerland
2019,Higher education,15.97,10.1%,Switzerland
2019,Education facilities and training,9.2,5.8%,Switzerland
2019,Basic life skills for adults,8.75,5.5%,Switzerland
2019,Upper Secondary Education (modified and includes data from 11322),6.29,4.0%,Switzerland
2019,Teacher training,3.56,2.3%,Switzerland
2019,Advanced technical and managerial training,2.86,1.8%,Switzerland
2019,Early childhood education,0.23,0.1%,Switzerland
2019,School feeding,0.11,0.1%,Switzerland
