year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Higher education,4.8,66.6%,Czechia
2023,Education facilities and training,0.69,9.6%,Czechia
2023,Vocational training,0.53,7.4%,Czechia
2023,Teacher training,0.43,6.0%,Czechia
2023,Upper Secondary Education (modified and includes data from 11322),0.27,3.7%,Czechia
2023,Basic life skills for youth,0.26,3.7%,Czechia
2023,Education policy and administrative management,0.16,2.3%,Czechia
2023,Educational research,0.04,0.5%,Czechia
2023,Early childhood education,0.02,0.2%,Czechia
2022,Higher education,4.8,61.8%,Czechia
2022,Education facilities and training,1.39,17.8%,Czechia
2022,Vocational training,1.09,14.0%,Czechia
2022,Basic life skills for youth,0.24,3.1%,Czechia
2022,Education policy and administrative management,0.18,2.3%,Czechia
2022,Basic life skills for adults,0.04,0.5%,Czechia
2022,Primary education,0.04,0.5%,Czechia
2021,Higher education,5.28,66.5%,Czechia
2021,Vocational training,0.9,11.4%,Czechia
2021,Education policy and administrative management,0.8,10.1%,Czechia
2021,Education facilities and training,0.45,5.6%,Czechia
2021,Primary education,0.23,2.9%,Czechia
2021,Early childhood education,0.14,1.8%,Czechia
2021,Teacher training,0.06,0.8%,Czechia
2021,Upper Secondary Education (modified and includes data from 11322),0.03,0.3%,Czechia
2021,Advanced technical and managerial training,0.03,0.3%,Czechia
2021,Basic life skills for youth,0.02,0.3%,Czechia
2020,Higher education,7.94,71.4%,Czechia
2020,Education policy and administrative management,1.27,11.5%,Czechia
2020,Vocational training,0.76,6.8%,Czechia
2020,Education facilities and training,0.59,5.3%,Czechia
2020,Primary education,0.42,3.8%,Czechia
2020,Teacher training,0.14,1.2%,Czechia
2020,Advanced technical and managerial training,0.0,0.0%,Czechia
2020,Upper Secondary Education (modified and includes data from 11322),0.0,0.0%,Czechia
2019,Higher education,8.39,75.2%,Czechia
2019,Education facilities and training,1.05,9.4%,Czechia
2019,Primary education,0.51,4.6%,Czechia
2019,Vocational training,0.4,3.6%,Czechia
2019,Education policy and administrative management,0.31,2.8%,Czechia
2019,Early childhood education,0.24,2.2%,Czechia
2019,Upper Secondary Education (modified and includes data from 11322),0.18,1.6%,Czechia
2019,Advanced technical and managerial training,0.04,0.3%,Czechia
2019,Basic life skills for youth,0.03,0.2%,Czechia
2019,Basic life skills for adults,0.02,0.1%,Czechia
