year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Education policy and administrative management,11.29,20.6%,Finland
2023,Primary education,10.72,19.5%,Finland
2023,Teacher training,6.26,11.4%,Finland
2023,Vocational training,5.66,10.3%,Finland
2023,School feeding,4.66,8.5%,Finland
2023,Higher education,4.11,7.5%,Finland
2023,Basic life skills for adults,3.33,6.1%,Finland
2023,Upper Secondary Education (modified and includes data from 11322),3.11,5.7%,Finland
2023,Education facilities and training,2.47,4.5%,Finland
2023,Early childhood education,1.21,2.2%,Finland
2023,Advanced technical and managerial training,0.72,1.3%,Finland
2023,Lower secondary education,0.59,1.1%,Finland
2023,Basic life skills for youth,0.55,1.0%,Finland
2023,Educational research,0.24,0.4%,Finland
2022,Primary education,21.83,35.8%,Finland
2022,Education policy and administrative management,11.74,19.3%,Finland
2022,Teacher training,6.21,10.2%,Finland
2022,Basic life skills for adults,4.28,7.0%,Finland
2022,Upper Secondary Education (modified and includes data from 11322),3.92,6.4%,Finland
2022,Vocational training,3.72,6.1%,Finland
2022,Higher education,2.9,4.8%,Finland
2022,Education facilities and training,2.76,4.5%,Finland
2022,School feeding,2.05,3.4%,Finland
2022,Early childhood education,0.8,1.3%,Finland
2022,Basic life skills for youth,0.34,0.6%,Finland
2022,Advanced technical and managerial training,0.29,0.5%,Finland
2022,Educational research,0.1,0.2%,Finland
2021,Primary education,33.17,33.2%,Finland
2021,Education policy and administrative management,29.87,29.9%,Finland
2021,Teacher training,7.72,7.7%,Finland
2021,School feeding,5.95,6.0%,Finland
2021,Upper Secondary Education (modified and includes data from 11322),5.81,5.8%,Finland
2021,Vocational training,5.14,5.1%,Finland
2021,Basic life skills for adults,4.72,4.7%,Finland
2021,Education facilities and training,2.76,2.8%,Finland
2021,Higher education,2.27,2.3%,Finland
2021,Basic life skills for youth,1.33,1.3%,Finland
2021,Advanced technical and managerial training,0.59,0.6%,Finland
2021,Early childhood education,0.48,0.5%,Finland
2021,Educational research,0.12,0.1%,Finland
2020,Education policy and administrative management,24.14,33.7%,Finland
2020,Primary education,16.84,23.5%,Finland
2020,Teacher training,8.7,12.2%,Finland
2020,Upper Secondary Education (modified and includes data from 11322),7.45,10.4%,Finland
2020,Basic life skills for adults,4.67,6.5%,Finland
2020,Vocational training,4.22,5.9%,Finland
2020,Education facilities and training,2.21,3.1%,Finland
2020,Higher education,1.7,2.4%,Finland
2020,Advanced technical and managerial training,0.8,1.1%,Finland
2020,Early childhood education,0.69,1.0%,Finland
2020,Educational research,0.19,0.3%,Finland
2019,Primary education,17.88,31.1%,Finland
2019,Education policy and administrative management,11.83,20.6%,Finland
2019,Teacher training,7.81,13.6%,Finland
2019,Basic life skills for adults,4.35,7.6%,Finland
2019,Education facilities and training,3.85,6.7%,Finland
2019,Educational research,3.33,5.8%,Finland
2019,Vocational training,3.13,5.4%,Finland
2019,Higher education,1.97,3.4%,Finland
2019,Upper Secondary Education (modified and includes data from 11322),1.55,2.7%,Finland
2019,Advanced technical and managerial training,1.19,2.1%,Finland
2019,Early childhood education,0.53,0.9%,Finland
