year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Higher education,122.95,29.5%,United Kingdom
2023,Primary education,87.97,21.1%,United Kingdom
2023,Education policy and administrative management,71.08,17.1%,United Kingdom
2023,Upper Secondary Education (modified and includes data from 11322),33.52,8.1%,United Kingdom
2023,Educational research,23.21,5.6%,United Kingdom
2023,Teacher training,20.93,5.0%,United Kingdom
2023,Vocational training,13.89,3.3%,United Kingdom
2023,Education facilities and training,12.52,3.0%,United Kingdom
2023,Advanced technical and managerial training,10.63,2.6%,United Kingdom
2023,Basic life skills for adults,10.45,2.5%,United Kingdom
2023,Early childhood education,7.66,1.8%,United Kingdom
2023,Basic life skills for youth,1.28,0.3%,United Kingdom
2023,Lower secondary education,0.05,0.0%,United Kingdom
2022,Primary education,110.96,23.2%,United Kingdom
2022,Higher education,110.52,23.1%,United Kingdom
2022,Education policy and administrative management,92.03,19.2%,United Kingdom
2022,Upper Secondary Education (modified and includes data from 11322),43.23,9.0%,United Kingdom
2022,Educational research,29.24,6.1%,United Kingdom
2022,Vocational training,22.41,4.7%,United Kingdom
2022,Education facilities and training,21.69,4.5%,United Kingdom
2022,Teacher training,21.2,4.4%,United Kingdom
2022,Basic life skills for adults,14.98,3.1%,United Kingdom
2022,Advanced technical and managerial training,9.03,1.9%,United Kingdom
2022,Early childhood education,3.49,0.7%,United Kingdom
2022,Lower secondary education,0.03,0.0%,United Kingdom
2021,Education policy and administrative management,146.33,22.7%,United Kingdom
2021,Higher education,140.17,21.7%,United Kingdom
2021,Primary education,119.91,18.6%,United Kingdom
2021,Education facilities and training,79.74,12.4%,United Kingdom
2021,Upper Secondary Education (modified and includes data from 11322),61.16,9.5%,United Kingdom
2021,Educational research,34.47,5.3%,United Kingdom
2021,Teacher training,20.14,3.1%,United Kingdom
2021,Vocational training,15.18,2.4%,United Kingdom
2021,Basic life skills for adults,13.48,2.1%,United Kingdom
2021,Advanced technical and managerial training,12.0,1.9%,United Kingdom
2021,Early childhood education,2.02,0.3%,United Kingdom
2021,Basic life skills for youth,0.06,0.0%,United Kingdom
2020,Primary education,191.22,24.9%,United Kingdom
2020,Education policy and administrative management,120.54,15.7%,United Kingdom
2020,Education facilities and training,109.93,14.3%,United Kingdom
2020,Higher education,107.9,14.0%,United Kingdom
2020,Upper Secondary Education (modified and includes data from 11322),99.95,13.0%,United Kingdom
2020,Educational research,38.59,5.0%,United Kingdom
2020,Vocational training,36.1,4.7%,United Kingdom
2020,Teacher training,32.71,4.3%,United Kingdom
2020,Advanced technical and managerial training,18.1,2.4%,United Kingdom
2020,Basic life skills for adults,7.19,0.9%,United Kingdom
2020,Early childhood education,6.07,0.8%,United Kingdom
2020,Basic life skills for youth,0.1,0.0%,United Kingdom
2019,Primary education,465.49,39.7%,United Kingdom
2019,Education policy and administrative management,188.2,16.0%,United Kingdom
2019,Higher education,159.12,13.6%,United Kingdom
2019,Upper Secondary Education (modified and includes data from 11322),128.55,11.0%,United Kingdom
2019,Vocational training,55.87,4.8%,United Kingdom
2019,Education facilities and training,54.31,4.6%,United Kingdom
2019,Educational research,41.48,3.5%,United Kingdom
2019,Teacher training,33.08,2.8%,United Kingdom
2019,Advanced technical and managerial training,24.5,2.1%,United Kingdom
2019,Early childhood education,12.36,1.1%,United Kingdom
2019,Basic life skills for adults,9.55,0.8%,United Kingdom
2019,Basic life skills for youth,0.12,0.0%,United Kingdom
