year,Sector,Gender-related ODA to,Share,Donor
2023,Emergency Response,150.45,26.0%,Belgium
2020,Emergency Response,140.22,21.0%,Belgium
2019,"Agriculture (incl. forestry, fishing, rural development)",108.29,17.0%,Belgium
2020,"Agriculture (incl. forestry, fishing, rural development)",106.15,16.0%,Belgium
2019,Emergency Response,103.5,17.0%,Belgium
2022,Health & populations,95.75,18.0%,Belgium
2021,Health & populations,91.91,16.0%,Belgium
2020,Health & populations,91.04,14.0%,Belgium
2021,"Agriculture (incl. forestry, fishing, rural development)",89.63,15.0%,Belgium
2023,Health & populations,87.55,15.0%,Belgium
2022,Emergency Response,84.8,16.0%,Belgium
2022,"Agriculture (incl. forestry, fishing, rural development)",83.14,15.0%,Belgium
2019,Health & populations,83.08,13.0%,Belgium
2021,Emergency Response,82.71,14.0%,Belgium
2023,"Agriculture (incl. forestry, fishing, rural development)",79.39,14.0%,Belgium
2020,Education,75.37,12.0%,Belgium
2021,Education,73.27,12.0%,Belgium
2019,Education,65.43,10.0%,Belgium
2019,Financial services & business support,58.49,9.0%,Belgium
2021,Government & civil society,54.98,9.0%,Belgium
2020,Government & civil society,53.54,8.0%,Belgium
2022,Education,49.64,9.0%,Belgium
2019,Government & civil society,48.43,8.0%,Belgium
2023,Other social services,47.19,8.0%,Belgium
2023,Education,46.53,8.0%,Belgium
2021,Environmental protection,45.6,8.0%,Belgium
2022,Government & civil society,43.51,8.0%,Belgium
2022,Other social services,42.68,8.0%,Belgium
2023,Government & civil society,41.7,7.0%,Belgium
2020,"Industry, construction & mining",40.6,6.0%,Belgium
2023,Other multisector,40.06,7.0%,Belgium
2019,Environmental protection,37.35,6.0%,Belgium
2021,Other social services,36.8,6.0%,Belgium
2020,Environmental protection,32.46,5.0%,Belgium
2022,Financial services & business support,32.29,6.0%,Belgium
2021,Financial services & business support,31.3,5.0%,Belgium
2020,Unspecified,29.81,5.0%,Belgium
2023,Unspecified,29.41,5.0%,Belgium
2021,Unspecified,28.32,5.0%,Belgium
2022,Other multisector,28.3,5.0%,Belgium
2022,Unspecified,27.64,5.0%,Belgium
2023,Financial services & business support,24.17,4.0%,Belgium
2019,Water and sanitation,22.91,4.0%,Belgium
2021,Water and sanitation,22.83,4.0%,Belgium
2019,Unspecified,22.42,4.0%,Belgium
2020,Financial services & business support,21.69,3.0%,Belgium
2023,Environmental protection,19.43,3.0%,Belgium
2021,Other multisector,18.77,3.0%,Belgium
2022,Water and sanitation,18.48,3.0%,Belgium
2020,Other social services,17.96,3.0%,Belgium
2019,Other multisector,17.17,3.0%,Belgium
2022,Environmental protection,16.18,3.0%,Belgium
2019,"Industry, construction & mining",15.19,2.0%,Belgium
2019,Other social services,14.83,2.0%,Belgium
2020,Water and sanitation,14.54,2.0%,Belgium
2020,Other multisector,13.55,2.0%,Belgium
2022,Reconstruction Relief & Rehabilitation,11.68,2.0%,Belgium
2023,Water and sanitation,10.48,2.0%,Belgium
2020,Disaster Prevention & Preparedness,10.44,2.0%,Belgium
2019,Infrastructure,6.39,1.0%,Belgium
2021,Reconstruction Relief & Rehabilitation,6.08,1.0%,Belgium
2019,Energy,5.56,1.0%,Belgium
2019,Disaster Prevention & Preparedness,4.79,1.0%,Belgium
2019,"Conflict, peace & security",4.13,1.0%,Belgium
2020,Infrastructure,4.0,1.0%,Belgium
2019,Reconstruction Relief & Rehabilitation,3.95,1.0%,Belgium
2023,Reconstruction Relief & Rehabilitation,3.37,1.0%,Belgium
2020,Trade policy,2.55,0.0%,Belgium
2021,Trade policy,2.51,0.0%,Belgium
2022,Trade policy,2.51,0.0%,Belgium
2021,Disaster Prevention & Preparedness,2.23,0.0%,Belgium
2023,"Conflict, peace & security",2.14,0.0%,Belgium
2019,Trade policy,2.1,0.0%,Belgium
2021,"Conflict, peace & security",1.6,0.0%,Belgium
2022,"Industry, construction & mining",1.45,0.0%,Belgium
2023,"Industry, construction & mining",1.45,0.0%,Belgium
2021,Infrastructure,1.41,0.0%,Belgium
2022,"Conflict, peace & security",1.15,0.0%,Belgium
2020,Reconstruction Relief & Rehabilitation,0.74,0.0%,Belgium
2022,Disaster Prevention & Preparedness,0.7,0.0%,Belgium
2020,Energy,0.55,0.0%,Belgium
2023,Disaster Prevention & Preparedness,0.48,0.0%,Belgium
2022,Infrastructure,0.43,0.0%,Belgium
2023,Infrastructure,0.38,0.0%,Belgium
2021,"Industry, construction & mining",0.26,0.0%,Belgium
2020,"Conflict, peace & security",0.2,0.0%,Belgium
2023,Energy,0.16,0.0%,Belgium
2023,Trade policy,0.05,0.0%,Belgium
2022,Energy,0.01,0.0%,Belgium
