year,Sector,Gender-related ODA to,Share,Donor
2021,Financial services & business support,1.05,50.0%,Estonia
2023,Education,0.95,63.0%,Estonia
2022,Education,0.65,61.0%,Estonia
2020,Emergency Response,0.59,36.0%,Estonia
2021,Emergency Response,0.5,24.0%,Estonia
2019,Financial services & business support,0.49,40.0%,Estonia
2019,Government & civil society,0.41,33.0%,Estonia
2020,Financial services & business support,0.37,23.0%,Estonia
2020,Government & civil society,0.36,22.0%,Estonia
2021,Government & civil society,0.26,12.0%,Estonia
2021,Health & populations,0.22,10.0%,Estonia
2020,Health & populations,0.17,11.0%,Estonia
2023,Emergency Response,0.14,9.0%,Estonia
2022,Emergency Response,0.14,13.0%,Estonia
2023,Government & civil society,0.12,8.0%,Estonia
2019,Emergency Response,0.11,9.0%,Estonia
2023,"Agriculture (incl. forestry, fishing, rural development)",0.11,7.0%,Estonia
2022,"Agriculture (incl. forestry, fishing, rural development)",0.09,9.0%,Estonia
2019,Education,0.08,6.0%,Estonia
2023,Other multisector,0.08,5.0%,Estonia
2023,"Industry, construction & mining",0.08,6.0%,Estonia
2020,Education,0.08,5.0%,Estonia
2019,"Industry, construction & mining",0.06,5.0%,Estonia
2022,Financial services & business support,0.06,5.0%,Estonia
2022,Government & civil society,0.06,5.0%,Estonia
2019,Health & populations,0.05,4.0%,Estonia
2019,Tourism,0.03,2.0%,Estonia
2020,Unspecified,0.03,2.0%,Estonia
2020,"Conflict, peace & security",0.03,2.0%,Estonia
2022,"Industry, construction & mining",0.03,3.0%,Estonia
2021,Donor administration costs,0.03,2.0%,Estonia
2022,Health & populations,0.02,2.0%,Estonia
2021,Unspecified,0.02,1.0%,Estonia
2019,Infrastructure,0.01,1.0%,Estonia
2023,Health & populations,0.01,1.0%,Estonia
2023,Financial services & business support,0.01,1.0%,Estonia
2022,Unspecified,0.01,1.0%,Estonia
2021,Education,0.01,1.0%,Estonia
