year,Sector,Gender-related ODA to,Share,Donor
2022,Health & populations,1957.06,15.0%,Germany
2022,Other multisector,1860.36,14.0%,Germany
2022,"Agriculture (incl. forestry, fishing, rural development)",1835.74,14.0%,Germany
2021,Government & civil society,1791.09,17.0%,Germany
2022,Government & civil society,1668.54,13.0%,Germany
2020,Government & civil society,1647.77,17.0%,Germany
2022,Other social services,1568.85,12.0%,Germany
2020,Other social services,1483.3,15.0%,Germany
2019,Government & civil society,1366.03,17.0%,Germany
2023,Government & civil society,1363.46,13.0%,Germany
2021,Other social services,1308.54,12.0%,Germany
2020,"Agriculture (incl. forestry, fishing, rural development)",1206.92,12.0%,Germany
2021,Health & populations,1140.76,11.0%,Germany
2023,Emergency Response,1140.57,11.0%,Germany
2022,Education,1123.19,9.0%,Germany
2023,Other social services,1118.12,11.0%,Germany
2021,Education,1105.02,10.0%,Germany
2021,"Agriculture (incl. forestry, fishing, rural development)",1074.97,10.0%,Germany
2023,"Agriculture (incl. forestry, fishing, rural development)",1060.18,10.0%,Germany
2020,Education,1058.16,11.0%,Germany
2023,Education,922.83,9.0%,Germany
2019,Education,922.5,12.0%,Germany
2020,Health & populations,840.96,9.0%,Germany
2021,"Conflict, peace & security",785.75,7.0%,Germany
2019,"Agriculture (incl. forestry, fishing, rural development)",774.07,10.0%,Germany
2021,Other multisector,752.59,7.0%,Germany
2023,Health & populations,736.8,7.0%,Germany
2020,"Conflict, peace & security",701.36,7.0%,Germany
2019,Health & populations,657.15,8.0%,Germany
2023,"Conflict, peace & security",601.33,6.0%,Germany
2023,Other multisector,591.01,6.0%,Germany
2019,Other social services,586.94,7.0%,Germany
2022,"Conflict, peace & security",586.81,4.0%,Germany
2021,Financial services & business support,551.0,5.0%,Germany
2023,Energy,546.04,5.0%,Germany
2020,Water and sanitation,517.96,5.0%,Germany
2019,Other multisector,500.34,6.0%,Germany
2023,Environmental protection,480.63,5.0%,Germany
2019,"Conflict, peace & security",479.95,6.0%,Germany
2020,Financial services & business support,479.02,5.0%,Germany
2023,Water and sanitation,474.05,5.0%,Germany
2022,Food aid and commodity assistance,473.8,4.0%,Germany
2021,Environmental protection,469.45,4.0%,Germany
2020,Other multisector,460.03,5.0%,Germany
2021,Water and sanitation,449.9,4.0%,Germany
2023,Financial services & business support,445.94,4.0%,Germany
2019,Financial services & business support,436.46,5.0%,Germany
2022,Financial services & business support,433.73,3.0%,Germany
2022,Environmental protection,430.18,3.0%,Germany
2021,Food aid and commodity assistance,409.09,4.0%,Germany
2022,Water and sanitation,405.09,3.0%,Germany
2019,Reconstruction Relief & Rehabilitation,403.64,5.0%,Germany
2019,Environmental protection,401.31,5.0%,Germany
2020,Food aid and commodity assistance,396.18,4.0%,Germany
2019,Water and sanitation,370.1,5.0%,Germany
2020,Environmental protection,335.99,3.0%,Germany
2021,"Industry, construction & mining",330.01,3.0%,Germany
2019,Food aid and commodity assistance,323.4,4.0%,Germany
2019,"Industry, construction & mining",303.59,4.0%,Germany
2022,"Industry, construction & mining",241.62,2.0%,Germany
2023,Food aid and commodity assistance,223.75,2.0%,Germany
2023,"Industry, construction & mining",215.37,2.0%,Germany
2020,Reconstruction Relief & Rehabilitation,197.83,2.0%,Germany
2019,Emergency Response,150.6,2.0%,Germany
2020,"Industry, construction & mining",142.85,1.0%,Germany
2023,Infrastructure,139.64,1.0%,Germany
2021,Reconstruction Relief & Rehabilitation,136.82,1.0%,Germany
2019,Energy,126.8,2.0%,Germany
2021,Energy,126.48,1.0%,Germany
2022,Energy,124.87,1.0%,Germany
2020,Energy,119.97,1.0%,Germany
2022,Infrastructure,116.61,1.0%,Germany
2021,Infrastructure,99.76,1.0%,Germany
2019,Infrastructure,79.42,1.0%,Germany
2022,Reconstruction Relief & Rehabilitation,71.41,1.0%,Germany
2020,Infrastructure,68.79,1.0%,Germany
2022,Trade policy,59.83,0.0%,Germany
2021,Trade policy,58.84,1.0%,Germany
2019,Unspecified,58.53,1.0%,Germany
2023,Trade policy,55.36,1.0%,Germany
2021,Unspecified,55.08,1.0%,Germany
2020,Emergency Response,53.54,1.0%,Germany
2020,Unspecified,51.76,1.0%,Germany
2022,Emergency Response,50.06,0.0%,Germany
2022,Unspecified,48.66,0.0%,Germany
2023,Unspecified,43.14,0.0%,Germany
2023,Reconstruction Relief & Rehabilitation,40.11,0.0%,Germany
2020,Trade policy,32.21,0.0%,Germany
2022,,28.94,0.0%,Germany
2023,,28.71,0.0%,Germany
2019,Trade policy,27.39,0.0%,Germany
2021,Emergency Response,25.36,0.0%,Germany
2019,Disaster Prevention & Preparedness,21.71,0.0%,Germany
2023,Disaster Prevention & Preparedness,19.04,0.0%,Germany
2020,Disaster Prevention & Preparedness,16.07,0.0%,Germany
2021,,8.18,0.0%,Germany
2022,Disaster Prevention & Preparedness,7.88,0.0%,Germany
2023,Tourism,6.25,0.0%,Germany
2022,Tourism,5.11,0.0%,Germany
2021,Disaster Prevention & Preparedness,3.56,0.0%,Germany
2021,Tourism,2.81,0.0%,Germany
2020,Tourism,0.89,0.0%,Germany
2019,Tourism,0.08,0.0%,Germany
2019,,0.07,0.0%,Germany
2021,General budget support,0.01,0.0%,Germany
2022,General budget support,0.0,0.0%,Germany
2023,General budget support,0.0,0.0%,Germany
2020,General budget support,0.0,0.0%,Germany
2019,General budget support,0.0,0.0%,Germany
