Donor,total_perc,Rank
Netherlands,79.90%,1st
Iceland,68.40%,2nd
Sweden,67.40%,3rd
Switzerland,63.50%,4th
Canada,61.70%,5th
Ireland,60.80%,6th
United Kingdom,56.50%,7th
Belgium,55.50%,8th
Finland,53.50%,9th
New Zealand,48.40%,10th
Germany,47.90%,11th
EU Institutions,46.50%,12th
Australia,46.50%,13th
Japan,43.00%,14th
Spain,42.90%,15th
Austria,40.80%,16th
Norway,39.10%,17th
Luxembourg,35.30%,18th
Denmark,34.00%,19th
Portugal,28.30%,20th
France,26.30%,21st
Italy,20.70%,22nd
Korea,18.40%,23rd
United States,15.20%,24th
Slovak Republic,12.90%,25th
Slovenia,12.50%,26th
Czechia,8.90%,27th
Estonia,7.70%,28th
Lithuania,7.50%,29th
Hungary,7.40%,30th
Poland,2.50%,31st
Greece,0.00%,32nd
