year,Sector,Gender-related ODA to,Share,Donor
2020,Emergency Response,1500.59,20.0%,United Kingdom
2020,Health & populations,1343.03,17.0%,United Kingdom
2019,Financial services & business support,1280.72,15.0%,United Kingdom
2019,Emergency Response,1227.55,14.0%,United Kingdom
2019,Health & populations,1183.34,14.0%,United Kingdom
2022,Emergency Response,1018.92,25.0%,United Kingdom
2019,Education,860.58,10.0%,United Kingdom
2019,Government & civil society,842.15,10.0%,United Kingdom
2020,Financial services & business support,812.22,11.0%,United Kingdom
2021,Emergency Response,690.67,15.0%,United Kingdom
2021,Financial services & business support,650.55,14.0%,United Kingdom
2020,Government & civil society,624.25,8.0%,United Kingdom
2021,Health & populations,595.91,13.0%,United Kingdom
2022,Health & populations,575.12,14.0%,United Kingdom
2020,Education,573.77,7.0%,United Kingdom
2019,"Industry, construction & mining",536.67,6.0%,United Kingdom
2019,Donor administration costs,503.13,6.0%,United Kingdom
2019,Other multisector,492.9,6.0%,United Kingdom
2021,Education,484.45,11.0%,United Kingdom
2020,Donor administration costs,471.14,6.0%,United Kingdom
2019,"Conflict, peace & security",459.24,5.0%,United Kingdom
2023,Health & populations,448.96,15.0%,United Kingdom
2020,Other multisector,418.16,5.0%,United Kingdom
2022,Government & civil society,415.81,10.0%,United Kingdom
2023,Emergency Response,400.21,13.0%,United Kingdom
2020,"Industry, construction & mining",378.81,5.0%,United Kingdom
2021,Government & civil society,372.61,8.0%,United Kingdom
2022,Education,353.18,9.0%,United Kingdom
2020,"Conflict, peace & security",345.86,4.0%,United Kingdom
2023,Government & civil society,315.85,11.0%,United Kingdom
2021,"Conflict, peace & security",305.1,7.0%,United Kingdom
2021,Other multisector,299.13,7.0%,United Kingdom
2021,"Industry, construction & mining",291.92,7.0%,United Kingdom
2022,Financial services & business support,266.27,6.0%,United Kingdom
2020,Other social services,260.21,3.0%,United Kingdom
2019,Other social services,258.88,3.0%,United Kingdom
2022,Other multisector,256.14,6.0%,United Kingdom
2023,"Agriculture (incl. forestry, fishing, rural development)",253.42,8.0%,United Kingdom
2023,Energy,226.51,8.0%,United Kingdom
2020,"Agriculture (incl. forestry, fishing, rural development)",200.3,3.0%,United Kingdom
2023,"Conflict, peace & security",195.05,7.0%,United Kingdom
2022,Environmental protection,191.94,5.0%,United Kingdom
2023,Education,186.91,6.0%,United Kingdom
2023,Environmental protection,185.82,6.0%,United Kingdom
2022,"Conflict, peace & security",180.79,4.0%,United Kingdom
2019,"Agriculture (incl. forestry, fishing, rural development)",164.26,2.0%,United Kingdom
2023,"Industry, construction & mining",152.68,5.0%,United Kingdom
2019,Water and sanitation,152.65,2.0%,United Kingdom
2019,Environmental protection,152.11,2.0%,United Kingdom
2020,Infrastructure,134.35,2.0%,United Kingdom
2022,"Industry, construction & mining",128.03,3.0%,United Kingdom
2022,Energy,126.01,3.0%,United Kingdom
2021,Other social services,125.8,3.0%,United Kingdom
2023,Other multisector,124.67,4.0%,United Kingdom
2021,Environmental protection,120.38,3.0%,United Kingdom
2022,"Agriculture (incl. forestry, fishing, rural development)",115.07,3.0%,United Kingdom
2020,Energy,111.12,1.0%,United Kingdom
2021,Energy,110.62,2.0%,United Kingdom
2019,Disaster Prevention & Preparedness,107.29,1.0%,United Kingdom
2022,Infrastructure,105.92,3.0%,United Kingdom
2019,Energy,105.83,1.0%,United Kingdom
2020,Disaster Prevention & Preparedness,101.38,1.0%,United Kingdom
2020,Environmental protection,97.75,1.0%,United Kingdom
2022,Other social services,94.81,2.0%,United Kingdom
2023,Other social services,92.87,3.0%,United Kingdom
2023,Unspecified,92.17,3.0%,United Kingdom
2019,Food aid and commodity assistance,90.54,1.0%,United Kingdom
2021,Infrastructure,88.66,2.0%,United Kingdom
2020,Food aid and commodity assistance,78.76,1.0%,United Kingdom
2021,"Agriculture (incl. forestry, fishing, rural development)",75.65,2.0%,United Kingdom
2021,Water and sanitation,75.48,2.0%,United Kingdom
2020,Water and sanitation,75.44,1.0%,United Kingdom
2019,Trade policy,72.59,1.0%,United Kingdom
2020,Trade policy,67.77,1.0%,United Kingdom
2022,Disaster Prevention & Preparedness,66.75,2.0%,United Kingdom
2021,Disaster Prevention & Preparedness,66.41,1.0%,United Kingdom
2023,Food aid and commodity assistance,64.24,2.0%,United Kingdom
2019,Infrastructure,59.38,1.0%,United Kingdom
2023,Financial services & business support,57.94,2.0%,United Kingdom
2022,Food aid and commodity assistance,55.52,1.0%,United Kingdom
2020,Reconstruction Relief & Rehabilitation,46.36,1.0%,United Kingdom
2019,Unspecified,43.53,1.0%,United Kingdom
2023,Infrastructure,43.04,1.0%,United Kingdom
2022,Water and sanitation,42.2,1.0%,United Kingdom
2023,Reconstruction Relief & Rehabilitation,40.95,1.0%,United Kingdom
2019,Reconstruction Relief & Rehabilitation,39.69,0.0%,United Kingdom
2021,Trade policy,35.42,1.0%,United Kingdom
2020,Unspecified,32.87,0.0%,United Kingdom
2023,Disaster Prevention & Preparedness,31.95,1.0%,United Kingdom
2021,Donor administration costs,31.3,1.0%,United Kingdom
2023,Water and sanitation,30.52,1.0%,United Kingdom
2021,Reconstruction Relief & Rehabilitation,29.05,1.0%,United Kingdom
2022,Donor administration costs,27.44,1.0%,United Kingdom
2022,Reconstruction Relief & Rehabilitation,27.2,1.0%,United Kingdom
2022,Unspecified,26.8,1.0%,United Kingdom
2023,Refugees in donor countries,23.27,1.0%,United Kingdom
2021,Food aid and commodity assistance,20.81,0.0%,United Kingdom
2022,Refugees in donor countries,16.4,0.0%,United Kingdom
2022,Trade policy,15.6,0.0%,United Kingdom
2021,Refugees in donor countries,15.47,0.0%,United Kingdom
2023,Trade policy,14.44,0.0%,United Kingdom
2020,Refugees in donor countries,14.33,0.0%,United Kingdom
2019,Refugees in donor countries,9.8,0.0%,United Kingdom
2023,General budget support,5.62,0.0%,United Kingdom
2023,Donor administration costs,2.6,0.0%,United Kingdom
2021,Unspecified,1.65,0.0%,United Kingdom
2020,Tourism,0.72,0.0%,United Kingdom
2019,Tourism,0.33,0.0%,United Kingdom
2021,Tourism,0.28,0.0%,United Kingdom
2023,,0.24,0.0%,United Kingdom
2021,,0.18,0.0%,United Kingdom
2022,Tourism,0.17,0.0%,United Kingdom
2023,Tourism,0.0,0.0%,United Kingdom
