year,Sector,Gender-related ODA to,Share,Donor
2022,Emergency Response,1.97,36.0%,Lithuania
2019,Emergency Response,1.82,51.0%,Lithuania
2020,Emergency Response,1.23,37.0%,Lithuania
2022,Reconstruction Relief & Rehabilitation,1.19,22.0%,Lithuania
2022,Government & civil society,1.16,21.0%,Lithuania
2023,Other social services,1.16,41.0%,Lithuania
2020,Government & civil society,1.04,32.0%,Lithuania
2022,Education,0.98,18.0%,Lithuania
2023,Emergency Response,0.91,32.0%,Lithuania
2021,Government & civil society,0.81,43.0%,Lithuania
2019,Government & civil society,0.79,22.0%,Lithuania
2020,Education,0.67,20.0%,Lithuania
2021,Emergency Response,0.65,35.0%,Lithuania
2019,Education,0.6,17.0%,Lithuania
2023,Government & civil society,0.44,15.0%,Lithuania
2021,Education,0.24,13.0%,Lithuania
2020,Unspecified,0.13,4.0%,Lithuania
2019,Unspecified,0.12,3.0%,Lithuania
2021,Unspecified,0.12,6.0%,Lithuania
2019,Health & populations,0.1,3.0%,Lithuania
2023,Reconstruction Relief & Rehabilitation,0.09,3.0%,Lithuania
2023,Education,0.09,3.0%,Lithuania
2019,Other social services,0.08,2.0%,Lithuania
2020,"Conflict, peace & security",0.06,2.0%,Lithuania
2020,Financial services & business support,0.05,1.0%,Lithuania
2020,Infrastructure,0.04,1.0%,Lithuania
2023,Infrastructure,0.04,1.0%,Lithuania
2023,Unspecified,0.04,1.0%,Lithuania
2020,Health & populations,0.03,1.0%,Lithuania
2020,Other social services,0.03,1.0%,Lithuania
2021,Health & populations,0.03,2.0%,Lithuania
2020,Reconstruction Relief & Rehabilitation,0.03,1.0%,Lithuania
2022,Other social services,0.03,0.0%,Lithuania
2023,Environmental protection,0.03,1.0%,Lithuania
2023,Health & populations,0.03,1.0%,Lithuania
2019,"Agriculture (incl. forestry, fishing, rural development)",0.02,1.0%,Lithuania
2022,Environmental protection,0.02,0.0%,Lithuania
2022,Other multisector,0.02,0.0%,Lithuania
2022,Water and sanitation,0.02,0.0%,Lithuania
2023,Other multisector,0.02,1.0%,Lithuania
2019,Other multisector,0.01,0.0%,Lithuania
2021,Other social services,0.01,0.0%,Lithuania
2021,Financial services & business support,0.01,1.0%,Lithuania
2022,"Agriculture (incl. forestry, fishing, rural development)",0.01,0.0%,Lithuania
2023,,0.01,0.0%,Lithuania
2022,Refugees in donor countries,0.01,0.0%,Lithuania
2022,Financial services & business support,0.01,0.0%,Lithuania
2019,Financial services & business support,0.0,0.0%,Lithuania
