year,Sector,Gender-related ODA to,Share,Donor
2019,Emergency Response,3.23,39.0%,Poland
2022,Emergency Response,2.67,27.0%,Poland
2022,Health & populations,2.49,25.0%,Poland
2023,Education,2.32,20.0%,Poland
2023,Unspecified,2.01,17.0%,Poland
2023,Emergency Response,1.92,16.0%,Poland
2020,Emergency Response,1.91,40.0%,Poland
2021,Emergency Response,1.7,35.0%,Poland
2022,Education,1.61,16.0%,Poland
2023,Other social services,1.31,11.0%,Poland
2021,Health & populations,1.16,24.0%,Poland
2019,Education,1.12,13.0%,Poland
2019,Government & civil society,1.05,13.0%,Poland
2019,"Agriculture (incl. forestry, fishing, rural development)",1.03,12.0%,Poland
2023,Health & populations,0.88,8.0%,Poland
2021,Education,0.88,18.0%,Poland
2023,Government & civil society,0.78,7.0%,Poland
2020,Education,0.77,16.0%,Poland
2023,"Agriculture (incl. forestry, fishing, rural development)",0.75,6.0%,Poland
2020,Government & civil society,0.74,15.0%,Poland
2019,Health & populations,0.73,9.0%,Poland
2020,Health & populations,0.61,13.0%,Poland
2022,Other social services,0.58,6.0%,Poland
2022,Government & civil society,0.55,6.0%,Poland
2019,Other social services,0.49,6.0%,Poland
2022,"Agriculture (incl. forestry, fishing, rural development)",0.45,5.0%,Poland
2023,Water and sanitation,0.35,3.0%,Poland
2020,Other social services,0.35,7.0%,Poland
2021,Government & civil society,0.34,7.0%,Poland
2020,"Industry, construction & mining",0.31,6.0%,Poland
2023,Environmental protection,0.3,3.0%,Poland
2023,"Industry, construction & mining",0.3,3.0%,Poland
2022,,0.29,3.0%,Poland
2023,Financial services & business support,0.24,2.0%,Poland
2022,Reconstruction Relief & Rehabilitation,0.24,2.0%,Poland
2023,,0.23,2.0%,Poland
2022,"Industry, construction & mining",0.23,2.0%,Poland
2019,"Industry, construction & mining",0.21,2.0%,Poland
2023,Other multisector,0.2,2.0%,Poland
2022,Environmental protection,0.18,2.0%,Poland
2021,Reconstruction Relief & Rehabilitation,0.17,4.0%,Poland
2022,Water and sanitation,0.16,2.0%,Poland
2022,Financial services & business support,0.16,2.0%,Poland
2021,Financial services & business support,0.16,3.0%,Poland
2019,Environmental protection,0.15,2.0%,Poland
2022,Other multisector,0.15,1.0%,Poland
2021,Other social services,0.12,2.0%,Poland
2020,"Agriculture (incl. forestry, fishing, rural development)",0.12,3.0%,Poland
2021,Other multisector,0.11,2.0%,Poland
2019,Water and sanitation,0.1,1.0%,Poland
2019,Tourism,0.1,1.0%,Poland
2022,Tourism,0.08,1.0%,Poland
2021,"Conflict, peace & security",0.08,2.0%,Poland
2019,Disaster Prevention & Preparedness,0.06,1.0%,Poland
2021,"Agriculture (incl. forestry, fishing, rural development)",0.06,1.0%,Poland
2019,Financial services & business support,0.05,1.0%,Poland
2023,Disaster Prevention & Preparedness,0.05,0.0%,Poland
2022,Disaster Prevention & Preparedness,0.04,0.0%,Poland
2022,Unspecified,0.04,0.0%,Poland
2021,"Industry, construction & mining",0.04,1.0%,Poland
2021,Environmental protection,0.04,1.0%,Poland
2023,Energy,0.03,0.0%,Poland
2023,Infrastructure,0.01,0.0%,Poland
2023,Tourism,0.01,0.0%,Poland
2023,Food aid and commodity assistance,0.01,0.0%,Poland
2023,Trade policy,0.01,0.0%,Poland
2022,Energy,0.01,0.0%,Poland
2022,Trade policy,0.01,0.0%,Poland
2021,Tourism,0.01,0.0%,Poland
2021,Water and sanitation,0.01,0.0%,Poland
2023,"Conflict, peace & security",0.0,0.0%,Poland
2021,,0.0,0.0%,Poland
2021,Infrastructure,0.0,0.0%,Poland
