Donor,total_gender,year,Ranking
Germany,13049.68,2022,1st
Japan,7224.44,2022,2nd
United States,6529.02,2022,3rd
United Kingdom,4062.04,2022,4th
Canada,3533.84,2022,5th
France,2839.03,2022,6th
Netherlands,2705.6,2022,7th
Sweden,1977.37,2022,8th
Switzerland,1524.81,2022,9th
Australia,1109.5,2022,10th
Norway,1079.21,2022,11th
Belgium,540.33,2022,12th
Spain,526.71,2022,13th
Denmark,523.13,2022,14th
Korea,434.17,2022,15th
Italy,400.32,2022,16th
Ireland,367.73,2022,17th
Finland,323.79,2022,18th
Austria,239.21,2022,19th
New Zealand,150.57,2022,20th
Luxembourg,135.89,2022,21st
Portugal,46.57,2022,22nd
Iceland,42.27,2022,23rd
Hungary,25.88,2022,24th
Poland,9.93,2022,25th
Czechia,8.81,2022,26th
Lithuania,5.42,2022,27th
Slovak Republic,5.3,2022,28th
Slovenia,2.91,2022,29th
Estonia,1.06,2022,30th
Greece,0.03,2022,31st
Germany,10209.18,2023,1st
United States,9289.8,2023,2nd
United Kingdom,2961.0,2023,3rd
Netherlands,2758.78,2023,4th
Canada,2679.89,2023,5th
France,2629.28,2023,6th
Japan,2567.34,2023,7th
Sweden,1863.71,2023,8th
Norway,1771.93,2023,9th
Switzerland,1524.01,2023,10th
Australia,1348.0,2023,11th
Denmark,887.55,2023,12th
Korea,680.4,2023,13th
Spain,605.58,2023,14th
Belgium,584.39,2023,15th
Italy,459.48,2023,16th
Ireland,416.3,2023,17th
Finland,341.39,2023,18th
New Zealand,289.63,2023,19th
Austria,214.67,2023,20th
Luxembourg,134.23,2023,21st
Portugal,60.52,2023,22nd
Iceland,50.93,2023,23rd
Czechia,20.94,2023,24th
Poland,11.72,2023,25th
Slovak Republic,5.33,2023,26th
Slovenia,3.19,2023,27th
Lithuania,2.82,2023,28th
Hungary,2.0,2023,29th
Estonia,1.51,2023,30th
