year,Sector,Gender-related ODA to,Share,Donor
2020,Emergency Response,10.01,26.0%,Czechia
2019,Emergency Response,9.76,30.0%,Czechia
2023,Refugees in donor countries,8.61,29.0%,Czechia
2020,Education,8.38,22.0%,Czechia
2019,Education,7.46,23.0%,Czechia
2021,Emergency Response,6.06,21.0%,Czechia
2023,Government & civil society,6.0,20.0%,Czechia
2020,Reconstruction Relief & Rehabilitation,5.54,15.0%,Czechia
2021,Education,4.94,17.0%,Czechia
2023,Education,4.24,14.0%,Czechia
2020,Health & populations,4.24,11.0%,Czechia
2021,Reconstruction Relief & Rehabilitation,3.7,13.0%,Czechia
2019,Health & populations,3.68,11.0%,Czechia
2022,Education,3.56,39.0%,Czechia
2021,Health & populations,3.43,12.0%,Czechia
2020,Government & civil society,3.27,9.0%,Czechia
2023,Emergency Response,3.19,11.0%,Czechia
2022,Health & populations,2.82,31.0%,Czechia
2023,Health & populations,2.79,9.0%,Czechia
2019,"Agriculture (incl. forestry, fishing, rural development)",2.78,9.0%,Czechia
2020,"Agriculture (incl. forestry, fishing, rural development)",2.77,7.0%,Czechia
2019,Reconstruction Relief & Rehabilitation,2.63,8.0%,Czechia
2019,Government & civil society,2.43,7.0%,Czechia
2021,Unspecified,2.29,8.0%,Czechia
2021,"Agriculture (incl. forestry, fishing, rural development)",2.06,7.0%,Czechia
2021,Water and sanitation,1.85,6.0%,Czechia
2023,Reconstruction Relief & Rehabilitation,1.35,5.0%,Czechia
2019,Water and sanitation,1.34,4.0%,Czechia
2021,Financial services & business support,1.33,5.0%,Czechia
2020,Water and sanitation,1.26,3.0%,Czechia
2020,Unspecified,1.24,3.0%,Czechia
2019,Unspecified,1.17,4.0%,Czechia
2023,"Conflict, peace & security",1.13,4.0%,Czechia
2021,Other social services,1.12,4.0%,Czechia
2022,Emergency Response,1.09,12.0%,Czechia
2021,Other multisector,1.02,4.0%,Czechia
2023,"Agriculture (incl. forestry, fishing, rural development)",0.88,3.0%,Czechia
2019,Other social services,0.76,2.0%,Czechia
2020,Disaster Prevention & Preparedness,0.66,2.0%,Czechia
2023,Other social services,0.54,2.0%,Czechia
2023,Unspecified,0.46,2.0%,Czechia
2023,Energy,0.38,1.0%,Czechia
2020,"Conflict, peace & security",0.34,1.0%,Czechia
2022,Energy,0.32,3.0%,Czechia
2021,"Conflict, peace & security",0.31,1.0%,Czechia
2021,Government & civil society,0.3,1.0%,Czechia
2022,Unspecified,0.3,3.0%,Czechia
2022,Water and sanitation,0.28,3.0%,Czechia
2023,Environmental protection,0.26,1.0%,Czechia
2022,"Agriculture (incl. forestry, fishing, rural development)",0.26,3.0%,Czechia
2021,Energy,0.26,1.0%,Czechia
2022,Government & civil society,0.24,3.0%,Czechia
2022,Other social services,0.22,2.0%,Czechia
2020,Other social services,0.21,1.0%,Czechia
2021,"Industry, construction & mining",0.19,1.0%,Czechia
2019,Disaster Prevention & Preparedness,0.17,1.0%,Czechia
2019,Other multisector,0.11,0.0%,Czechia
2021,Disaster Prevention & Preparedness,0.11,0.0%,Czechia
2023,Water and sanitation,0.09,0.0%,Czechia
2023,Financial services & business support,0.07,0.0%,Czechia
2019,"Industry, construction & mining",0.06,0.0%,Czechia
2019,Financial services & business support,0.03,0.0%,Czechia
2020,Financial services & business support,0.03,0.0%,Czechia
2020,"Industry, construction & mining",0.03,0.0%,Czechia
2023,,0.02,0.0%,Czechia
2019,Energy,0.01,0.0%,Czechia
2022,,0.01,0.0%,Czechia
