year,Sector,Gender-related ODA to,Share,Donor
2023,Emergency Response,513.63,29.0%,Norway
2020,Emergency Response,402.18,28.0%,Norway
2021,Emergency Response,359.1,29.0%,Norway
2022,Emergency Response,347.49,32.0%,Norway
2020,Education,326.92,22.0%,Norway
2023,Other multisector,318.1,18.0%,Norway
2019,Emergency Response,308.34,26.0%,Norway
2019,Education,283.7,24.0%,Norway
2021,Education,281.85,23.0%,Norway
2020,Government & civil society,243.26,17.0%,Norway
2019,Government & civil society,229.9,20.0%,Norway
2021,Government & civil society,217.94,18.0%,Norway
2023,Government & civil society,216.41,12.0%,Norway
2020,Health & populations,183.8,13.0%,Norway
2022,Government & civil society,179.46,17.0%,Norway
2023,Education,159.01,9.0%,Norway
2022,Education,151.26,14.0%,Norway
2023,"Agriculture (incl. forestry, fishing, rural development)",143.56,8.0%,Norway
2023,Health & populations,138.71,8.0%,Norway
2019,Health & populations,135.74,12.0%,Norway
2021,Health & populations,128.75,10.0%,Norway
2022,Health & populations,112.34,10.0%,Norway
2020,"Conflict, peace & security",89.55,6.0%,Norway
2023,"Conflict, peace & security",82.71,5.0%,Norway
2019,"Conflict, peace & security",82.34,7.0%,Norway
2021,"Conflict, peace & security",76.37,6.0%,Norway
2022,"Conflict, peace & security",64.54,6.0%,Norway
2022,"Agriculture (incl. forestry, fishing, rural development)",55.21,5.0%,Norway
2020,Other multisector,55.15,4.0%,Norway
2023,Environmental protection,54.81,3.0%,Norway
2023,Energy,46.44,3.0%,Norway
2023,Other social services,43.85,2.0%,Norway
2021,"Agriculture (incl. forestry, fishing, rural development)",42.31,3.0%,Norway
2021,Other social services,39.62,3.0%,Norway
2020,Other social services,38.7,3.0%,Norway
2022,Other multisector,38.23,4.0%,Norway
2020,Energy,37.42,3.0%,Norway
2022,Energy,36.77,3.0%,Norway
2022,Other social services,33.78,3.0%,Norway
2019,Other multisector,29.73,3.0%,Norway
2020,"Agriculture (incl. forestry, fishing, rural development)",28.91,2.0%,Norway
2022,Environmental protection,28.4,3.0%,Norway
2019,"Agriculture (incl. forestry, fishing, rural development)",26.22,2.0%,Norway
2021,Other multisector,25.1,2.0%,Norway
2019,Energy,21.79,2.0%,Norway
2021,Energy,21.29,2.0%,Norway
2021,Environmental protection,16.8,1.0%,Norway
2019,Environmental protection,15.91,1.0%,Norway
2019,Other social services,15.5,1.0%,Norway
2019,Financial services & business support,14.59,1.0%,Norway
2020,Environmental protection,14.53,1.0%,Norway
2021,Financial services & business support,14.06,1.0%,Norway
2023,"Industry, construction & mining",13.57,1.0%,Norway
2020,"Industry, construction & mining",12.22,1.0%,Norway
2023,,10.95,1.0%,Norway
2023,Financial services & business support,10.77,1.0%,Norway
2020,Financial services & business support,8.48,1.0%,Norway
2022,Financial services & business support,8.31,1.0%,Norway
2019,"Industry, construction & mining",6.56,1.0%,Norway
2021,"Industry, construction & mining",5.95,0.0%,Norway
2022,,5.93,1.0%,Norway
2020,Reconstruction Relief & Rehabilitation,5.33,0.0%,Norway
2020,Water and sanitation,5.17,0.0%,Norway
2023,Water and sanitation,4.6,0.0%,Norway
2023,Reconstruction Relief & Rehabilitation,4.38,0.0%,Norway
2022,Water and sanitation,4.34,0.0%,Norway
2022,"Industry, construction & mining",4.3,0.0%,Norway
2022,Reconstruction Relief & Rehabilitation,4.27,0.0%,Norway
2023,Infrastructure,3.94,0.0%,Norway
2021,Infrastructure,3.33,0.0%,Norway
2021,Reconstruction Relief & Rehabilitation,3.2,0.0%,Norway
2023,Food aid and commodity assistance,2.84,0.0%,Norway
2022,Infrastructure,2.66,0.0%,Norway
2019,Water and sanitation,2.58,0.0%,Norway
2020,,2.44,0.0%,Norway
2021,Water and sanitation,2.29,0.0%,Norway
2022,Disaster Prevention & Preparedness,1.9,0.0%,Norway
2023,Trade policy,1.89,0.0%,Norway
2023,Disaster Prevention & Preparedness,1.76,0.0%,Norway
2019,Reconstruction Relief & Rehabilitation,1.71,0.0%,Norway
2021,Disaster Prevention & Preparedness,1.65,0.0%,Norway
2021,Unspecified,1.46,0.0%,Norway
2021,,1.4,0.0%,Norway
2020,Disaster Prevention & Preparedness,1.05,0.0%,Norway
2020,Infrastructure,0.53,0.0%,Norway
2019,Unspecified,0.32,0.0%,Norway
2023,Unspecified,0.31,0.0%,Norway
2022,Unspecified,0.28,0.0%,Norway
2020,Unspecified,0.17,0.0%,Norway
2020,Tourism,0.01,0.0%,Norway
2021,Tourism,0.01,0.0%,Norway
