year,Sector,Gender-related ODA to,Share,Donor
2019,Government & civil society,729.53,27.0%,Sweden
2020,Government & civil society,647.96,26.0%,Sweden
2021,Government & civil society,606.99,26.0%,Sweden
2022,Government & civil society,492.6,25.0%,Sweden
2023,Government & civil society,477.08,26.0%,Sweden
2020,Emergency Response,455.51,18.0%,Sweden
2019,Emergency Response,436.8,16.0%,Sweden
2022,Emergency Response,420.47,21.0%,Sweden
2021,Emergency Response,371.23,16.0%,Sweden
2023,Emergency Response,344.14,18.0%,Sweden
2020,Health & populations,287.87,11.0%,Sweden
2021,Health & populations,280.24,12.0%,Sweden
2019,Health & populations,229.19,8.0%,Sweden
2022,Health & populations,191.82,10.0%,Sweden
2019,"Agriculture (incl. forestry, fishing, rural development)",184.02,7.0%,Sweden
2023,Health & populations,178.06,10.0%,Sweden
2021,"Agriculture (incl. forestry, fishing, rural development)",177.6,8.0%,Sweden
2019,Other multisector,168.01,6.0%,Sweden
2021,Other social services,163.25,7.0%,Sweden
2019,"Conflict, peace & security",159.89,6.0%,Sweden
2020,Other social services,158.47,6.0%,Sweden
2020,"Agriculture (incl. forestry, fishing, rural development)",154.29,6.0%,Sweden
2021,"Conflict, peace & security",153.19,6.0%,Sweden
2022,Other social services,150.69,8.0%,Sweden
2022,"Conflict, peace & security",145.74,7.0%,Sweden
2020,"Conflict, peace & security",141.44,6.0%,Sweden
2019,Environmental protection,135.4,5.0%,Sweden
2020,Education,128.79,5.0%,Sweden
2019,Education,125.26,5.0%,Sweden
2021,Other multisector,123.47,5.0%,Sweden
2020,Other multisector,122.35,5.0%,Sweden
2023,Other social services,122.34,7.0%,Sweden
2023,"Conflict, peace & security",122.24,7.0%,Sweden
2022,"Agriculture (incl. forestry, fishing, rural development)",116.39,6.0%,Sweden
2021,Environmental protection,115.0,5.0%,Sweden
2023,"Agriculture (incl. forestry, fishing, rural development)",114.91,6.0%,Sweden
2020,Environmental protection,113.78,5.0%,Sweden
2019,Other social services,111.6,4.0%,Sweden
2021,Education,98.35,4.0%,Sweden
2019,Energy,97.0,4.0%,Sweden
2022,Other multisector,96.96,5.0%,Sweden
2023,Education,94.93,5.0%,Sweden
2022,Education,89.88,5.0%,Sweden
2022,Environmental protection,85.22,4.0%,Sweden
2023,Environmental protection,81.92,4.0%,Sweden
2023,Other multisector,79.2,4.0%,Sweden
2019,Water and sanitation,72.9,3.0%,Sweden
2023,Energy,72.4,4.0%,Sweden
2020,Water and sanitation,71.06,3.0%,Sweden
2019,Financial services & business support,70.69,3.0%,Sweden
2020,Energy,68.7,3.0%,Sweden
2021,Energy,65.19,3.0%,Sweden
2021,Water and sanitation,64.75,3.0%,Sweden
2019,"Industry, construction & mining",57.79,2.0%,Sweden
2020,Financial services & business support,54.16,2.0%,Sweden
2022,Energy,51.55,3.0%,Sweden
2019,Unspecified,47.17,2.0%,Sweden
2023,Water and sanitation,44.85,2.0%,Sweden
2022,Water and sanitation,43.79,2.0%,Sweden
2023,Financial services & business support,43.55,2.0%,Sweden
2021,Financial services & business support,42.66,2.0%,Sweden
2021,"Industry, construction & mining",41.8,2.0%,Sweden
2020,"Industry, construction & mining",39.98,2.0%,Sweden
2022,Financial services & business support,35.62,2.0%,Sweden
2019,Infrastructure,32.04,1.0%,Sweden
2020,Infrastructure,25.94,1.0%,Sweden
2023,"Industry, construction & mining",25.59,1.0%,Sweden
2023,Reconstruction Relief & Rehabilitation,25.31,1.0%,Sweden
2022,"Industry, construction & mining",22.03,1.0%,Sweden
2019,Trade policy,21.23,1.0%,Sweden
2019,Reconstruction Relief & Rehabilitation,18.21,1.0%,Sweden
2021,Trade policy,15.98,1.0%,Sweden
2021,Infrastructure,15.75,1.0%,Sweden
2020,Unspecified,15.09,1.0%,Sweden
2023,Infrastructure,11.28,1.0%,Sweden
2021,,10.97,0.0%,Sweden
2022,Trade policy,10.22,1.0%,Sweden
2022,Unspecified,9.58,0.0%,Sweden
2023,Unspecified,9.22,0.0%,Sweden
2023,Trade policy,9.12,0.0%,Sweden
2022,Reconstruction Relief & Rehabilitation,7.86,0.0%,Sweden
2021,Disaster Prevention & Preparedness,6.96,0.0%,Sweden
2020,Reconstruction Relief & Rehabilitation,6.15,0.0%,Sweden
2020,Disaster Prevention & Preparedness,6.06,0.0%,Sweden
2022,Infrastructure,5.94,0.0%,Sweden
2020,,5.41,0.0%,Sweden
2020,Trade policy,5.39,0.0%,Sweden
2023,,5.25,0.0%,Sweden
2021,Reconstruction Relief & Rehabilitation,4.92,0.0%,Sweden
2021,Unspecified,3.67,0.0%,Sweden
2023,Disaster Prevention & Preparedness,2.3,0.0%,Sweden
2019,Disaster Prevention & Preparedness,1.65,0.0%,Sweden
2022,,0.97,0.0%,Sweden
2019,Food aid and commodity assistance,0.35,0.0%,Sweden
2020,Food aid and commodity assistance,0.3,0.0%,Sweden
2022,Disaster Prevention & Preparedness,0.05,0.0%,Sweden
