year,Sector,Gender-related ODA to,Share,Ranking
2019,Government & civil society,8274.74,16.0%,1st
2019,Health & populations,8095.55,16.0%,2nd
2019,Education,5200.53,10.0%,3rd
2019,"Agriculture (incl. forestry, fishing, rural development)",4222.48,8.0%,4th
2019,Emergency Response,3989.83,8.0%,5th
2019,Other multisector,3065.02,6.0%,6th
2019,Financial services & business support,2707.81,5.0%,7th
2019,Infrastructure,2545.78,5.0%,8th
2019,"Conflict, peace & security",2102.72,4.0%,9th
2019,Other social services,2012.75,4.0%,10th
2019,Water and sanitation,1890.36,4.0%,11th
2019,Environmental protection,1636.75,3.0%,12th
2019,"Industry, construction & mining",1417.19,3.0%,13th
2019,Energy,980.89,2.0%,14th
2019,Food aid and commodity assistance,673.35,1.0%,15th
2019,Reconstruction Relief & Rehabilitation,602.21,1.0%,16th
2019,Trade policy,337.63,1.0%,17th
2019,Unspecified,294.97,1.0%,18th
2019,Disaster Prevention & Preparedness,211.3,0.0%,19th
2019,Tourism,29.99,0.0%,20th
2019,General budget support,0.96,0.0%,21st
2019,,0.81,0.0%,22nd
2019,Donor administration costs,0.11,0.0%,23rd
2020,Government & civil society,9126.14,17.0%,1st
2020,Health & populations,9073.16,17.0%,2nd
2020,Education,5523.92,10.0%,3rd
2020,"Agriculture (incl. forestry, fishing, rural development)",4908.5,9.0%,4th
2020,Emergency Response,4710.97,9.0%,5th
2020,Other social services,4272.74,8.0%,6th
2020,Infrastructure,2447.06,4.0%,7th
2020,Financial services & business support,2307.99,4.0%,8th
2020,Other multisector,2256.9,4.0%,9th
2020,"Conflict, peace & security",2145.26,4.0%,10th
2020,Water and sanitation,2005.83,4.0%,11th
2020,Environmental protection,1493.87,3.0%,12th
2020,"Industry, construction & mining",1168.46,2.0%,13th
2020,Energy,1147.27,2.0%,14th
2020,Food aid and commodity assistance,835.82,2.0%,15th
2020,Reconstruction Relief & Rehabilitation,433.89,1.0%,16th
2020,Unspecified,351.39,1.0%,17th
2020,Trade policy,338.42,1.0%,18th
2020,Disaster Prevention & Preparedness,223.42,0.0%,19th
2020,Tourism,22.51,0.0%,20th
2020,,8.25,0.0%,21st
2020,Donor administration costs,0.51,0.0%,22nd
2020,Debt relief,0.14,0.0%,23rd
2020,Refugees in donor countries,0.01,0.0%,24th
2021,Health & populations,9771.95,18.0%,1st
2021,Government & civil society,7837.97,14.0%,2nd
2021,Education,4958.19,9.0%,3rd
2021,"Agriculture (incl. forestry, fishing, rural development)",4791.01,9.0%,4th
2021,Emergency Response,4437.53,8.0%,5th
2021,Other multisector,3496.04,6.0%,6th
2021,Other social services,3312.12,6.0%,7th
2021,Infrastructure,3188.2,6.0%,8th
2021,Financial services & business support,2567.11,5.0%,9th
2021,"Conflict, peace & security",2205.15,4.0%,10th
2021,Water and sanitation,2014.61,4.0%,11th
2021,Environmental protection,1801.64,3.0%,12th
2021,"Industry, construction & mining",1155.44,2.0%,13th
2021,Energy,1055.8,2.0%,14th
2021,Food aid and commodity assistance,676.61,1.0%,15th
2021,Disaster Prevention & Preparedness,556.92,1.0%,16th
2021,Trade policy,346.49,1.0%,17th
2021,Reconstruction Relief & Rehabilitation,309.62,1.0%,18th
2021,Unspecified,116.43,0.0%,19th
2021,,34.27,0.0%,20th
2021,Tourism,25.09,0.0%,21st
2021,Donor administration costs,6.06,0.0%,22nd
2021,Debt relief,0.06,0.0%,23rd
2021,Refugees in donor countries,0.02,0.0%,24th
2021,General budget support,0.01,0.0%,25th
2022,Health & populations,11657.36,19.0%,1st
2022,Government & civil society,7299.36,12.0%,2nd
2022,Emergency Response,6029.42,10.0%,3rd
2022,Infrastructure,5055.83,8.0%,4th
2022,"Agriculture (incl. forestry, fishing, rural development)",5002.48,8.0%,5th
2022,Education,4861.65,8.0%,6th
2022,Other multisector,3839.54,6.0%,7th
2022,Other social services,3301.15,6.0%,8th
2022,Financial services & business support,2532.91,4.0%,9th
2022,Water and sanitation,2101.62,4.0%,10th
2022,"Conflict, peace & security",1894.8,3.0%,11th
2022,Environmental protection,1625.12,3.0%,12th
2022,Energy,1443.39,2.0%,13th
2022,"Industry, construction & mining",1377.66,2.0%,14th
2022,Food aid and commodity assistance,700.24,1.0%,15th
2022,Trade policy,301.14,1.0%,16th
2022,Reconstruction Relief & Rehabilitation,257.64,0.0%,17th
2022,Unspecified,248.95,0.0%,18th
2022,Disaster Prevention & Preparedness,195.27,0.0%,19th
2022,,46.45,0.0%,20th
2022,Tourism,25.07,0.0%,21st
2022,Donor administration costs,0.13,0.0%,22nd
2022,Debt relief,0.07,0.0%,23rd
2023,Health & populations,9231.75,17.0%,1st
2023,Government & civil society,8139.17,15.0%,2nd
2023,Emergency Response,7446.26,13.0%,3rd
2023,Education,4826.94,9.0%,4th
2023,"Agriculture (incl. forestry, fishing, rural development)",4706.59,9.0%,5th
2023,Other multisector,3177.85,6.0%,6th
2023,Other social services,3045.93,6.0%,7th
2023,"Conflict, peace & security",2173.16,4.0%,8th
2023,Energy,2082.32,4.0%,9th
2023,Environmental protection,1948.57,4.0%,10th
2023,Financial services & business support,1930.26,3.0%,11th
2023,Infrastructure,1793.43,3.0%,12th
2023,Water and sanitation,1720.0,3.0%,13th
2023,"Industry, construction & mining",879.77,2.0%,14th
2023,Trade policy,607.9,1.0%,15th
2023,Unspecified,481.1,1.0%,16th
2023,Food aid and commodity assistance,454.14,1.0%,17th
2023,Reconstruction Relief & Rehabilitation,262.92,0.0%,18th
2023,Disaster Prevention & Preparedness,243.95,0.0%,19th
2023,,62.67,0.0%,20th
2023,Tourism,33.69,0.0%,21st
