year,Sector,Gender-related ODA to,Share,Donor
2019,"Conflict, peace & security",1.04,26.0%,Slovenia
2023,"Conflict, peace & security",0.94,29.0%,Slovenia
2019,Other social services,0.79,20.0%,Slovenia
2022,"Conflict, peace & security",0.74,26.0%,Slovenia
2020,Emergency Response,0.73,21.0%,Slovenia
2023,Government & civil society,0.61,19.0%,Slovenia
2020,Other social services,0.61,17.0%,Slovenia
2020,Government & civil society,0.61,17.0%,Slovenia
2019,Government & civil society,0.59,15.0%,Slovenia
2020,"Conflict, peace & security",0.58,16.0%,Slovenia
2023,Water and sanitation,0.53,17.0%,Slovenia
2022,Government & civil society,0.52,18.0%,Slovenia
2019,Emergency Response,0.49,12.0%,Slovenia
2021,"Conflict, peace & security",0.47,24.0%,Slovenia
2021,Government & civil society,0.39,20.0%,Slovenia
2020,Other multisector,0.39,11.0%,Slovenia
2021,Other social services,0.35,18.0%,Slovenia
2022,Health & populations,0.34,12.0%,Slovenia
2022,Other social services,0.33,11.0%,Slovenia
2019,Other multisector,0.33,8.0%,Slovenia
2019,Education,0.29,7.0%,Slovenia
2023,"Agriculture (incl. forestry, fishing, rural development)",0.26,8.0%,Slovenia
2022,Emergency Response,0.23,8.0%,Slovenia
2023,Other social services,0.23,7.0%,Slovenia
2020,Education,0.23,6.0%,Slovenia
2023,Health & populations,0.22,7.0%,Slovenia
2022,Water and sanitation,0.21,7.0%,Slovenia
2019,Health & populations,0.21,5.0%,Slovenia
2020,Health & populations,0.21,6.0%,Slovenia
2021,Emergency Response,0.19,10.0%,Slovenia
2023,Emergency Response,0.19,6.0%,Slovenia
2021,Health & populations,0.14,7.0%,Slovenia
2021,Education,0.14,7.0%,Slovenia
2022,"Industry, construction & mining",0.12,4.0%,Slovenia
2022,Reconstruction Relief & Rehabilitation,0.12,4.0%,Slovenia
2019,Disaster Prevention & Preparedness,0.1,3.0%,Slovenia
2019,Environmental protection,0.1,3.0%,Slovenia
2021,Water and sanitation,0.09,4.0%,Slovenia
2022,Other multisector,0.09,3.0%,Slovenia
2023,"Industry, construction & mining",0.09,3.0%,Slovenia
2021,Other multisector,0.08,4.0%,Slovenia
2022,Education,0.08,3.0%,Slovenia
2020,Environmental protection,0.08,2.0%,Slovenia
2022,Unspecified,0.07,2.0%,Slovenia
2021,"Agriculture (incl. forestry, fishing, rural development)",0.06,3.0%,Slovenia
2022,"Agriculture (incl. forestry, fishing, rural development)",0.06,2.0%,Slovenia
2021,Reconstruction Relief & Rehabilitation,0.05,3.0%,Slovenia
2023,Energy,0.05,2.0%,Slovenia
2019,Financial services & business support,0.05,1.0%,Slovenia
2020,"Agriculture (incl. forestry, fishing, rural development)",0.05,1.0%,Slovenia
2023,Unspecified,0.04,1.0%,Slovenia
2019,Reconstruction Relief & Rehabilitation,0.04,1.0%,Slovenia
2020,Reconstruction Relief & Rehabilitation,0.04,1.0%,Slovenia
2023,Education,0.03,1.0%,Slovenia
2020,Unspecified,0.02,1.0%,Slovenia
2019,Unspecified,0.01,0.0%,Slovenia
