year,Sector,Gender-related ODA to,Share,Donor
2021,Health & populations,1233.81,32.0%,Canada
2022,Health & populations,1033.54,29.0%,Canada
2022,Emergency Response,938.66,26.0%,Canada
2021,Emergency Response,760.04,20.0%,Canada
2023,Health & populations,653.66,24.0%,Canada
2023,Emergency Response,647.85,24.0%,Canada
2020,Emergency Response,638.02,20.0%,Canada
2020,Government & civil society,620.59,20.0%,Canada
2019,Emergency Response,604.03,24.0%,Canada
2019,Health & populations,553.67,22.0%,Canada
2020,Health & populations,514.95,16.0%,Canada
2021,"Agriculture (incl. forestry, fishing, rural development)",347.97,9.0%,Canada
2023,Government & civil society,342.81,13.0%,Canada
2021,Government & civil society,341.44,9.0%,Canada
2020,Education,339.06,11.0%,Canada
2019,Government & civil society,336.75,13.0%,Canada
2022,Government & civil society,329.3,9.0%,Canada
2023,Education,326.18,12.0%,Canada
2020,"Agriculture (incl. forestry, fishing, rural development)",322.58,10.0%,Canada
2022,Energy,320.94,9.0%,Canada
2019,Education,306.89,12.0%,Canada
2021,Energy,291.08,8.0%,Canada
2021,Education,272.7,7.0%,Canada
2022,Education,266.74,8.0%,Canada
2022,"Agriculture (incl. forestry, fishing, rural development)",256.73,7.0%,Canada
2020,Energy,235.74,8.0%,Canada
2023,"Agriculture (incl. forestry, fishing, rural development)",177.0,7.0%,Canada
2019,"Agriculture (incl. forestry, fishing, rural development)",157.73,6.0%,Canada
2021,Financial services & business support,134.5,4.0%,Canada
2019,Environmental protection,110.35,4.0%,Canada
2023,"Conflict, peace & security",107.69,4.0%,Canada
2019,Energy,102.73,4.0%,Canada
2020,"Conflict, peace & security",97.71,3.0%,Canada
2023,Other multisector,96.65,4.0%,Canada
2021,"Conflict, peace & security",88.18,2.0%,Canada
2023,Environmental protection,87.84,3.0%,Canada
2019,"Conflict, peace & security",85.74,3.0%,Canada
2022,"Conflict, peace & security",85.45,2.0%,Canada
2020,Other multisector,70.24,2.0%,Canada
2019,Financial services & business support,69.04,3.0%,Canada
2021,Other social services,66.35,2.0%,Canada
2021,Other multisector,65.46,2.0%,Canada
2020,Financial services & business support,64.57,2.0%,Canada
2019,"Industry, construction & mining",58.28,2.0%,Canada
2022,Other multisector,55.46,2.0%,Canada
2019,Other social services,55.43,2.0%,Canada
2022,Financial services & business support,55.2,2.0%,Canada
2021,Environmental protection,55.06,1.0%,Canada
2022,Other social services,52.54,1.0%,Canada
2020,"Industry, construction & mining",51.3,2.0%,Canada
2023,Financial services & business support,46.97,2.0%,Canada
2021,Water and sanitation,46.13,1.0%,Canada
2020,Environmental protection,36.97,1.0%,Canada
2022,"Industry, construction & mining",34.73,1.0%,Canada
2021,"Industry, construction & mining",34.51,1.0%,Canada
2023,Other social services,34.24,1.0%,Canada
2022,Water and sanitation,34.18,1.0%,Canada
2022,Environmental protection,30.04,1.0%,Canada
2019,Water and sanitation,28.0,1.0%,Canada
2019,Other multisector,27.84,1.0%,Canada
2020,Other social services,27.71,1.0%,Canada
2020,Water and sanitation,27.31,1.0%,Canada
2023,"Industry, construction & mining",27.02,1.0%,Canada
2023,Energy,23.94,1.0%,Canada
2023,Water and sanitation,22.7,1.0%,Canada
2023,Reconstruction Relief & Rehabilitation,22.07,1.0%,Canada
2020,Food aid and commodity assistance,21.62,1.0%,Canada
2023,Food aid and commodity assistance,21.02,1.0%,Canada
2023,Unspecified,17.14,1.0%,Canada
2022,Unspecified,15.04,0.0%,Canada
2021,Food aid and commodity assistance,14.85,0.0%,Canada
2020,General budget support,13.05,0.0%,Canada
2019,Disaster Prevention & Preparedness,12.37,0.0%,Canada
2020,Unspecified,12.34,0.0%,Canada
2022,Food aid and commodity assistance,12.26,0.0%,Canada
2019,Unspecified,11.93,0.0%,Canada
2021,Unspecified,10.76,0.0%,Canada
2020,Infrastructure,10.57,0.0%,Canada
2023,Disaster Prevention & Preparedness,10.53,0.0%,Canada
2023,Trade policy,10.52,0.0%,Canada
2019,Reconstruction Relief & Rehabilitation,10.15,0.0%,Canada
2022,Refugees in donor countries,8.82,0.0%,Canada
2021,General budget support,8.04,0.0%,Canada
2019,Trade policy,7.97,0.0%,Canada
2021,Trade policy,7.68,0.0%,Canada
2021,,7.62,0.0%,Canada
2021,Disaster Prevention & Preparedness,7.55,0.0%,Canada
2020,Reconstruction Relief & Rehabilitation,7.51,0.0%,Canada
2022,General budget support,7.5,0.0%,Canada
2021,Infrastructure,7.46,0.0%,Canada
2023,General budget support,7.41,0.0%,Canada
2019,Infrastructure,5.81,0.0%,Canada
2019,Food aid and commodity assistance,5.81,0.0%,Canada
2023,Infrastructure,5.6,0.0%,Canada
2022,Trade policy,5.45,0.0%,Canada
2020,Trade policy,5.3,0.0%,Canada
2019,General budget support,4.38,0.0%,Canada
2022,Disaster Prevention & Preparedness,4.2,0.0%,Canada
2020,Disaster Prevention & Preparedness,4.12,0.0%,Canada
2021,Reconstruction Relief & Rehabilitation,3.99,0.0%,Canada
2022,Infrastructure,3.94,0.0%,Canada
2022,Reconstruction Relief & Rehabilitation,3.03,0.0%,Canada
2022,Tourism,2.13,0.0%,Canada
2023,Tourism,1.9,0.0%,Canada
2021,Tourism,1.47,0.0%,Canada
2023,,0.92,0.0%,Canada
2020,Tourism,0.92,0.0%,Canada
2019,Tourism,0.7,0.0%,Canada
2023,Donor administration costs,0.57,0.0%,Canada
2022,,0.0,0.0%,Canada
2020,,0.0,0.0%,Canada
