year,Sector,Gender-related ODA to,Share,Donor
2022,Emergency Response,184.83,46.0%,Italy
2023,Emergency Response,123.3,27.0%,Italy
2021,Emergency Response,116.54,24.0%,Italy
2023,Education,97.41,21.0%,Italy
2021,Education,86.17,18.0%,Italy
2020,"Agriculture (incl. forestry, fishing, rural development)",68.1,16.0%,Italy
2020,"Industry, construction & mining",67.22,16.0%,Italy
2021,Health & populations,66.57,14.0%,Italy
2019,Health & populations,64.86,16.0%,Italy
2020,Emergency Response,56.52,13.0%,Italy
2019,Other multisector,55.04,13.0%,Italy
2019,Emergency Response,52.71,13.0%,Italy
2019,"Agriculture (incl. forestry, fishing, rural development)",52.69,13.0%,Italy
2022,Health & populations,52.44,13.0%,Italy
2020,Health & populations,52.23,12.0%,Italy
2019,Government & civil society,47.27,11.0%,Italy
2023,Health & populations,46.51,10.0%,Italy
2019,Education,43.44,10.0%,Italy
2021,"Agriculture (incl. forestry, fishing, rural development)",41.57,9.0%,Italy
2021,Government & civil society,40.39,8.0%,Italy
2022,Government & civil society,40.16,10.0%,Italy
2020,Other multisector,38.7,9.0%,Italy
2020,Government & civil society,38.0,9.0%,Italy
2021,Other multisector,37.83,8.0%,Italy
2023,"Agriculture (incl. forestry, fishing, rural development)",36.0,8.0%,Italy
2023,Government & civil society,35.69,8.0%,Italy
2023,Other social services,34.03,7.0%,Italy
2020,Education,31.3,7.0%,Italy
2021,Other social services,26.13,5.0%,Italy
2022,Education,23.61,6.0%,Italy
2022,"Agriculture (incl. forestry, fishing, rural development)",23.57,6.0%,Italy
2019,Other social services,22.03,5.0%,Italy
2023,Other multisector,21.82,5.0%,Italy
2022,Other social services,20.22,5.0%,Italy
2020,Reconstruction Relief & Rehabilitation,19.22,4.0%,Italy
2021,Trade policy,17.56,4.0%,Italy
2019,"Industry, construction & mining",17.21,4.0%,Italy
2019,Unspecified,17.2,4.0%,Italy
2022,Reconstruction Relief & Rehabilitation,14.21,4.0%,Italy
2020,Other social services,13.02,3.0%,Italy
2019,Reconstruction Relief & Rehabilitation,12.24,3.0%,Italy
2023,"Industry, construction & mining",11.34,2.0%,Italy
2023,Financial services & business support,11.12,2.0%,Italy
2023,Water and sanitation,11.08,2.0%,Italy
2022,Other multisector,10.08,3.0%,Italy
2021,"Industry, construction & mining",10.01,2.0%,Italy
2022,"Industry, construction & mining",9.76,2.0%,Italy
2020,Energy,9.43,2.0%,Italy
2023,Reconstruction Relief & Rehabilitation,8.62,2.0%,Italy
2021,Reconstruction Relief & Rehabilitation,7.6,2.0%,Italy
2020,Unspecified,7.53,2.0%,Italy
2020,Food aid and commodity assistance,7.14,2.0%,Italy
2021,Water and sanitation,7.04,1.0%,Italy
2019,Water and sanitation,6.96,2.0%,Italy
2019,Financial services & business support,6.69,2.0%,Italy
2022,Disaster Prevention & Preparedness,6.4,2.0%,Italy
2021,Financial services & business support,6.2,1.0%,Italy
2019,Environmental protection,5.84,1.0%,Italy
2020,"Conflict, peace & security",5.81,1.0%,Italy
2019,"Conflict, peace & security",5.16,1.0%,Italy
2023,Unspecified,5.11,1.0%,Italy
2023,Environmental protection,5.09,1.0%,Italy
2023,Disaster Prevention & Preparedness,5.08,1.0%,Italy
2020,Water and sanitation,4.04,1.0%,Italy
2020,Financial services & business support,3.73,1.0%,Italy
2021,Environmental protection,3.65,1.0%,Italy
2022,Water and sanitation,3.44,1.0%,Italy
2022,Environmental protection,3.26,1.0%,Italy
2022,Financial services & business support,3.2,1.0%,Italy
2023,Infrastructure,3.06,1.0%,Italy
2020,Environmental protection,2.87,1.0%,Italy
2021,"Conflict, peace & security",2.86,1.0%,Italy
2019,Tourism,2.54,1.0%,Italy
2020,Disaster Prevention & Preparedness,2.4,1.0%,Italy
2022,"Conflict, peace & security",2.23,1.0%,Italy
2021,Energy,2.15,0.0%,Italy
2019,Energy,1.91,0.0%,Italy
2021,Disaster Prevention & Preparedness,1.77,0.0%,Italy
2022,Tourism,1.66,0.0%,Italy
2023,Energy,1.37,0.0%,Italy
2020,Tourism,1.2,0.0%,Italy
2023,Tourism,1.17,0.0%,Italy
2023,"Conflict, peace & security",1.14,0.0%,Italy
2021,Tourism,1.13,0.0%,Italy
2019,Infrastructure,0.69,0.0%,Italy
2021,Infrastructure,0.61,0.0%,Italy
2021,Food aid and commodity assistance,0.6,0.0%,Italy
2019,Food aid and commodity assistance,0.6,0.0%,Italy
2022,Energy,0.51,0.0%,Italy
2019,Trade policy,0.42,0.0%,Italy
2022,,0.38,0.0%,Italy
2022,Infrastructure,0.26,0.0%,Italy
2023,Food aid and commodity assistance,0.2,0.0%,Italy
2023,,0.19,0.0%,Italy
2023,Trade policy,0.16,0.0%,Italy
2020,Infrastructure,0.1,0.0%,Italy
2022,Trade policy,0.07,0.0%,Italy
2019,Donor administration costs,0.04,0.0%,Italy
2021,Refugees in donor countries,0.02,0.0%,Italy
2021,,0.02,0.0%,Italy
2022,Unspecified,0.02,0.0%,Italy
2019,Disaster Prevention & Preparedness,0.01,0.0%,Italy
2020,Refugees in donor countries,0.01,0.0%,Italy
2020,Trade policy,0.01,0.0%,Italy
2020,Donor administration costs,0.01,0.0%,Italy
2021,Unspecified,0.0,0.0%,Italy
2019,,0.0,0.0%,Italy
2020,,0.0,0.0%,Italy
