year,Sector,Gender-related ODA to,Share,Donor
2020,Health & populations,214.82,45.0%,Korea
2021,Health & populations,138.16,29.0%,Korea
2023,Infrastructure,127.9,19.0%,Korea
2023,Energy,114.2,17.0%,Korea
2021,Other social services,94.94,20.0%,Korea
2023,Environmental protection,93.39,14.0%,Korea
2023,Health & populations,89.87,13.0%,Korea
2022,Health & populations,82.69,19.0%,Korea
2023,"Agriculture (incl. forestry, fishing, rural development)",65.72,10.0%,Korea
2022,Energy,63.58,15.0%,Korea
2020,Education,62.55,13.0%,Korea
2023,Education,59.81,9.0%,Korea
2019,Education,58.67,27.0%,Korea
2022,Education,55.76,13.0%,Korea
2021,Education,55.34,11.0%,Korea
2020,Water and sanitation,55.3,11.0%,Korea
2020,Infrastructure,53.89,11.0%,Korea
2021,Government & civil society,49.06,10.0%,Korea
2023,Government & civil society,48.36,7.0%,Korea
2019,Water and sanitation,46.57,21.0%,Korea
2022,"Agriculture (incl. forestry, fishing, rural development)",43.3,10.0%,Korea
2022,Government & civil society,42.97,10.0%,Korea
2020,Energy,38.44,8.0%,Korea
2021,Energy,36.78,8.0%,Korea
2019,Health & populations,36.54,17.0%,Korea
2022,Infrastructure,28.75,7.0%,Korea
2022,Water and sanitation,27.53,6.0%,Korea
2022,Environmental protection,23.92,6.0%,Korea
2023,Other multisector,23.78,3.0%,Korea
2021,"Agriculture (incl. forestry, fishing, rural development)",23.28,5.0%,Korea
2022,Other social services,20.11,5.0%,Korea
2021,Infrastructure,19.86,4.0%,Korea
2021,Water and sanitation,19.64,4.0%,Korea
2020,Government & civil society,19.27,4.0%,Korea
2021,Emergency Response,17.91,4.0%,Korea
2019,"Agriculture (incl. forestry, fishing, rural development)",17.65,8.0%,Korea
2022,Emergency Response,17.57,4.0%,Korea
2023,Water and sanitation,14.97,2.0%,Korea
2019,Government & civil society,14.79,7.0%,Korea
2021,Environmental protection,12.63,3.0%,Korea
2023,"Conflict, peace & security",11.49,2.0%,Korea
2020,"Agriculture (incl. forestry, fishing, rural development)",11.26,2.0%,Korea
2019,Unspecified,10.09,5.0%,Korea
2023,Other social services,8.15,1.0%,Korea
2020,Emergency Response,7.55,2.0%,Korea
2019,Other social services,7.21,3.0%,Korea
2023,Reconstruction Relief & Rehabilitation,7.07,1.0%,Korea
2020,Other social services,6.65,1.0%,Korea
2019,Energy,5.68,3.0%,Korea
2022,"Conflict, peace & security",5.09,1.0%,Korea
2022,Other multisector,5.08,1.0%,Korea
2022,"Industry, construction & mining",4.88,1.0%,Korea
2022,Unspecified,4.87,1.0%,Korea
2023,Financial services & business support,4.4,1.0%,Korea
2021,"Industry, construction & mining",4.29,1.0%,Korea
2019,Emergency Response,4.03,2.0%,Korea
2019,Reconstruction Relief & Rehabilitation,3.36,2.0%,Korea
2023,Emergency Response,3.33,0.0%,Korea
2022,Financial services & business support,3.09,1.0%,Korea
2023,"Industry, construction & mining",2.96,0.0%,Korea
2022,Reconstruction Relief & Rehabilitation,2.92,1.0%,Korea
2019,Infrastructure,2.76,1.0%,Korea
2020,Reconstruction Relief & Rehabilitation,2.47,1.0%,Korea
2021,Financial services & business support,2.47,1.0%,Korea
2019,"Industry, construction & mining",2.27,1.0%,Korea
2020,"Conflict, peace & security",2.23,0.0%,Korea
2023,Unspecified,2.06,0.0%,Korea
2019,"Conflict, peace & security",2.01,1.0%,Korea
2023,Disaster Prevention & Preparedness,2.0,0.0%,Korea
2020,"Industry, construction & mining",1.98,0.0%,Korea
2020,Trade policy,1.93,0.0%,Korea
2022,Trade policy,1.89,0.0%,Korea
2021,Trade policy,1.86,0.0%,Korea
2021,Reconstruction Relief & Rehabilitation,1.77,0.0%,Korea
2021,"Conflict, peace & security",1.26,0.0%,Korea
2020,Financial services & business support,1.2,0.0%,Korea
2020,Environmental protection,1.11,0.0%,Korea
2019,Trade policy,1.01,0.0%,Korea
2019,Financial services & business support,1.0,0.0%,Korea
2021,Other multisector,0.97,0.0%,Korea
2019,Food aid and commodity assistance,0.96,0.0%,Korea
2019,Environmental protection,0.93,0.0%,Korea
2021,Unspecified,0.9,0.0%,Korea
2020,Unspecified,0.77,0.0%,Korea
2019,General budget support,0.75,0.0%,Korea
2019,Tourism,0.65,0.0%,Korea
2020,Tourism,0.49,0.0%,Korea
2023,,0.4,0.0%,Korea
2023,Trade policy,0.39,0.0%,Korea
2021,Tourism,0.21,0.0%,Korea
2019,Disaster Prevention & Preparedness,0.21,0.0%,Korea
2022,Tourism,0.16,0.0%,Korea
2023,Tourism,0.15,0.0%,Korea
2020,Other multisector,0.0,0.0%,Korea
2019,Other multisector,0.0,0.0%,Korea
