year,Sector,Gender-related ODA to,Share,Donor
2023,Government & civil society,218.81,25.0%,Denmark
2019,Government & civil society,183.98,24.0%,Denmark
2020,Government & civil society,176.8,25.0%,Denmark
2023,Emergency Response,153.78,17.0%,Denmark
2021,Government & civil society,151.76,24.0%,Denmark
2023,Unspecified,147.89,17.0%,Denmark
2022,Government & civil society,114.66,22.0%,Denmark
2020,Education,111.92,16.0%,Denmark
2019,Education,93.39,12.0%,Denmark
2019,Health & populations,89.68,12.0%,Denmark
2021,Health & populations,80.76,13.0%,Denmark
2019,Financial services & business support,72.83,10.0%,Denmark
2023,Other multisector,71.06,8.0%,Denmark
2019,"Conflict, peace & security",66.27,9.0%,Denmark
2020,Health & populations,66.12,9.0%,Denmark
2021,Water and sanitation,64.02,10.0%,Denmark
2022,Health & populations,63.7,12.0%,Denmark
2022,Education,62.98,12.0%,Denmark
2021,"Conflict, peace & security",59.79,9.0%,Denmark
2020,Energy,57.81,8.0%,Denmark
2021,Education,55.74,9.0%,Denmark
2019,Unspecified,54.72,7.0%,Denmark
2023,Education,54.32,6.0%,Denmark
2021,Emergency Response,54.24,8.0%,Denmark
2020,"Conflict, peace & security",46.26,7.0%,Denmark
2023,"Conflict, peace & security",45.62,5.0%,Denmark
2022,Environmental protection,45.13,9.0%,Denmark
2019,"Agriculture (incl. forestry, fishing, rural development)",45.04,6.0%,Denmark
2020,Unspecified,43.05,6.0%,Denmark
2022,Emergency Response,42.91,8.0%,Denmark
2019,Water and sanitation,39.97,5.0%,Denmark
2023,Health & populations,38.49,4.0%,Denmark
2021,Energy,38.27,6.0%,Denmark
2023,"Agriculture (incl. forestry, fishing, rural development)",37.25,4.0%,Denmark
2021,"Agriculture (incl. forestry, fishing, rural development)",36.92,6.0%,Denmark
2020,Emergency Response,35.87,5.0%,Denmark
2022,"Conflict, peace & security",34.85,7.0%,Denmark
2021,Environmental protection,33.57,5.0%,Denmark
2020,Environmental protection,32.0,5.0%,Denmark
2019,Environmental protection,31.89,4.0%,Denmark
2023,Water and sanitation,31.1,3.0%,Denmark
2020,"Agriculture (incl. forestry, fishing, rural development)",28.58,4.0%,Denmark
2022,Unspecified,27.72,5.0%,Denmark
2020,Water and sanitation,27.28,4.0%,Denmark
2019,Other multisector,25.85,3.0%,Denmark
2022,Other multisector,25.81,5.0%,Denmark
2022,Water and sanitation,25.74,5.0%,Denmark
2022,Financial services & business support,25.46,5.0%,Denmark
2023,Environmental protection,24.35,3.0%,Denmark
2022,Energy,23.88,5.0%,Denmark
2020,Financial services & business support,23.53,3.0%,Denmark
2021,Other social services,21.73,3.0%,Denmark
2023,Other social services,21.38,2.0%,Denmark
2019,Food aid and commodity assistance,20.3,3.0%,Denmark
2023,Financial services & business support,20.29,2.0%,Denmark
2020,Other multisector,18.92,3.0%,Denmark
2019,Other social services,17.95,2.0%,Denmark
2022,"Agriculture (incl. forestry, fishing, rural development)",16.19,3.0%,Denmark
2020,Food aid and commodity assistance,15.55,2.0%,Denmark
2021,Other multisector,15.07,2.0%,Denmark
2021,Financial services & business support,13.08,2.0%,Denmark
2022,Other social services,10.58,2.0%,Denmark
2023,Food aid and commodity assistance,10.08,1.0%,Denmark
2019,Energy,8.68,1.0%,Denmark
2023,"Industry, construction & mining",8.12,1.0%,Denmark
2020,Reconstruction Relief & Rehabilitation,7.95,1.0%,Denmark
2021,Unspecified,7.78,1.0%,Denmark
2019,"Industry, construction & mining",6.34,1.0%,Denmark
2020,"Industry, construction & mining",6.05,1.0%,Denmark
2020,Other social services,5.48,1.0%,Denmark
2021,"Industry, construction & mining",4.67,1.0%,Denmark
2023,Reconstruction Relief & Rehabilitation,3.03,0.0%,Denmark
2023,Energy,3.03,0.0%,Denmark
2019,Trade policy,2.29,0.0%,Denmark
2022,Trade policy,1.81,0.0%,Denmark
2022,"Industry, construction & mining",1.72,0.0%,Denmark
2019,Emergency Response,1.58,0.0%,Denmark
2023,Infrastructure,1.41,0.0%,Denmark
2023,Trade policy,1.04,0.0%,Denmark
2020,General budget support,1.01,0.0%,Denmark
2021,Trade policy,0.95,0.0%,Denmark
2020,Trade policy,0.67,0.0%,Denmark
2019,Infrastructure,0.48,0.0%,Denmark
2021,Infrastructure,0.26,0.0%,Denmark
2019,General budget support,0.19,0.0%,Denmark
2021,General budget support,0.07,0.0%,Denmark
2020,Infrastructure,0.05,0.0%,Denmark
2022,General budget support,0.0,0.0%,Denmark
2021,Reconstruction Relief & Rehabilitation,0.0,0.0%,Denmark
