year,Sector,Gender-related ODA to,Share,Donor
2021,Health & populations,373.78,24.0%,Switzerland
2022,Government & civil society,367.86,24.0%,Switzerland
2021,Government & civil society,355.08,22.0%,Switzerland
2023,Government & civil society,328.74,22.0%,Switzerland
2020,Government & civil society,316.61,26.0%,Switzerland
2019,Government & civil society,272.56,24.0%,Switzerland
2023,Emergency Response,248.91,16.0%,Switzerland
2022,Health & populations,185.33,12.0%,Switzerland
2020,Health & populations,168.45,14.0%,Switzerland
2022,Emergency Response,166.67,11.0%,Switzerland
2023,Health & populations,156.2,10.0%,Switzerland
2022,"Agriculture (incl. forestry, fishing, rural development)",150.13,10.0%,Switzerland
2023,Education,149.46,10.0%,Switzerland
2022,Education,145.77,10.0%,Switzerland
2021,Education,144.35,9.0%,Switzerland
2021,"Agriculture (incl. forestry, fishing, rural development)",143.96,9.0%,Switzerland
2023,"Agriculture (incl. forestry, fishing, rural development)",131.56,9.0%,Switzerland
2020,Education,130.51,11.0%,Switzerland
2020,"Agriculture (incl. forestry, fishing, rural development)",129.19,10.0%,Switzerland
2019,"Agriculture (incl. forestry, fishing, rural development)",128.76,11.0%,Switzerland
2019,Education,128.63,11.0%,Switzerland
2021,Emergency Response,101.93,6.0%,Switzerland
2019,Health & populations,100.18,9.0%,Switzerland
2022,Financial services & business support,94.96,6.0%,Switzerland
2020,Emergency Response,87.28,7.0%,Switzerland
2023,Other social services,83.37,5.0%,Switzerland
2021,Other social services,75.47,5.0%,Switzerland
2020,Water and sanitation,74.04,6.0%,Switzerland
2019,Unspecified,73.8,7.0%,Switzerland
2022,Other social services,71.56,5.0%,Switzerland
2021,Water and sanitation,71.35,5.0%,Switzerland
2023,Water and sanitation,70.56,5.0%,Switzerland
2023,"Conflict, peace & security",70.16,5.0%,Switzerland
2019,Water and sanitation,69.15,6.0%,Switzerland
2023,Financial services & business support,67.84,4.0%,Switzerland
2019,Emergency Response,66.81,6.0%,Switzerland
2021,Financial services & business support,66.47,4.0%,Switzerland
2022,Water and sanitation,61.14,4.0%,Switzerland
2020,Other social services,58.27,5.0%,Switzerland
2023,Other multisector,56.54,4.0%,Switzerland
2022,Other multisector,56.11,4.0%,Switzerland
2023,"Industry, construction & mining",54.78,4.0%,Switzerland
2021,"Industry, construction & mining",54.2,3.0%,Switzerland
2022,"Industry, construction & mining",52.16,3.0%,Switzerland
2022,"Conflict, peace & security",51.98,3.0%,Switzerland
2021,"Conflict, peace & security",50.55,3.0%,Switzerland
2020,"Industry, construction & mining",49.04,4.0%,Switzerland
2020,"Conflict, peace & security",48.47,4.0%,Switzerland
2019,"Conflict, peace & security",45.31,4.0%,Switzerland
2021,Other multisector,45.28,3.0%,Switzerland
2019,Financial services & business support,45.15,4.0%,Switzerland
2019,Other social services,44.15,4.0%,Switzerland
2020,Other multisector,43.15,3.0%,Switzerland
2019,"Industry, construction & mining",42.52,4.0%,Switzerland
2020,Financial services & business support,41.27,3.0%,Switzerland
2022,Energy,30.05,2.0%,Switzerland
2019,Energy,25.68,2.0%,Switzerland
2021,Energy,24.76,2.0%,Switzerland
2022,Disaster Prevention & Preparedness,22.68,1.0%,Switzerland
2020,Trade policy,22.57,2.0%,Switzerland
2023,Disaster Prevention & Preparedness,22.56,1.0%,Switzerland
2023,Environmental protection,21.83,1.0%,Switzerland
2023,Trade policy,21.37,1.0%,Switzerland
2021,Trade policy,20.3,1.0%,Switzerland
2019,Trade policy,19.99,2.0%,Switzerland
2022,Trade policy,18.77,1.0%,Switzerland
2022,Unspecified,18.54,1.0%,Switzerland
2022,Environmental protection,17.25,1.0%,Switzerland
2021,Disaster Prevention & Preparedness,16.6,1.0%,Switzerland
2020,Unspecified,15.99,1.0%,Switzerland
2021,Unspecified,15.62,1.0%,Switzerland
2020,Disaster Prevention & Preparedness,15.11,1.0%,Switzerland
2019,Disaster Prevention & Preparedness,13.7,1.0%,Switzerland
2019,Environmental protection,13.61,1.0%,Switzerland
2023,Energy,13.58,1.0%,Switzerland
2023,Unspecified,13.28,1.0%,Switzerland
2020,Environmental protection,11.44,1.0%,Switzerland
2020,Energy,11.33,1.0%,Switzerland
2021,Environmental protection,10.76,1.0%,Switzerland
2019,Other multisector,10.63,1.0%,Switzerland
2019,Infrastructure,8.82,1.0%,Switzerland
2019,Tourism,8.17,1.0%,Switzerland
2023,Reconstruction Relief & Rehabilitation,7.46,0.0%,Switzerland
2020,Tourism,6.01,0.0%,Switzerland
2020,Reconstruction Relief & Rehabilitation,5.99,0.0%,Switzerland
2022,Reconstruction Relief & Rehabilitation,5.88,0.0%,Switzerland
2021,Tourism,5.72,0.0%,Switzerland
2021,Reconstruction Relief & Rehabilitation,5.02,0.0%,Switzerland
2022,Tourism,4.34,0.0%,Switzerland
2023,Tourism,3.72,0.0%,Switzerland
2022,Infrastructure,3.61,0.0%,Switzerland
2019,Reconstruction Relief & Rehabilitation,3.58,0.0%,Switzerland
2021,Infrastructure,3.37,0.0%,Switzerland
2020,Infrastructure,2.91,0.0%,Switzerland
2023,Infrastructure,2.01,0.0%,Switzerland
2020,Food aid and commodity assistance,1.14,0.0%,Switzerland
2020,Donor administration costs,0.13,0.0%,Switzerland
2023,,0.06,0.0%,Switzerland
2021,,0.05,0.0%,Switzerland
2019,,0.01,0.0%,Switzerland
2020,,0.01,0.0%,Switzerland
