year,Sector,Gender-related ODA to,Share,Donor
2023,Emergency Response,10.0,20.0%,Iceland
2023,Health & populations,9.72,19.0%,Iceland
2023,Water and sanitation,7.92,16.0%,Iceland
2020,Health & populations,7.3,20.0%,Iceland
2019,"Agriculture (incl. forestry, fishing, rural development)",7.13,18.0%,Iceland
2022,Emergency Response,7.13,17.0%,Iceland
2021,Education,6.88,18.0%,Iceland
2021,Emergency Response,6.72,17.0%,Iceland
2021,Health & populations,6.49,17.0%,Iceland
2020,Education,6.35,17.0%,Iceland
2022,Health & populations,6.24,15.0%,Iceland
2022,Water and sanitation,6.24,15.0%,Iceland
2020,Government & civil society,5.85,16.0%,Iceland
2023,Government & civil society,5.64,11.0%,Iceland
2019,Education,5.55,14.0%,Iceland
2019,Water and sanitation,5.44,14.0%,Iceland
2022,Government & civil society,5.41,13.0%,Iceland
2022,Education,5.28,12.0%,Iceland
2021,"Agriculture (incl. forestry, fishing, rural development)",5.21,13.0%,Iceland
2023,"Agriculture (incl. forestry, fishing, rural development)",4.95,10.0%,Iceland
2021,Government & civil society,4.78,12.0%,Iceland
2019,Health & populations,4.66,12.0%,Iceland
2020,Emergency Response,4.62,13.0%,Iceland
2020,"Agriculture (incl. forestry, fishing, rural development)",4.61,13.0%,Iceland
2022,"Agriculture (incl. forestry, fishing, rural development)",4.52,11.0%,Iceland
2019,Government & civil society,4.41,11.0%,Iceland
2020,Water and sanitation,4.16,11.0%,Iceland
2019,Energy,4.12,11.0%,Iceland
2019,Emergency Response,4.08,10.0%,Iceland
2021,Energy,3.75,10.0%,Iceland
2023,Education,3.69,7.0%,Iceland
2022,Energy,3.67,9.0%,Iceland
2023,Unspecified,3.12,6.0%,Iceland
2023,Energy,2.65,5.0%,Iceland
2019,Other multisector,2.31,6.0%,Iceland
2020,Energy,2.15,6.0%,Iceland
2021,Water and sanitation,1.64,4.0%,Iceland
2019,Other social services,1.16,3.0%,Iceland
2022,Other multisector,1.15,3.0%,Iceland
2021,Other multisector,1.14,3.0%,Iceland
2023,Environmental protection,1.04,2.0%,Iceland
2022,Other social services,0.85,2.0%,Iceland
2021,Environmental protection,0.73,2.0%,Iceland
2023,Other multisector,0.72,1.0%,Iceland
2023,Disaster Prevention & Preparedness,0.67,1.0%,Iceland
2021,Disaster Prevention & Preparedness,0.59,2.0%,Iceland
2020,Other social services,0.57,2.0%,Iceland
2022,Unspecified,0.53,1.0%,Iceland
2021,Other social services,0.47,1.0%,Iceland
2022,Environmental protection,0.45,1.0%,Iceland
2023,Other social services,0.28,1.0%,Iceland
2020,Other multisector,0.23,1.0%,Iceland
2020,Reconstruction Relief & Rehabilitation,0.23,1.0%,Iceland
2022,Financial services & business support,0.21,0.0%,Iceland
2022,Infrastructure,0.21,1.0%,Iceland
2021,Infrastructure,0.2,1.0%,Iceland
2021,Financial services & business support,0.2,1.0%,Iceland
2022,Food aid and commodity assistance,0.19,0.0%,Iceland
2020,Financial services & business support,0.18,0.0%,Iceland
2023,Food aid and commodity assistance,0.17,0.0%,Iceland
2020,Unspecified,0.16,0.0%,Iceland
2022,Reconstruction Relief & Rehabilitation,0.15,0.0%,Iceland
2023,Donor administration costs,0.13,0.0%,Iceland
2019,Infrastructure,0.11,0.0%,Iceland
2023,General budget support,0.1,0.0%,Iceland
2021,Reconstruction Relief & Rehabilitation,0.08,0.0%,Iceland
2021,"Industry, construction & mining",0.08,0.0%,Iceland
2020,Infrastructure,0.07,0.0%,Iceland
2021,"Conflict, peace & security",0.05,0.0%,Iceland
2022,Disaster Prevention & Preparedness,0.05,0.0%,Iceland
2019,Unspecified,0.04,0.0%,Iceland
2019,Financial services & business support,0.04,0.0%,Iceland
2020,Disaster Prevention & Preparedness,0.04,0.0%,Iceland
2023,Financial services & business support,0.04,0.0%,Iceland
2023,Infrastructure,0.04,0.0%,Iceland
2019,"Conflict, peace & security",0.02,0.0%,Iceland
2020,"Industry, construction & mining",0.02,0.0%,Iceland
2020,Environmental protection,0.02,0.0%,Iceland
2021,Unspecified,0.02,0.0%,Iceland
2023,"Industry, construction & mining",0.02,0.0%,Iceland
2019,Reconstruction Relief & Rehabilitation,0.01,0.0%,Iceland
2023,"Conflict, peace & security",0.01,0.0%,Iceland
