year,Sector,Gender-related ODA to,Share,Donor
2021,Government & civil society,289.38,26.0%,Australia
2023,Government & civil society,284.14,21.0%,Australia
2022,Government & civil society,282.02,25.0%,Australia
2022,Emergency Response,237.47,21.0%,Australia
2020,Government & civil society,233.58,22.0%,Australia
2023,Emergency Response,229.36,17.0%,Australia
2019,Government & civil society,228.34,26.0%,Australia
2021,Health & populations,174.16,15.0%,Australia
2023,Other multisector,168.68,13.0%,Australia
2021,Emergency Response,163.63,14.0%,Australia
2020,Emergency Response,154.12,15.0%,Australia
2019,Emergency Response,144.38,16.0%,Australia
2020,Other multisector,143.83,14.0%,Australia
2023,Health & populations,139.58,10.0%,Australia
2023,Education,138.56,10.0%,Australia
2022,Health & populations,120.15,11.0%,Australia
2022,Education,117.03,11.0%,Australia
2021,Education,114.84,10.0%,Australia
2019,Education,110.2,13.0%,Australia
2020,Health & populations,102.56,10.0%,Australia
2020,Education,88.92,8.0%,Australia
2019,Health & populations,82.12,9.0%,Australia
2022,Other multisector,74.4,7.0%,Australia
2021,Other multisector,63.75,6.0%,Australia
2021,Other social services,61.04,5.0%,Australia
2023,Other social services,57.36,4.0%,Australia
2020,Other social services,56.78,5.0%,Australia
2023,Infrastructure,56.7,4.0%,Australia
2019,Other multisector,52.7,6.0%,Australia
2022,Other social services,50.61,5.0%,Australia
2019,Other social services,49.88,6.0%,Australia
2023,"Agriculture (incl. forestry, fishing, rural development)",49.59,4.0%,Australia
2021,Water and sanitation,45.22,4.0%,Australia
2019,"Agriculture (incl. forestry, fishing, rural development)",44.18,5.0%,Australia
2023,Water and sanitation,43.91,3.0%,Australia
2022,Water and sanitation,43.11,4.0%,Australia
2020,"Agriculture (incl. forestry, fishing, rural development)",41.86,4.0%,Australia
2020,Unspecified,41.71,4.0%,Australia
2019,Financial services & business support,40.98,5.0%,Australia
2021,"Agriculture (incl. forestry, fishing, rural development)",40.0,4.0%,Australia
2022,"Agriculture (incl. forestry, fishing, rural development)",39.9,4.0%,Australia
2023,Financial services & business support,38.45,3.0%,Australia
2023,Environmental protection,37.73,3.0%,Australia
2021,Environmental protection,37.04,3.0%,Australia
2023,Disaster Prevention & Preparedness,36.14,3.0%,Australia
2020,Water and sanitation,34.88,3.0%,Australia
2020,Financial services & business support,34.81,3.0%,Australia
2020,Environmental protection,30.88,3.0%,Australia
2022,Disaster Prevention & Preparedness,28.7,3.0%,Australia
2021,Financial services & business support,27.6,2.0%,Australia
2022,Financial services & business support,26.15,2.0%,Australia
2021,Disaster Prevention & Preparedness,25.69,2.0%,Australia
2021,"Industry, construction & mining",24.52,2.0%,Australia
2019,Water and sanitation,22.7,3.0%,Australia
2020,Disaster Prevention & Preparedness,22.63,2.0%,Australia
2019,"Conflict, peace & security",21.61,2.0%,Australia
2022,Infrastructure,20.99,2.0%,Australia
2021,Food aid and commodity assistance,20.28,2.0%,Australia
2023,"Conflict, peace & security",18.31,1.0%,Australia
2020,"Conflict, peace & security",18.09,2.0%,Australia
2019,Environmental protection,17.28,2.0%,Australia
2021,"Conflict, peace & security",17.06,2.0%,Australia
2022,"Conflict, peace & security",16.47,1.0%,Australia
2021,Infrastructure,15.86,1.0%,Australia
2020,Infrastructure,15.19,1.0%,Australia
2022,Environmental protection,14.99,1.0%,Australia
2020,Food aid and commodity assistance,14.67,1.0%,Australia
2023,Energy,14.43,1.0%,Australia
2019,"Industry, construction & mining",12.98,1.0%,Australia
2023,Reconstruction Relief & Rehabilitation,12.08,1.0%,Australia
2019,Infrastructure,11.98,1.0%,Australia
2022,"Industry, construction & mining",11.22,1.0%,Australia
2020,"Industry, construction & mining",10.27,1.0%,Australia
2023,Trade policy,9.8,1.0%,Australia
2019,Food aid and commodity assistance,9.4,1.0%,Australia
2019,Disaster Prevention & Preparedness,9.4,1.0%,Australia
2022,Trade policy,9.32,1.0%,Australia
2019,Trade policy,7.5,1.0%,Australia
2022,Energy,7.41,1.0%,Australia
2023,"Industry, construction & mining",6.88,1.0%,Australia
2020,Trade policy,6.73,1.0%,Australia
2022,Reconstruction Relief & Rehabilitation,6.54,1.0%,Australia
2019,Reconstruction Relief & Rehabilitation,6.25,1.0%,Australia
2021,Trade policy,4.67,0.0%,Australia
2023,Tourism,4.43,0.0%,Australia
2021,Tourism,4.35,0.0%,Australia
2019,Energy,4.2,0.0%,Australia
2019,Tourism,4.04,0.0%,Australia
2020,Tourism,3.65,0.0%,Australia
2021,Energy,2.69,0.0%,Australia
2022,Tourism,1.65,0.0%,Australia
2023,Unspecified,1.59,0.0%,Australia
2020,Reconstruction Relief & Rehabilitation,1.5,0.0%,Australia
2022,Unspecified,1.21,0.0%,Australia
2020,Energy,1.05,0.0%,Australia
2023,,0.28,0.0%,Australia
2019,Unspecified,0.16,0.0%,Australia
2022,Food aid and commodity assistance,0.15,0.0%,Australia
2021,Unspecified,0.11,0.0%,Australia
2022,,0.02,0.0%,Australia
2021,Reconstruction Relief & Rehabilitation,0.01,0.0%,Australia
2020,Donor administration costs,0.0,0.0%,Australia
2023,Food aid and commodity assistance,0.0,0.0%,Australia
