year,Sector,Gender-related ODA to,Share,Donor
2023,Education,44.29,73.0%,Portugal
2021,Education,37.88,79.0%,Portugal
2020,Education,35.97,77.0%,Portugal
2022,Education,35.41,51.0%,Portugal
2019,Education,31.8,74.0%,Portugal
2022,General budget support,23.15,33.0%,Portugal
2023,Other social services,9.14,15.0%,Portugal
2020,Other social services,7.36,16.0%,Portugal
2022,Other social services,7.31,10.0%,Portugal
2019,Other social services,6.92,16.0%,Portugal
2021,Other social services,6.68,14.0%,Portugal
2023,Health & populations,2.62,4.0%,Portugal
2019,Health & populations,2.35,5.0%,Portugal
2023,Government & civil society,2.01,3.0%,Portugal
2020,Health & populations,1.97,4.0%,Portugal
2021,Health & populations,1.85,4.0%,Portugal
2022,Health & populations,1.71,2.0%,Portugal
2023,Other multisector,1.08,2.0%,Portugal
2021,Government & civil society,1.07,2.0%,Portugal
2019,Government & civil society,0.82,2.0%,Portugal
2023,"Agriculture (incl. forestry, fishing, rural development)",0.8,1.0%,Portugal
2020,Government & civil society,0.73,2.0%,Portugal
2022,Government & civil society,0.55,1.0%,Portugal
2022,"Agriculture (incl. forestry, fishing, rural development)",0.52,1.0%,Portugal
2023,Unspecified,0.43,1.0%,Portugal
2022,Environmental protection,0.37,1.0%,Portugal
2022,Other multisector,0.35,0.0%,Portugal
2022,Unspecified,0.33,0.0%,Portugal
2019,Unspecified,0.32,1.0%,Portugal
2020,Unspecified,0.28,1.0%,Portugal
2019,Water and sanitation,0.27,1.0%,Portugal
2023,Reconstruction Relief & Rehabilitation,0.24,0.0%,Portugal
2023,Emergency Response,0.23,0.0%,Portugal
2021,Other multisector,0.21,0.0%,Portugal
2020,"Agriculture (incl. forestry, fishing, rural development)",0.2,0.0%,Portugal
2021,Unspecified,0.18,0.0%,Portugal
2022,Tourism,0.18,0.0%,Portugal
2019,"Agriculture (incl. forestry, fishing, rural development)",0.14,0.0%,Portugal
2021,"Agriculture (incl. forestry, fishing, rural development)",0.13,0.0%,Portugal
2019,Emergency Response,0.09,0.0%,Portugal
2021,Emergency Response,0.07,0.0%,Portugal
2020,Other multisector,0.07,0.0%,Portugal
2022,Energy,0.07,0.0%,Portugal
2019,"Conflict, peace & security",0.06,0.0%,Portugal
2019,Other multisector,0.06,0.0%,Portugal
2023,Refugees in donor countries,0.06,0.0%,Portugal
2022,Emergency Response,0.06,0.0%,Portugal
2023,"Conflict, peace & security",0.05,0.0%,Portugal
2022,"Conflict, peace & security",0.04,0.0%,Portugal
2021,Refugees in donor countries,0.03,0.0%,Portugal
2021,Environmental protection,0.03,0.0%,Portugal
2021,"Conflict, peace & security",0.03,0.0%,Portugal
2023,Tourism,0.03,0.0%,Portugal
2023,Environmental protection,0.03,0.0%,Portugal
2019,Environmental protection,0.02,0.0%,Portugal
2020,Environmental protection,0.0,0.0%,Portugal
