year,Sector,Gender-related ODA to,Share,Donor
2019,Unspecified,3.09,40.0%,Slovak Republic
2020,Unspecified,2.18,36.0%,Slovak Republic
2020,Health & populations,1.36,23.0%,Slovak Republic
2021,Unspecified,1.25,29.0%,Slovak Republic
2022,Unspecified,1.11,21.0%,Slovak Republic
2023,Emergency Response,1.1,21.0%,Slovak Republic
2022,Health & populations,1.07,20.0%,Slovak Republic
2019,Emergency Response,1.06,14.0%,Slovak Republic
2021,Water and sanitation,1.03,24.0%,Slovak Republic
2019,Education,1.01,13.0%,Slovak Republic
2022,Education,0.91,17.0%,Slovak Republic
2019,Other social services,0.87,11.0%,Slovak Republic
2023,Water and sanitation,0.84,16.0%,Slovak Republic
2023,Unspecified,0.8,15.0%,Slovak Republic
2020,Education,0.71,12.0%,Slovak Republic
2023,Education,0.71,13.0%,Slovak Republic
2022,Water and sanitation,0.71,13.0%,Slovak Republic
2019,Government & civil society,0.62,8.0%,Slovak Republic
2022,Emergency Response,0.62,12.0%,Slovak Republic
2023,Health & populations,0.57,11.0%,Slovak Republic
2021,"Agriculture (incl. forestry, fishing, rural development)",0.51,12.0%,Slovak Republic
2021,Health & populations,0.49,11.0%,Slovak Republic
2020,"Agriculture (incl. forestry, fishing, rural development)",0.46,8.0%,Slovak Republic
2023,Financial services & business support,0.41,8.0%,Slovak Republic
2023,"Agriculture (incl. forestry, fishing, rural development)",0.39,7.0%,Slovak Republic
2019,"Agriculture (incl. forestry, fishing, rural development)",0.37,5.0%,Slovak Republic
2021,Government & civil society,0.36,8.0%,Slovak Republic
2022,"Agriculture (incl. forestry, fishing, rural development)",0.33,6.0%,Slovak Republic
2020,Financial services & business support,0.3,5.0%,Slovak Republic
2020,Government & civil society,0.28,5.0%,Slovak Republic
2021,Education,0.27,6.0%,Slovak Republic
2019,Health & populations,0.24,3.0%,Slovak Republic
2019,Reconstruction Relief & Rehabilitation,0.23,3.0%,Slovak Republic
2023,Government & civil society,0.22,4.0%,Slovak Republic
2020,Water and sanitation,0.19,3.0%,Slovak Republic
2020,Infrastructure,0.13,2.0%,Slovak Republic
2019,Financial services & business support,0.12,1.0%,Slovak Republic
2021,Emergency Response,0.12,3.0%,Slovak Republic
2023,,0.11,2.0%,Slovak Republic
2022,Infrastructure,0.11,2.0%,Slovak Republic
2020,Food aid and commodity assistance,0.1,2.0%,Slovak Republic
2022,Environmental protection,0.1,2.0%,Slovak Republic
2019,Water and sanitation,0.09,1.0%,Slovak Republic
2020,"Industry, construction & mining",0.08,1.0%,Slovak Republic
2019,"Conflict, peace & security",0.08,1.0%,Slovak Republic
2022,Government & civil society,0.07,1.0%,Slovak Republic
2022,Financial services & business support,0.07,1.0%,Slovak Republic
2020,Emergency Response,0.06,1.0%,Slovak Republic
2021,"Conflict, peace & security",0.06,1.0%,Slovak Republic
2021,Infrastructure,0.06,1.0%,Slovak Republic
2021,Financial services & business support,0.06,1.0%,Slovak Republic
2022,"Industry, construction & mining",0.06,1.0%,Slovak Republic
2021,"Industry, construction & mining",0.06,1.0%,Slovak Republic
2020,Reconstruction Relief & Rehabilitation,0.05,1.0%,Slovak Republic
2020,Energy,0.05,1.0%,Slovak Republic
2023,Energy,0.05,1.0%,Slovak Republic
2022,Tourism,0.05,1.0%,Slovak Republic
2023,Environmental protection,0.04,1.0%,Slovak Republic
2023,"Industry, construction & mining",0.04,1.0%,Slovak Republic
2022,Other social services,0.04,1.0%,Slovak Republic
2022,"Conflict, peace & security",0.04,1.0%,Slovak Republic
2021,Other social services,0.04,1.0%,Slovak Republic
2020,Other social services,0.03,1.0%,Slovak Republic
2023,Other social services,0.02,0.0%,Slovak Republic
2021,Food aid and commodity assistance,0.02,1.0%,Slovak Republic
2022,Food aid and commodity assistance,0.02,0.0%,Slovak Republic
2023,Disaster Prevention & Preparedness,0.01,0.0%,Slovak Republic
2019,"Industry, construction & mining",0.01,0.0%,Slovak Republic
2021,Energy,0.01,0.0%,Slovak Republic
2023,"Conflict, peace & security",0.0,0.0%,Slovak Republic
2021,Disaster Prevention & Preparedness,0.0,0.0%,Slovak Republic
