year,Sector,Gender-related ODA to,Share,Donor
2021,Education,118.53,88.0%,Hungary
2020,Education,117.99,97.0%,Hungary
2019,Education,95.73,98.0%,Hungary
2021,Health & populations,12.05,9.0%,Hungary
2022,Emergency Response,6.91,25.0%,Hungary
2022,Health & populations,6.62,24.0%,Hungary
2022,Other multisector,6.54,24.0%,Hungary
2022,Education,3.48,13.0%,Hungary
2020,Health & populations,2.1,2.0%,Hungary
2022,Donor administration costs,1.36,5.0%,Hungary
2021,Reconstruction Relief & Rehabilitation,1.28,1.0%,Hungary
2020,Other social services,0.92,1.0%,Hungary
2022,"Agriculture (incl. forestry, fishing, rural development)",0.87,3.0%,Hungary
2019,Reconstruction Relief & Rehabilitation,0.87,1.0%,Hungary
2020,Government & civil society,0.83,1.0%,Hungary
2021,Other social services,0.79,1.0%,Hungary
2021,"Agriculture (incl. forestry, fishing, rural development)",0.67,0.0%,Hungary
2023,Emergency Response,0.65,33.0%,Hungary
2023,Education,0.61,30.0%,Hungary
2021,Government & civil society,0.54,0.0%,Hungary
2022,Energy,0.39,1.0%,Hungary
2019,Donor administration costs,0.39,0.0%,Hungary
2023,Health & populations,0.37,18.0%,Hungary
2020,"Agriculture (incl. forestry, fishing, rural development)",0.29,0.0%,Hungary
2022,Environmental protection,0.27,1.0%,Hungary
2022,Reconstruction Relief & Rehabilitation,0.18,1.0%,Hungary
2022,Financial services & business support,0.18,1.0%,Hungary
2023,Government & civil society,0.17,9.0%,Hungary
2021,Food aid and commodity assistance,0.12,0.0%,Hungary
2022,Unspecified,0.09,0.0%,Hungary
2022,Government & civil society,0.09,0.0%,Hungary
2023,"Agriculture (incl. forestry, fishing, rural development)",0.08,4.0%,Hungary
2023,Water and sanitation,0.08,4.0%,Hungary
2019,Other social services,0.08,0.0%,Hungary
2019,Emergency Response,0.07,0.0%,Hungary
2021,Unspecified,0.07,0.0%,Hungary
2020,Unspecified,0.07,0.0%,Hungary
2022,Infrastructure,0.06,0.0%,Hungary
2022,Other social services,0.05,0.0%,Hungary
2019,Government & civil society,0.04,0.0%,Hungary
2021,Environmental protection,0.04,0.0%,Hungary
2023,Reconstruction Relief & Rehabilitation,0.03,2.0%,Hungary
2022,Water and sanitation,0.03,0.0%,Hungary
2019,Infrastructure,0.03,0.0%,Hungary
2019,Health & populations,0.03,0.0%,Hungary
2023,Environmental protection,0.02,1.0%,Hungary
2021,Water and sanitation,0.01,0.0%,Hungary
2022,Food aid and commodity assistance,0.0,0.0%,Hungary
2022,"Industry, construction & mining",0.0,0.0%,Hungary
